k,n,x,y,K,Kprime,Kprime_over_K,S,sqrt_sumR2_all,sqrt_sumR2_sf,c_all,c_sf,SM,sqrt_Diag,sqrt_sumDelta2,c_M,c_M_all,tri_absR,tri_absMDelta
6,173,30275,715,42,31,0.738095,41.331725251,68.862696975,58.877142525,0.600204858,0.701999511,6.471780076,18.283385097,11.325409653,0.353970561,0.571438939,356.964502,73.559979
6,173,30275,715,42,32,0.761905,41.331725251,69.411973181,58.877142525,0.595455270,0.701999511,7.438921192,18.308946789,11.327990286,0.406299788,0.656684990,365.679488,74.527120
6,173,30275,715,42,33,0.785714,32.858524236,69.927227575,59.483720860,0.469895996,0.552395240,13.339786172,19.236365042,11.497489981,0.693467094,1.160234642,374.152689,80.427985
6,173,30275,715,42,34,0.809524,26.352278215,70.229255966,59.838484980,0.375232200,0.440390131,12.717645906,19.246423007,11.501697288,0.660779715,1.105719059,380.658935,81.050125
6,173,30275,715,42,35,0.833333,19.534962060,70.559366445,60.225576662,0.276858524,0.324363221,12.422377740,19.248687795,11.505486682,0.645362316,1.079691636,387.476251,81.345393
6,173,30275,715,42,36,0.857143,19.534962060,70.916944723,60.225576662,0.275462545,0.324363221,10.696098564,19.325941675,11.634271081,0.553458079,0.919361298,394.588836,83.071672
6,173,30275,715,42,37,0.880952,28.373825557,71.465645990,60.870728533,0.397027483,0.466132511,11.269852738,19.334456690,11.637807441,0.582889549,0.968382816,403.427699,83.645427
6,173,30275,715,42,38,0.904762,19.821839148,71.975516867,61.468545320,0.275396968,0.322471258,13.269737969,19.437611901,11.808391210,0.682683554,1.123754941,411.979686,85.645312
6,173,30275,715,42,39,0.928571,13.269737969,72.273128188,61.816762238,0.183605419,0.214662455,13.269737969,19.437611901,11.849691064,0.682683554,1.119838306,418.531787,85.645312
6,173,30275,715,42,40,0.952381,13.269737969,72.665433943,61.816762238,0.182614171,0.214662455,13.269737969,19.437611901,11.852983055,0.682683554,1.119527288,426.072359,85.645312
6,173,30275,715,42,41,0.976190,21.089647059,73.084993455,62.309413990,0.288563302,0.338466465,14.000469366,19.451342494,11.875486334,0.719768796,1.178938611,433.892268,86.376043
6,173,30275,715,42,42,1.000000,28.178824753,73.428010382,62.711398582,0.383761246,0.449341354,13.521203748,19.457245960,11.877903837,0.694918684,1.138349319,440.981446,86.855309
6,250,63000,715,87,1,0.011494,-33.868362017,33.868362017,33.868362017,1.000000000,1.000000000,-1.856748218,1.856748218,1.856748218,1.000000000,1.000000000,33.868362,1.856748
6,250,63000,715,87,2,0.022989,-1.856748218,46.602675499,46.602675499,0.039842095,0.039842095,-1.856748218,1.856748218,4.156784870,1.000000000,0.446678930,65.879976,1.856748
6,250,63000,715,87,3,0.034483,26.435813750,54.518606240,54.518606240,0.484895260,0.484895260,10.059336163,12.059874831,12.620298231,0.834116133,0.797075947,94.172538,13.772833
6,250,63000,715,87,4,0.045977,26.435813750,56.925103817,54.518606240,0.464396408,0.484895260,6.669762673,12.527162064,13.067560441,0.532424075,0.510406109,110.549015,17.162406
6,250,63000,715,87,5,0.057471,46.201864828,60.259142209,57.991164858,0.766719590,0.796705238,15.734869136,15.463050946,13.831311387,1.017578561,1.137626700,130.315066,26.227513
6,250,63000,715,87,6,0.068966,30.968366982,62.154836307,59.958607874,0.498245492,0.516495764,12.065610706,15.892432224,14.309739065,0.759204792,0.843174753,145.548564,29.896771
6,250,63000,715,87,7,0.080460,49.871123258,64.965666865,62.867709144,0.767653526,0.793270885,14.972209843,16.156042849,14.383348419,0.926725064,1.040940496,164.451321,32.803370
6,250,63000,715,87,8,0.091954,49.871123258,67.268279379,62.867709144,0.741376526,0.793270885,23.301786418,18.176896502,14.974183558,1.281945266,1.556130678,181.900777,41.132947
6,250,63000,715,87,9,0.103448,49.871123258,68.567512902,62.867709144,0.727328747,0.793270885,20.360070228,18.413398942,15.046248594,1.105720367,1.353165881,195.185446,44.074663
