k,n_samples,Kprime_over_K,mean_Kprime,rms_S,C_rms_all,C_rms_sf
7,134,1.571919926,2090.739,338.166332,0.396624417,0.495986846
7,134,1.660673966,2208.836,343.860127,0.399574915,0.499897968
7,134,1.754439255,2333.575,333.621964,0.384435856,0.481156176
7,134,1.853498736,2465.291,310.935347,0.355919573,0.445612960
7,134,1.958151333,2604.470,283.070468,0.322222791,0.403531525
7,134,2.068712844,2751.552,285.465300,0.322331451,0.403826074
7,134,2.185516901,2906.896,320.112311,0.357919312,0.448605510
7,134,2.308915970,3071.037,362.193153,0.400228383,0.501901582
7,134,2.439282421,3244.455,356.514146,0.391485348,0.491074768
7,134,2.577009647,3427.619,361.188090,0.393212466,0.493416155
7,134,2.722513254,3621.127,353.579257,0.381730517,0.479176112
7,134,2.876232313,3825.634,325.783232,0.349600028,0.438954193
7,134,3.038630687,4041.575,311.685516,0.332041622,0.417030679
7,134,3.210198428,4269.813,316.879741,0.334322494,0.420057307
7,134,3.391453260,4510.873,350.910358,0.366625319,0.460823735
7,134,3.582942136,4765.582,360.388600,0.373473376,0.469581239
7,134,3.785242894,5034.642,367.969188,0.378222409,0.475706920
7,134,3.998965995,5318.948,389.574949,0.396455651,0.498828751
7,134,4.224756370,5619.209,372.847719,0.376606594,0.473991185
7,134,4.463295365,5936.515,358.729346,0.359354143,0.452417320
7,134,4.715302793,6271.731,327.787671,0.326383582,0.410999439
7,134,4.981539113,6625.836,305.463361,0.301798461,0.380144737
7,134,5.262807718,6999.948,335.235484,0.328236775,0.413577540
7,134,5.559957364,7395.127,395.919495,0.383195528,0.483015752
7,134,5.873884730,7812.701,421.597624,0.403360279,0.508631061
7,134,6.205537122,8253.836,415.677292,0.394863112,0.498032484
7,134,6.555915335,8719.888,399.108312,0.376381007,0.474834704
7,134,6.926076668,9212.172,366.978018,0.343760928,0.433775017
7,134,7.317138121,9732.306,357.529344,0.331897361,0.418927871
7,134,7.730279760,10281.791,369.852903,0.339999820,0.429283005
7,134,8.166748280,10862.425,390.142623,0.355482329,0.448953412
7,134,8.627860768,11475.664,392.782173,0.354407603,0.447728626
7,134,9.115008677,12123.716,414.500015,0.370222295,0.467847376
7,134,9.629662024,12808.142,445.843692,0.394317261,0.498436867
7,134,10.173373825,13531.306,443.565626,0.389378790,0.492300154
7,134,10.747784785,14295.366,394.920423,0.344063690,0.435100127
7,134,11.354628245,15102.493,365.058164,0.316313741,0.400069635
7,134,11.995735416,15955.216,368.058252,0.316380380,0.400240676
7,134,12.673040902,16856.119,388.901714,0.331570267,0.419551105
7,134,13.388588538,17807.843,408.980743,0.346281497,0.438247228
7,134,14.144537560,18813.313,460.635785,0.385852386,0.488465667
7,134,14.943169119,19875.552,487.471168,0.404607102,0.512324165
7,134,15.786893164,20997.761,453.490271,0.374342753,0.474067617
7,134,16.678255717,22183.328,421.290864,0.344919336,0.436894122
7,134,17.619946550,23435.881,407.541263,0.331162596,0.419545697
7,134,18.614807310,24759.075,404.053037,0.325690569,0.412692779
7,134,19.665840086,26157.022,422.945289,0.337978066,0.428351576
7,134,20.776216474,27633.940,443.366212,0.351446186,0.445504845
7,134,21.949287145,29194.201,484.951613,0.380750917,0.482758389
7,134,23.188591953,30842.493,477.189103,0.371704497,0.471371880
7,134,24.497870624,32583.993,471.043077,0.363842815,0.461488911
7,134,25.881074036,34423.754,481.433619,0.368640494,0.467663542
7,134,27.342376141,36367.410,444.250948,0.338796456,0.429840910
7,134,28.886186562,38420.776,407.757080,0.309931004,0.393246808
7,134,30.517163899,40590.127,405.614052,0.306499249,0.388940772
7,134,32.240229788,42881.910,491.505133,0.368113446,0.467214571
7,134,34.060583749,45303.164,542.799305,0.402834716,0.511379128
7,134,35.983718881,47861.052,544.518289,0.401460030,0.509701024
7,134,38.015438433,50563.410,523.084042,0.383556743,0.487023548
7,134,40.161873319,53418.291,498.867054,0.363616793,0.461759691
7,134,42.429500618,56434.358,479.836862,0.348008661,0.441981448
7,134,44.825163119,59620.828,462.582845,0.333245084,0.423286285
7,134,47.356089970,62987.097,492.622672,0.352152086,0.447367257
7,134,50.029918492,66543.545,501.322323,0.355872264,0.452152360
7,134,52.854717227,70300.716,520.988413,0.367485944,0.466963649
7,134,55.839010283,74270.060,570.771555,0.398707666,0.506726717
8,134,0.001000000,6.239,561.280281,0.501264136,0.548306146
8,134,0.001060629,6.604,558.499906,0.492584048,0.540044714
8,134,0.001124935,7.015,537.283430,0.468915595,0.515053549
8,134,0.001193139,7.440,516.511096,0.446919440,0.491739309
8,134,0.001265479,7.888,505.878563,0.432932758,0.477674184
8,134,0.001342204,8.358,532.822422,0.450451217,0.498446027
8,134,0.001423581,8.851,586.079931,0.487936024,0.541739417
8,134,0.001509892,9.418,611.899139,0.502852219,0.559549288
8,134,0.001601436,9.978,612.904167,0.498468398,0.555882617
8,134,0.001698530,10.604,593.889424,0.478444314,0.534665834
8,134,0.001801511,11.231,572.256244,0.455474561,0.510567261
8,134,0.001910736,11.896,559.644929,0.441079248,0.495677846
8,134,0.002026583,12.649,550.116392,0.429647901,0.484001074
8,134,0.002149453,13.403,561.459544,0.434448473,0.490291671
8,134,0.002279774,14.224,606.682543,0.462591267,0.524146066
8,134,0.002417995,15.067,644.261805,0.485292737,0.551085948
8,134,0.002564597,15.970,671.844024,0.499581530,0.568406357
8,134,0.002720087,16.978,665.782537,0.490687411,0.559369777
8,134,0.002885005,17.985,605.298924,0.443190158,0.505635723
8,134,0.003059921,19.104,578.826272,0.419956019,0.479939455
8,134,0.003245442,20.246,603.813422,0.433296150,0.496058997
8,134,0.003442212,21.448,656.500809,0.465076138,0.533885293
8,134,0.003650911,22.769,689.619253,0.483852409,0.556546357
8,134,0.003872264,24.119,692.637007,0.481331017,0.554948418
8,134,0.004107038,25.627,709.006405,0.486758467,0.562427273
8,134,0.004356045,27.149,681.662453,0.463614374,0.536851309
8,134,0.004620150,28.784,656.606321,0.443952741,0.514741123
8,134,0.004900267,30.537,636.246361,0.425282980,0.493936198
8,134,0.005197368,32.410,641.587067,0.424985541,0.494323072
8,134,0.005512482,34.358,657.621279,0.431466291,0.502877988
8,134,0.005846700,36.470,713.949922,0.463055396,0.540661927
8,134,0.006201183,38.627,758.207438,0.485801723,0.568274904
8,134,0.006577157,40.993,749.921934,0.476281566,0.557890606
8,134,0.006975927,43.515,714.395799,0.450508456,0.528340748
8,134,0.007398874,46.075,659.539855,0.413241422,0.485114954
8,134,0.007847464,48.963,636.073149,0.395357341,0.464701461
8,134,0.008323251,51.888,702.761271,0.431836386,0.508402765
8,134,0.008827886,55.075,782.148698,0.475034574,0.560321651
8,134,0.009363116,58.358,819.202079,0.492371676,0.581673458
8,134,0.009930797,61.888,794.041797,0.474119974,0.560656503
8,134,0.010532896,65.709,762.551693,0.451344589,0.534499231
8,134,0.011171500,69.664,753.795037,0.441935179,0.524105348
8,134,0.011848822,73.821,733.833669,0.427034863,0.507057268
8,134,0.012567210,78.336,699.027185,0.404101054,0.480331730
8,134,0.013329153,83.112,727.537560,0.416742882,0.495993459
8,134,0.014137293,88.075,796.482902,0.450450927,0.537051988
8,134,0.014994430,93.507,877.696058,0.491339944,0.586570108
8,134,0.015903534,99.179,875.074479,0.485627535,0.580276667
8,134,0.016867757,105.179,811.774752,0.447876937,0.535560448
8,134,0.017890441,111.597,741.714295,0.406395655,0.486362740
8,134,0.018975129,118.284,731.744923,0.398022270,0.476772298
8,134,0.020125581,125.463,778.645873,0.419095840,0.502702381
8,134,0.021345785,133.067,838.324261,0.447441592,0.537238737
8,134,0.022639968,141.127,892.447178,0.471365790,0.566648714
8,134,0.024012618,149.731,909.391497,0.475973880,0.572819160
