k,n_samples,Kprime_over_K,mean_Kprime,rms_S,rms_sqrt_sumR2_all,rms_sqrt_sumR2_sf,C_rms_all,C_rms_sf,rms_SM,rms_sqrt_Diag,C_rms_M,C_rms_M_all
6,541,0.125892541,38.885,57.956678,148.361546,125.403722,0.390644880,0.462160750,39.761091,48.233623,0.824343865,1.277290560
6,541,0.141253754,43.634,61.260596,152.197190,128.186498,0.402508063,0.477902097,40.313427,49.199185,0.819392178,1.283562567
6,541,0.158489319,48.967,66.291846,155.870129,130.859847,0.425301802,0.506586611,42.337262,50.003657,0.846683325,1.337661091
6,541,0.177827941,54.922,60.783851,158.836665,133.040326,0.382681485,0.456882906,44.377398,50.897708,0.871893833,1.393220003
6,541,0.199526231,61.662,58.100743,162.000331,135.320509,0.358645830,0.429356523,44.047602,51.578559,0.853990547,1.375610479
6,541,0.223872114,69.170,69.854236,166.592389,138.664283,0.419312292,0.503765172,44.114615,52.592581,0.838799191,1.366416265
6,541,0.251188643,77.597,67.377133,169.831152,141.007021,0.396730115,0.477828211,51.141240,53.148157,0.962239188,1.576121327
6,541,0.281838293,87.068,67.339398,173.761813,143.868821,0.387538536,0.468061098,49.770850,54.343671,0.915853653,1.518774339
6,541,0.316227766,97.682,64.085293,177.361170,146.538875,0.361326513,0.437326224,51.015880,55.404154,0.920795217,1.546518382
6,541,0.354813389,109.625,70.137821,181.371980,149.526573,0.386707038,0.469065932,51.341722,56.374364,0.910728182,1.546808242
6,541,0.398107171,122.983,73.906800,185.508005,152.593093,0.398402214,0.484339088,55.929222,57.310365,0.975900646,1.674586526
6,541,0.446683592,137.989,63.663244,188.283219,154.643157,0.338124896,0.411678378,57.053772,58.373161,0.977397335,1.698579649
6,541,0.501187234,154.880,67.925701,192.414497,157.699754,0.353017587,0.430728011,56.746241,59.325574,0.956522407,1.680433146
6,541,0.562341325,173.710,76.776042,196.679171,160.828411,0.390361832,0.477378600,59.560730,60.373372,0.986539728,1.751864221
6,541,0.630957344,194.911,77.125876,200.579395,163.717101,0.384515446,0.471092361,64.396355,60.965201,1.056280525,1.887328018
6,541,0.707945784,218.706,69.742400,203.973878,166.264854,0.341918290,0.419465679,63.107760,61.813574,1.020936919,1.841906587
6,541,0.794328235,245.373,73.845025,208.731691,169.825596,0.353779654,0.434828595,63.795660,62.489202,1.020906937,1.856486639
6,541,0.891250938,275.320,80.732894,213.002752,173.017468,0.379022775,0.466617011,63.035226,63.463586,0.993250305,1.826252726
6,541,1.000000000,308.921,81.552181,217.206312,176.165519,0.375459535,0.462929303,64.855242,64.304797,1.008559936,1.873819992
7,2400,0.001000000,1.532,121.469901,210.833641,210.833641,0.576140983,0.576140983,54.863161,58.015058,0.945671049,0.866772720
