n,X,d,Md_weight,discrepancy,contribution
173,30275,1,1,-6.697733e+00,-6.697733e+00
173,30275,2,0,-4.852867e+00,-0.000000e+00
173,30275,3,-1,1.877623e-01,-1.877623e-01
173,30275,4,-1,-1.467390e+00,1.467390e+00
173,30275,5,-2,-2.171435e+00,4.342870e+00
173,30275,6,-1,-1.980086e-01,1.980086e-01
173,30275,7,-2,-1.128457e+00,2.256914e+00
173,30275,8,-2,5.366578e-01,-1.073316e+00
173,30275,9,-2,-1.642051e+00,3.284102e+00
173,30275,10,-1,-1.511466e+00,1.511466e+00
173,30275,11,-2,2.801064e+00,-5.602129e+00
173,30275,12,-2,1.066677e-01,-2.133353e-01
173,30275,13,-3,-3.513253e+00,1.053976e+01
173,30275,14,-2,1.163346e+00,-2.326691e+00
173,30275,15,-1,-6.272393e-01,6.272393e-01
173,30275,16,-1,9.676760e-02,-9.676760e-02
173,30275,17,-2,-1.277910e+00,2.555820e+00
173,30275,18,-2,1.108859e+00,-2.217719e+00
173,30275,19,-3,-8.876080e-01,2.662824e+00
173,30275,20,-3,2.133800e+00,-6.401399e+00
173,30275,21,-2,-9.653103e-01,1.930621e+00
173,30275,22,-1,-2.327797e+00,2.327797e+00
173,30275,23,-2,1.319655e+00,-2.639311e+00
173,30275,24,-2,9.770825e-01,-1.954165e+00
173,30275,25,-2,-1.638866e+00,3.277733e+00
173,30275,26,-1,-1.107175e+00,1.107175e+00
173,30275,27,-1,1.288899e+00,-1.288899e+00
173,30275,28,-1,-4.536265e-01,4.536265e-01
173,30275,29,-2,1.096176e+00,-2.192351e+00
173,30275,30,-3,2.175075e-01,-6.525224e-01
173,30275,31,-4,-3.681335e-01,1.472534e+00
173,30275,32,-4,-2.417853e-01,9.671411e-01
173,30275,33,-3,-1.966955e+00,5.900865e+00
173,30275,34,-2,3.110701e-01,-6.221403e-01
173,30275,35,-1,2.952682e-01,-2.952682e-01
173,30275,36,-1,1.726279e+00,-1.726279e+00
173,30275,37,-2,-2.868771e-01,5.737542e-01
173,30275,38,-1,-1.999885e+00,1.999885e+00
173,30275,41,-1,-7.307314e-01,7.307314e-01
173,30275,42,-2,2.396328e-01,-4.792656e-01
218,47960,1,1,-1.489641e+01,-1.489641e+01
218,47960,3,-1,4.211684e+00,-4.211684e+00
218,47960,4,-1,-4.295052e+00,4.295052e+00
218,47960,5,-2,8.980593e-01,-1.796119e+00
218,47960,6,-1,-2.156304e+00,2.156304e+00
218,47960,8,-2,8.074580e-01,-1.614916e+00
218,47960,9,-2,-2.375803e+00,4.751607e+00
218,47960,10,-1,-1.728948e+00,1.728948e+00
218,47960,11,-2,1.340235e+00,-2.680470e+00
218,47960,12,-2,-1.196125e+00,2.392250e+00
218,47960,13,-3,1.711900e+00,-5.135700e+00
218,47960,15,-1,-1.881898e+00,1.881898e+00
218,47960,16,-1,-3.067931e+00,3.067931e+00
218,47960,17,-2,4.167889e+00,-8.335777e+00
218,47960,18,-2,-8.098829e-01,1.619766e+00
218,47960,19,-3,-3.136911e+00,9.410733e+00
218,47960,20,-3,2.176579e+00,-6.529737e+00
218,47960,21,-2,-1.358724e+00,2.717447e+00
218,47960,24,-2,-1.554659e+00,3.109319e+00
218,47960,25,-2,1.184996e+00,-2.369992e+00
218,47960,27,-1,-1.574645e+00,1.574645e+00
218,47960,30,-3,1.070997e+00,-3.212991e+00
218,47960,31,-4,-1.686632e+00,6.746528e+00
218,47960,32,-4,8.328309e-01,-3.331324e+00
218,47960,33,-3,2.082376e+00,-6.247129e+00
218,47960,34,-2,-1.527141e+00,3.054281e+00
218,47960,35,-1,-3.271512e+00,3.271512e+00
218,47960,36,-1,1.986625e+00,-1.986625e+00
218,47960,42,-2,-6.993967e-01,1.398793e+00
218,47960,43,-3,1.431278e+00,-4.293833e+00
218,47960,44,-3,-1.580446e+00,4.741339e+00
218,47960,45,-3,6.953300e-01,-2.085990e+00
218,47960,46,-2,8.291762e-01,-1.658352e+00
218,47960,51,-2,-6.330267e-01,1.266053e+00
218,47960,53,-3,-2.353660e+00,7.060980e+00
218,47960,54,-3,1.640085e+00,-4.920254e+00
218,47960,55,-2,6.336802e-01,-1.267360e+00
218,47960,56,-2,-1.224380e+00,2.448759e+00
218,47960,61,-2,-1.952351e+00,3.904703e+00
218,47960,63,-1,1.189145e+00,-1.189145e+00
263,69695,1,1,-2.434390e+01,-2.434390e+01
263,69695,4,-1,-4.747972e+00,4.747972e+00
263,69695,5,-2,6.171031e+00,-1.234206e+01
263,69695,6,-1,-9.679952e+00,9.679952e+00
263,69695,7,-2,5.792419e+00,-1.158484e+01
263,69695,8,-2,-4.382895e+00,8.765790e+00
263,69695,11,-2,1.386222e+00,-2.772445e+00
263,69695,12,-2,2.303839e+00,-4.607677e+00
263,69695,13,-3,-2.794018e+00,8.382053e+00
263,69695,17,-2,1.497393e+00,-2.994786e+00
263,69695,19,-3,1.511234e+00,-4.533701e+00
263,69695,22,-1,-3.042829e+00,3.042829e+00
263,69695,23,-2,-1.884843e+00,3.769687e+00
263,69695,24,-2,1.414734e+00,-2.829468e+00
263,69695,25,-2,2.478389e+00,-4.956778e+00
263,69695,27,-1,-2.737868e+00,2.737868e+00
263,69695,29,-2,2.700845e+00,-5.401689e+00
263,69695,31,-4,-1.218595e+00,4.874380e+00
263,69695,32,-4,-6.045295e-01,2.418118e+00
263,69695,33,-3,8.848980e-01,-2.654694e+00
263,69695,34,-2,1.379260e+00,-2.758520e+00
263,69695,35,-1,-2.385732e+00,2.385732e+00
263,69695,42,-2,-1.268763e+00,2.537526e+00
263,69695,43,-3,9.855446e-01,-2.956634e+00
263,69695,44,-3,2.241937e+00,-6.725810e+00
263,69695,45,-3,-1.499604e+00,4.498813e+00
263,69695,46,-2,1.486991e+00,-2.973981e+00
263,69695,48,-3,3.010973e+00,-9.032919e+00
263,69695,49,-3,-2.000250e+00,6.000749e+00
263,69695,51,-2,-2.606073e+00,5.212145e+00
263,69695,53,-3,1.514232e+00,-4.542697e+00
263,69695,55,-2,-1.223423e+00,2.446847e+00
263,69695,61,-2,-1.559505e+00,3.119009e+00
263,69695,72,-3,-8.929896e-01,2.678969e+00
263,69695,77,-2,-1.764375e+00,3.528751e+00
263,69695,80,-4,-6.264253e-01,2.505701e+00
263,69695,81,-4,1.370493e+00,-5.481972e+00
263,69695,82,-3,-1.484088e+00,4.452264e+00
263,69695,84,-4,2.510611e+00,-1.004244e+01
263,69695,89,-2,-1.351887e+00,2.703774e+00
308,95480,1,1,4.803611e+00,4.803611e+00
308,95480,3,-1,-1.168047e+01,1.168047e+01
308,95480,4,-1,6.285290e+00,-6.285290e+00
308,95480,5,-2,-1.184164e+01,2.368328e+01
308,95480,6,-1,6.219292e+00,-6.219292e+00
308,95480,8,-2,-6.239574e+00,1.247915e+01
308,95480,9,-2,-2.998037e+00,5.996075e+00
308,95480,10,-1,6.794348e+00,-6.794348e+00
308,95480,11,-2,-5.214574e+00,1.042915e+01
308,95480,14,-2,-4.743093e+00,9.486186e+00
308,95480,18,-2,-3.633818e+00,7.267635e+00
308,95480,19,-3,3.459305e+00,-1.037791e+01
308,95480,21,-2,-2.526805e+00,5.053610e+00
308,95480,30,-3,-2.672299e+00,8.016897e+00
308,95480,31,-4,-1.099652e+00,4.398608e+00
308,95480,33,-3,-1.684831e+00,5.054492e+00
308,95480,34,-2,1.906428e+00,-3.812857e+00
308,95480,35,-1,4.376403e+00,-4.376403e+00
308,95480,43,-3,-2.498646e+00,7.495939e+00
308,95480,46,-2,-1.768953e+00,3.537907e+00
308,95480,47,-3,2.477947e+00,-7.433841e+00
308,95480,49,-3,-2.155678e+00,6.467033e+00
308,95480,68,-2,-1.900728e+00,3.801456e+00
308,95480,70,-2,-1.773615e+00,3.547229e+00
308,95480,71,-3,-1.501154e+00,4.503463e+00
308,95480,73,-4,2.628664e+00,-1.051466e+01
308,95480,74,-3,1.624297e+00,-4.872892e+00
308,95480,75,-3,-1.380145e+00,4.140435e+00
308,95480,76,-3,-1.244263e+00,3.732789e+00
308,95480,79,-4,-1.115511e+00,4.462044e+00
308,95480,80,-4,8.807307e-01,-3.522923e+00
308,95480,81,-4,-9.814296e-01,3.925718e+00
308,95480,83,-4,-1.988240e+00,7.952960e+00
308,95480,108,-3,1.672439e+00,-5.017316e+00
308,95480,109,-4,-1.033941e+00,4.135764e+00
308,95480,111,-4,1.815212e+00,-7.260850e+00
308,95480,112,-4,-1.186437e+00,4.745750e+00
308,95480,114,-6,-1.040795e+00,6.244768e+00
308,95480,115,-5,9.578985e-01,-4.789493e+00
308,95480,116,-5,9.565773e-01,-4.782886e+00
353,125315,1,1,-1.070761e+01,-1.070761e+01
353,125315,3,-1,-3.349292e+00,3.349292e+00
353,125315,5,-2,2.883662e+00,-5.767324e+00
353,125315,6,-1,-4.182888e+00,4.182888e+00
353,125315,7,-2,-7.075844e+00,1.415169e+01
353,125315,9,-2,3.310878e+00,-6.621756e+00
353,125315,11,-2,-5.175886e+00,1.035177e+01
353,125315,13,-3,1.701379e+00,-5.104137e+00
353,125315,17,-2,-2.187109e+00,4.374218e+00
353,125315,20,-3,-1.180027e+00,3.540081e+00
353,125315,24,-2,-3.472667e+00,6.945333e+00
353,125315,29,-2,-1.236468e+00,2.472937e+00
353,125315,31,-4,7.986435e-01,-3.194574e+00
353,125315,32,-4,-1.411201e+00,5.644803e+00
353,125315,37,-2,3.031491e+00,-6.062982e+00
353,125315,38,-1,-2.385868e+00,2.385868e+00
353,125315,44,-3,9.426374e-01,-2.827912e+00
353,125315,46,-2,3.657419e+00,-7.314837e+00
353,125315,48,-3,-2.745682e+00,8.237045e+00
353,125315,50,-3,-1.268712e+00,3.806135e+00
353,125315,52,-2,1.214127e+00,-2.428254e+00
353,125315,57,-1,-2.943665e+00,2.943665e+00
353,125315,68,-2,-1.461353e+00,2.922706e+00
353,125315,74,-3,-2.096629e+00,6.289887e+00
353,125315,75,-3,1.032625e+00,-3.097876e+00
353,125315,76,-3,-1.837486e+00,5.512458e+00
353,125315,77,-2,3.157557e+00,-6.315113e+00
353,125315,79,-4,1.283582e+00,-5.134327e+00
353,125315,84,-4,1.671704e+00,-6.686817e+00
353,125315,89,-2,-1.208657e+00,2.417314e+00
353,125315,109,-4,-1.419994e+00,5.679977e+00
353,125315,110,-5,-5.640417e-01,2.820209e+00
353,125315,114,-6,1.570937e+00,-9.425621e+00
353,125315,116,-5,-1.289299e+00,6.446495e+00
353,125315,117,-5,5.656222e-01,-2.828111e+00
353,125315,121,-3,8.469767e-01,-2.540930e+00
353,125315,139,-4,-8.823312e-01,3.529325e+00
353,125315,140,-4,-1.030487e+00,4.121950e+00
353,125315,141,-3,1.115773e+00,-3.347318e+00
353,125315,154,-2,1.253469e+00,-2.506939e+00
398,159200,3,-1,-5.999614e+00,5.999614e+00
398,159200,5,-2,-8.254609e+00,1.650922e+01
398,159200,6,-1,-4.944084e+00,4.944084e+00
398,159200,7,-2,6.846377e+00,-1.369275e+01
398,159200,8,-2,-6.783096e+00,1.356619e+01
398,159200,9,-2,-5.728184e+00,1.145637e+01
398,159200,10,-1,9.610476e+00,-9.610476e+00
398,159200,11,-2,-6.454462e+00,1.290892e+01
398,159200,12,-2,5.102701e+00,-1.020540e+01
398,159200,13,-3,-3.320421e+00,9.961263e+00
398,159200,14,-2,-3.464362e+00,6.928724e+00
398,159200,16,-1,5.132540e+00,-5.132540e+00
398,159200,19,-3,-2.403360e+00,7.210079e+00
398,159200,23,-2,2.351371e+00,-4.702743e+00
398,159200,24,-2,-5.183782e+00,1.036756e+01
398,159200,25,-2,3.966480e+00,-7.932961e+00
398,159200,30,-3,-1.975951e+00,5.927853e+00
398,159200,37,-2,2.472863e+00,-4.945726e+00
398,159200,44,-3,2.100695e+00,-6.302086e+00
398,159200,45,-3,1.563800e+00,-4.691400e+00
398,159200,46,-2,-1.969827e+00,3.939655e+00
398,159200,50,-3,-2.820326e+00,8.460978e+00
398,159200,72,-3,-2.029033e+00,6.087098e+00
398,159200,76,-3,1.466133e+00,-4.398398e+00
398,159200,79,-4,1.711454e+00,-6.845815e+00
398,159200,81,-4,-1.167433e+00,4.669732e+00
398,159200,109,-4,1.214709e+00,-4.858835e+00
398,159200,111,-4,2.210272e+00,-8.841090e+00
398,159200,114,-6,-1.658133e+00,9.948798e+00
398,159200,117,-5,-1.525408e+00,7.627041e+00
398,159200,118,-4,-1.666052e+00,6.664207e+00
398,159200,139,-4,-1.136419e+00,4.545676e+00
398,159200,140,-4,-1.137556e+00,4.550223e+00
398,159200,192,-5,1.255642e+00,-6.278210e+00
398,159200,193,-6,1.404029e+00,-8.424176e+00
398,159200,196,-6,1.402721e+00,-8.416323e+00
398,159200,197,-7,-5.977213e-01,4.184049e+00
398,159200,198,-7,-5.981660e-01,4.187162e+00
398,159200,200,-8,-5.990641e-01,4.792513e+00
398,159200,201,-7,-5.995175e-01,4.196623e+00
443,197135,1,1,-1.493208e+01,-1.493208e+01
443,197135,4,-1,-6.334291e+00,6.334291e+00
443,197135,7,-2,-4.864474e+00,9.728949e+00
443,197135,9,-2,4.734307e+00,-9.468614e+00
443,197135,10,-1,-5.075686e+00,5.075686e+00
443,197135,11,-2,-3.218643e+00,6.437286e+00
443,197135,12,-2,2.351477e+00,-4.702955e+00
