n,X,d,Md_weight,discrepancy,contribution
3114,9703224,1,1,-3.890952e+01,-3.890952e+01
3114,9703224,3,-1,4.979938e+01,-4.979938e+01
3114,9703224,4,-1,-5.301628e+01,5.301628e+01
3114,9703224,5,-2,3.819600e+01,-7.639200e+01
3114,9703224,6,-1,-2.572272e+01,2.572272e+01
3114,9703224,7,-2,-2.108791e+01,4.217582e+01
3114,9703224,8,-2,3.877391e+01,-7.754782e+01
3114,9703224,9,-2,-3.363582e+01,6.727165e+01
3114,9703224,10,-1,-2.674821e+01,2.674821e+01
3114,9703224,11,-2,1.760153e+01,-3.520307e+01
3114,9703224,12,-2,1.710101e+01,-3.420203e+01
3114,9703224,13,-3,-1.417109e+01,4.251326e+01
3114,9703224,15,-1,-3.092511e+01,3.092511e+01
3114,9703224,17,-2,-1.639726e+01,3.279451e+01
3114,9703224,20,-3,2.109692e+01,-6.329076e+01
3114,9703224,21,-2,-3.209006e+01,6.418012e+01
3114,9703224,25,-2,-9.748378e+00,1.949676e+01
3114,9703224,26,-1,-3.090735e+01,3.090735e+01
3114,9703224,30,-3,2.058853e+01,-6.176558e+01
3114,9703224,31,-4,5.996330e+00,-2.398532e+01
3114,9703224,32,-4,-8.806184e+00,3.522474e+01
3114,9703224,33,-3,-2.370567e+01,7.111701e+01
3114,9703224,37,-2,-1.468477e+01,2.936954e+01
3114,9703224,41,-1,-2.581793e+01,2.581793e+01
3114,9703224,42,-2,1.253643e+01,-2.507286e+01
3114,9703224,45,-3,-1.205914e+01,3.617741e+01
3114,9703224,46,-2,1.459098e+01,-2.918196e+01
3114,9703224,54,-3,7.772970e+00,-2.331891e+01
3114,9703224,67,-2,-1.035509e+01,2.071017e+01
3114,9703224,71,-3,1.140174e+01,-3.420523e+01
3114,9703224,95,2,1.170989e+01,2.341978e+01
3114,9703224,109,-4,-5.014386e+00,2.005754e+01
3114,9703224,111,-4,-6.665664e+00,2.666266e+01
3114,9703224,115,-5,-6.116668e+00,3.058334e+01
3114,9703224,118,-4,5.920159e+00,-2.368064e+01
3114,9703224,139,-4,-6.753739e+00,2.701495e+01
3114,9703224,188,-3,6.836065e+00,-2.050820e+01
3114,9703224,197,-7,3.041764e+00,-2.129235e+01
3114,9703224,201,-7,-3.166227e+00,2.216359e+01
3114,9703224,288,-7,3.871047e+00,-2.709733e+01
4099,16809999,1,1,-8.365673e+01,-8.365673e+01
4099,16809999,3,-1,-3.555229e+01,3.555229e+01
4099,16809999,5,-2,1.411125e+01,-2.822250e+01
4099,16809999,7,-2,-3.138675e+01,6.277350e+01
4099,16809999,13,-3,-2.540898e+01,7.622695e+01
4099,16809999,14,-2,3.266768e+01,-6.533536e+01
4099,16809999,17,-2,-4.174859e+01,8.349717e+01
4099,16809999,21,-2,1.461806e+01,-2.923613e+01
4099,16809999,23,-2,1.301771e+01,-2.603542e+01
4099,16809999,26,-1,-3.728119e+01,3.728119e+01
4099,16809999,32,-4,1.202170e+01,-4.808680e+01
4099,16809999,45,-3,-1.646987e+01,4.940960e+01
4099,16809999,52,-2,1.680384e+01,-3.360768e+01
4099,16809999,54,-3,-1.280781e+01,3.842344e+01
4099,16809999,55,-2,2.255182e+01,-4.510364e+01
4099,16809999,56,-2,-1.582689e+01,3.165378e+01
4099,16809999,71,-3,-1.185111e+01,3.555334e+01
4099,16809999,72,-3,-1.094586e+01,3.283758e+01
