n,X,H_num,H_den,H,C_centered,E_centered,identity_err
173,30275,-265523592437090658351989247609321847588783219984595573692356303640536830639369570500665530349614381130292565544947472637234710552340343741897454055321941732277168070485108141472783520730272548909515631298304993877529681649811574970528057966253622106079134278563116757956552859037813798217629106960424750967650804562058501102235596068145380990770459421094004077690751817654879167986193294189731311869478477941821674020164622176787400708223053000426435918383579923443828563646057827389401954733213274738184846944724253396492967346074390663205480998672874930327576978968253759237089063283479,18965970888363618453713517686380131970627372856042540978025450260038345045669255035761823596401027223592326110353390902659622182310024552992675289665852980876940576463222010105198822909305182064965402235593213848394977260700826783609146997589544436148509591325936911282610918502700985586973507640030339354832200325861321507302542576296098642197889958649571719835053701261062797713299521013552236562105605567272976715726044441199100050587360928601888279884541423103130611689004130527814425338086662481298917638908875242606640524719599333086105785619491066451969784212018125659792075948820,-14.0,9.538896857967075,11.769448428983651,2.2737367544323206e-13
174,30624,492827879902175843153313376244574641357968855274438754201721927211602450807920793732295870724663055885770292109940384819109879434268062248218759420862694881878077100521602232279030019537248291536600982333975178030263424274271483846813440922213162242343847713999724285601177655032305913358478266706848969599048841800790399773088795732542563202566383016424477265410865116101859061792555735427910389454713841634441743446517669949340251314504908978064218181848311221543469682524880058412147567497251911445873390162556379410157401513547164488525324580870108772198911817024410386462778943215553,23467994281055992531110160773551173397998516917830416866748663200552497657520037796775993844031574089798585338568589753290946639727050583248512353374414041994194147643885820584715715216059442454123856301617865620488734489251023040324449567724436297254468938761891632647675126430109805398022774605088046171383278180990019036813752177740122057265065857924975107876707862671517098180597892163233828069272087696878178259357984283301916729262138522764962770564205296263974746786899050400578455595107233878374923341074113305245590548264150689929777360993814703438043419858305256498227568724550,21.0,-8.290228459040975,-14.645114229520374,2.2737367544323206e-13
175,30975,368782767273737025488873955012947010539976694423049407906050421722967820332457736806479903263353307125406341034649267551714875767139366308190908410169363517051622320118205752045532667680934095707660599025423602607680113402516076347955636064241141813998797609115439941606323415330296941968929315222812154121737228558414584864216105650201918042736749195963894552348266413409554399980824019707960155374275663808085658361339753023315834316976462500592272108866083227005317449508413649151947159351685103803034509645450351939573565758436653698896501387045659625454968026344796887829290365671503,14751310690949481019554958200517880421599067776921976316242016868918712813298309472259196130534132285016253641385970702068595030685574652327636336406774540682064892804728230081821306707237363828306423961016944104307204536100643053918225442569645672559951904364617597664252936613211877678757172608912486164869489142336583394568644226008076721709469967838555782093930656536382175999232960788318406214971026552323426334453590120932633372679058500023690884354643329080212697980336545966077886374067404152121380385818014077582942630337466147955860055481826385018198721053791875513171614626860,25.0,-5.3860967935965505,-15.193048396798275,0.0
176,31328,78756997756764178324742573443442920894978073724244449824003988367955839596423177690875369171495791013222371136213233409349278553660271448867888914714135259573736292093040550436842569708131688235873280469836226997572363201215297660749847701854887912820082201268721072275248729375622736759466260539109036303964221692135996089646151376144816395567509150324492734908273844219667549826413265225767761995184294304777615175472557425318296820235651313685807263927333028140118641759423931852788715386970039117258217314113126007434354721293251467899930804691106970859874527660075267570323027245101,3579863534398371742033753338338314586135366987465656810181999471270719981655598985948880416886172318782835051646056064061330843348194156766722223396097057253351649640592752292583753168551440374357876384992555772616925600055240802761356713720676723310003736421305503285238578607982851670884830024504956195634737349642545276802097789824764381616704961378386033404921538373621252264836966601171261908872013377489891598885116246605377128192529605167536693814878774006369029170882905993308577972135001778057191696096051182156107032786056884904542309304141225948176114893639784889560137602050,22.0,7.25515224231475,-7.372423878842625,0.0
177,31683,104008787721122928785791311450112459959913572256518834825045799520415969654562490562117925530172602408871407253692370558142453165541665198353660920036876752359023790465279807382714657999305187791234949344012391733636097318967328973633948900876721302895486657815860920010204462327274309949131788721642484120722260105222552609617391684285622620401616742382557556143231580115870696473720603743406548357826566525910183864523044682074919515169042237009145346130289171463931636394931907582962955650184873195991947003453692724881546495210627921612552296818322152079314031386536182157298952496101,2811048316787106183399765174327363782700366817743752292568805392443674855528715961138322311626286551591119114964658663733579815284909870225774619460456128442135778120683238037370666432413653724087431063351686263071245873485603485773890510834505981159337477238266511351627147630466873241868426722206553624884385408249258178638307883359070881632476128172501555571438691354482991796587043344416393198860177473673248212554676883299322149058622763162409333679197004634160314497160321826566566368923915491783566135228478181753555310681368322205744656670765463569711190037473950869116187905300,37.0,0.18900756231039395,-18.405496218844462,6.821210263296962e-13
178,32040,97094447980727181039160247260125153222764013277949127693473573719300781353202305630840380500978393099883102326137508650929110575109528681738621259035635409564039070550524618896764123252114588780345268161320482835813092543587814728028916719003190173118489400370094933879635000692931911288536016724334423861305144951797511597086150801038236332445914265922434326916767455709619994263607995636543539414958547904098970350657212587034198766439773112096234029856682210811549250885498757776721610312891421359485503733518570271851905969833172705202004245783364713328740835592868911959831075379781,2311772570969694786646672553812503648161047935189264945082704136173828127457197753115247154785199835711502436336607348831645489883560206708062410929419890703905692155964871878494383886955109256674887337174297210376502203418757493524498017119123575550440223818335593663800833349831712173536571826769867234792979641709464561835384542881862769820140815855296055402780177516895714149133523705631989033689489235811880246444219347310338065867613645526100810234682909781227363116321398994683847864592652889511559612702823101710759665948408873933381053471032493174493829418877831237138835128090,42.0,-5.178093046227559,-23.589046523113666,2.2737367544323206e-13
179,32399,60804790585530469462200999083181554376072138810317897310301095282816053449496830728835394771914648274877043819389617520346066050926397838741818837067181675711424093810962923912615052763264186485188784288446795769759329799503072782402478449427011394068353881857530958713140534414526798452116416431418500379886264869107951392132887660181033848667359322897212837546320329707797361178771575389586001135159170233616824886424359447406992352980585163668780703133428496609656815440264403275116319308893288959672975714441919572645603539571699845837472959805839869017606800797922188428079703179101,1961444857597757079425838680102630786324907703558641848719390170413421079016026797704367573287569299189582058689987661946647291965367672217478027002167150829400777219708481416535969443976264080167380138336993411927720316113002347819434788691193915937688834898630030926230339819823445111358594078432854850964073060293804883617189924521968833827979332996684285082139365474445076167057147593212451649521263555923123383433043853142161043644535005279638087197852532148698606949685948492745687719641718998699128248852965147504696888373280640188305579348575479645729251638642651239615474296100,31.0,8.412166473853006,-11.293916763073497,0.0
180,32760,15318668794447537981845533515922414283968262691418975405328248286954047921502090605807626750939291219055340319900815729071233301096558292801776195499342792246759696374140854315737510811361877821702824882594518877549789325950667786761234113437708967658411592994025966805185741867566180666401679247716812555826007955503375063590515157777618134082911120447731004482158758710858413537664997741715267992469912188951250424240266664045426963935945365409217456829821918660220878671887951580157805080762304311818356554503322311336132731504291769031085442231127399826590979555860793802139753650971,1702074310494170886871725946213601587107584743490997267258694254106005324611343400645291861215476802117260035544535081007914811232950921422419577277704754694084410708237872701748612312373541980189202764732724319727754369550074198529026012604189885295379065888225107422798415763062908962933519916412979172869556439500375007065612795308624237120323457827525667164684306523428712615296110860190585332496656909883472269360029629338380773770660596156579717425535768740024542074654216842239756120084700479090928506055924701259570303500476863225676160247903044425176775506206754866904417072330,9.0,1.466817365961333,-3.7665913170193335,0.0
181,33123,-18586651470596346084639247332652529331214825398921690158464941254837578144755869935046587124473006679120479588146323084606429738663824061932821783872535921259401764933957569903094846451119078423666094190881349571427077715486810247936964057637753547425539399499418173056958700132646965875234037487229732567735556319344095077156491724770176669353932159476580285438352627235841541759033530593281191830863493455927517181411523552375118049575613710029850514286850594641067999455224047917258136831324929231672939286130697737754507714225207346424383669907101245122930388527777763146596234429842569,1548887622549695507053270611054377444267902116576807513205411771236464845396322494587215593706083889926706632345526923717202478221985338494401815322711326771616813744496464158591237204259923201972174515906779130952256476290567520661413671469812795618794949958284847754746558344387247156269503123935811047311296359945341256429707643730848055779494346623048357119862718936320128479919460882773432652571957787993959765117626962697926504131301142502487542857237549553422333287935337326438178069277077435972744940510891478146208976185433945535365305825591770426910865710648146928883019535820300,-12.0,-6.692170247946763,2.6539148760266187,0.0
182,33488,-28218600410824412071820719634593921049415220747350744167709931054915351434345956379119312435940799614049311115606765816710166607283133697266429833814578827822978388057627889528990151494613985461031519520568850563907506653067019607191747051069463887791810829199521517799026366598148227543371514403688865234416330444348322485561475290642980773310625748193188692467134555520002340727277627418949177880865627716489145518337333328504733880934636199438032157318093008058301618606109384489764377780351613205981183126716646362987612926455274311373052130425760999680562330760796199109204809357049,1343742876705924384372415220694948621400724797492892579414758621662635782587902684719967258854323791145205291219369800795722219394434937965068087324503753705856113717029899501380483404505427879096739024788992883995595554907953314628178431003307804180562420438072453228525065076102296549684357828747088820686491925921348689788641680506808608252886940390151842498434978834285825748917982258045198946707887034118530738968444444214511137187363628544668197967528238478966743743148065928084017989540553009808627767938887922047029186974060681493954863353607666651455349083847438052819276636050,-21.0,1.8843442632527285,11.442172131626478,2.2737367544323206e-13
