n,X,d,Md_weight,discrepancy,contribution
48,2400,1,1,3.812061e-01,3.812061e-01
48,2400,2,0,-9.791409e-01,-0.000000e+00
48,2400,3,-1,-5.501742e-01,5.501742e-01
48,2400,4,-1,-2.081405e+00,2.081405e+00
48,2400,5,-2,8.527856e-01,-1.705571e+00
48,2400,6,-1,1.941497e-01,-1.941497e-01
48,2400,7,-2,-1.278425e+00,2.556850e+00
48,2400,8,-2,-2.342262e-02,4.684524e-02
48,2400,9,-2,-6.992568e-01,1.398514e+00
48,2400,10,-1,9.508175e-01,-9.508175e-01
48,2400,11,-2,-2.369582e+00,4.739164e+00
48,2400,12,-2,9.564944e-01,-1.912989e+00
48,2400,13,-3,7.217974e-02,-2.165392e-01
58,3480,1,1,-4.856134e+00,-4.856134e+00
58,3480,2,0,-7.722631e-01,-0.000000e+00
58,3480,3,-1,-9.182511e-01,9.182511e-01
58,3480,4,-1,-1.124379e+00,1.124379e+00
58,3480,5,-2,1.033690e+00,-2.067380e+00
58,3480,6,-1,-1.200837e+00,1.200837e+00
58,3480,7,-2,-9.244944e-02,1.848989e-01
58,3480,8,-2,-1.441564e-01,2.883127e-01
58,3480,9,-2,5.645176e-01,-1.129035e+00
58,3480,10,-1,-1.512856e+00,1.512856e+00
58,3480,11,-2,-5.507704e-01,1.101541e+00
58,3480,12,-2,9.140404e-01,-1.828081e+00
58,3480,13,-3,-4.229849e-01,1.268955e+00
58,3480,14,-2,8.049764e-02,-1.609953e-01
58,3480,15,-1,2.292112e-01,-2.292112e-01
58,3480,16,-1,-1.430239e+00,1.430239e+00
58,3480,17,-2,-7.915426e-02,1.583085e-01
58,3480,18,-2,9.024691e-02,-1.804938e-01
58,3480,19,-3,2.640368e-01,-7.921105e-01
68,4760,1,1,-2.797920e+00,-2.797920e+00
68,4760,2,0,-2.696787e+00,-0.000000e+00
68,4760,3,-1,2.377485e-01,-2.377485e-01
68,4760,4,-1,-1.282792e-01,1.282792e-01
68,4760,5,-2,-4.874771e-01,9.749543e-01
68,4760,6,-1,-2.119582e+00,2.119582e+00
68,4760,7,-2,1.835141e+00,-3.670282e+00
68,4760,8,-2,-1.584802e+00,3.169605e+00
68,4760,9,-2,-3.628060e-01,7.256119e-01
68,4760,10,-1,8.076105e-01,-8.076105e-01
68,4760,11,-2,2.533859e-02,-5.067718e-02
68,4760,12,-2,-4.841947e-02,9.683894e-02
68,4760,13,-3,-4.321973e-01,1.296592e+00
68,4760,14,-2,-1.969444e+00,3.938889e+00
68,4760,15,-1,5.075318e-01,-5.075318e-01
68,4760,16,-1,-1.147886e-03,1.147886e-03
68,4760,17,-2,1.457147e-01,-2.914294e-01
68,4760,18,-2,4.769810e-01,-9.539620e-01
68,4760,19,-3,-1.829967e-01,5.489901e-01
68,4760,20,-3,7.967846e-01,-2.390354e+00
68,4760,21,-2,-8.525223e-01,1.705045e+00
68,4760,22,-1,-8.685548e-01,8.685548e-01
68,4760,23,-2,-5.071085e-01,1.014217e+00
68,4760,24,-2,1.481328e+00,-2.962656e+00
68,4760,25,-2,-1.338854e+00,2.677709e+00
68,4760,26,-1,6.512751e-01,-6.512751e-01
68,4760,27,-1,-3.872383e-01,3.872383e-01
78,6240,1,1,-3.228947e+00,-3.228947e+00
78,6240,2,0,-4.033690e-01,-0.000000e+00
78,6240,3,-1,-3.312513e+00,3.312513e+00
78,6240,4,-1,-6.748985e-02,6.748985e-02
78,6240,5,-2,-1.543304e+00,3.086609e+00
78,6240,6,-1,-6.842009e-01,6.842009e-01
78,6240,7,-2,4.995145e-01,-9.990290e-01
78,6240,8,-2,-1.179520e+00,2.359041e+00
78,6240,9,-2,3.672193e-01,-7.344385e-01
78,6240,10,-1,2.078276e+00,-2.078276e+00
78,6240,11,-2,-1.463138e+00,2.926276e+00
