n,X,d,Md_weight,discrepancy,contribution
14,224,1,1,-2.973479e+00,-2.973479e+00
14,224,2,0,-4.026093e-01,-0.000000e+00
14,224,3,-1,6.830642e-01,-6.830642e-01
14,224,4,-1,-7.678123e-01,7.678123e-01
16,288,1,1,7.774726e-02,7.774726e-02
16,288,2,0,-4.627548e-02,-0.000000e+00
16,288,3,-1,-1.422700e+00,1.422700e+00
16,288,4,-1,3.970990e-01,-3.970990e-01
16,288,5,-2,-1.015692e+00,2.031383e+00
18,360,1,1,-1.303354e+00,-1.303354e+00
18,360,2,0,-9.972133e-01,-0.000000e+00
18,360,3,-1,-4.529200e-01,4.529200e-01
18,360,4,-1,-9.888300e-02,9.888300e-02
18,360,5,-2,1.344057e-01,-2.688114e-01
18,360,6,-1,-2.417407e-01,2.417407e-01
18,360,7,-2,-5.112576e-01,1.022515e+00
20,440,1,1,-1.078049e-01,-1.078049e-01
20,440,2,0,-1.231022e+00,-0.000000e+00
20,440,3,-1,-2.426754e+00,2.426754e+00
20,440,4,-1,1.209218e+00,-1.209218e+00
20,440,5,-2,-1.419860e+00,2.839721e+00
20,440,6,-1,3.874783e-01,-3.874783e-01
20,440,7,-2,2.793101e-01,-5.586202e-01
20,440,8,-2,-5.188308e-01,1.037662e+00
22,528,1,1,-1.327819e+00,-1.327819e+00
22,528,2,0,-3.436681e-01,-0.000000e+00
22,528,3,-1,-7.437546e-01,7.437546e-01
22,528,4,-1,-6.582087e-01,6.582087e-01
22,528,5,-2,2.781967e-01,-5.563934e-01
22,528,6,-1,-9.551787e-01,9.551787e-01
22,528,7,-2,8.846489e-01,-1.769298e+00
22,528,8,-2,6.112439e-02,-1.222488e-01
22,528,9,-2,-4.975332e-01,9.950664e-01
22,528,10,-1,-7.649644e-01,7.649644e-01
24,624,1,1,-9.565453e-01,-9.565453e-01
24,624,2,0,-7.337475e-01,-0.000000e+00
24,624,3,-1,-1.420880e-03,1.420880e-03
24,624,4,-1,-4.796097e-01,4.796097e-01
24,624,5,-2,-1.224428e+00,2.448856e+00
24,624,6,-1,-2.836465e-01,2.836465e-01
24,624,7,-2,5.134471e-01,-1.026894e+00
24,624,8,-2,-9.479237e-02,1.895847e-01
24,624,9,-2,-6.741021e-01,1.348204e+00
24,624,10,-1,5.282916e-01,-5.282916e-01
24,624,11,-2,-2.847937e-03,5.695874e-03
24,624,12,-2,-7.649644e-01,1.529929e+00
26,728,1,1,-9.878776e-01,-9.878776e-01
26,728,2,0,-2.386726e+00,-0.000000e+00
26,728,3,-1,-2.108300e-01,2.108300e-01
26,728,4,-1,7.363065e-01,-7.363065e-01
26,728,5,-2,-9.095503e-01,1.819101e+00
26,728,6,-1,-6.004776e-01,6.004776e-01
26,728,7,-2,1.608197e-01,-3.216393e-01
26,728,8,-2,-4.732913e-01,9.465825e-01
26,728,9,-2,1.524496e-01,-3.048991e-01
26,728,10,-1,5.827806e-01,-5.827806e-01
26,728,11,-2,-4.483749e-01,8.967498e-01
26,728,12,-2,1.481401e-02,-2.962803e-02
26,728,13,-3,-2.847937e-03,8.543811e-03
26,728,14,-2,-7.649644e-01,1.529929e+00
28,840,1,1,-4.163234e-01,-4.163234e-01
28,840,2,0,-1.936307e+00,-0.000000e+00
28,840,3,-1,2.648186e-01,-2.648186e-01
28,840,4,-1,-1.016964e+00,1.016964e+00
28,840,5,-2,-5.610480e-01,1.122096e+00
28,840,6,-1,-1.100339e-01,1.100339e-01
28,840,7,-2,-1.766894e-01,3.533788e-01
28,840,8,-2,3.880337e-01,-7.760674e-01
28,840,9,-2,-1.007862e+00,2.015725e+00
28,840,10,-1,1.741076e-01,-1.741076e-01
28,840,11,-2,6.014138e-01,-1.202828e+00
28,840,12,-2,-4.271446e-01,8.542892e-01
28,840,13,-3,3.074402e-02,-9.223207e-02
28,840,14,-2,1.481401e-02,-2.962803e-02
28,840,15,-1,-2.847937e-03,2.847937e-03
28,840,16,-1,-7.649644e-01,7.649644e-01
30,960,1,1,-3.236900e+00,-3.236900e+00
30,960,2,0,-7.449451e-01,-0.000000e+00
30,960,3,-1,-2.092241e-01,2.092241e-01
30,960,4,-1,6.551546e-02,-6.551546e-02
30,960,5,-2,-1.912703e-01,3.825406e-01
30,960,6,-1,-6.007523e-01,6.007523e-01
30,960,7,-2,-5.016187e-01,1.003237e+00
30,960,8,-2,3.796251e-02,-7.592503e-02
30,960,9,-2,8.329342e-01,-1.665868e+00
30,960,10,-1,-9.930214e-01,9.930214e-01
30,960,11,-2,-5.821279e-01,1.164256e+00
30,960,12,-2,-6.141006e-01,1.228201e+00
30,960,13,-3,8.249959e-01,-2.474988e+00
30,960,14,-2,4.521585e-02,-9.043169e-02
30,960,15,-1,3.074402e-02,-3.074402e-02
30,960,16,-1,1.481401e-02,-1.481401e-02
30,960,17,-2,-7.503731e-01,1.500746e+00
30,960,18,-2,2.388431e-01,-4.776862e-01
30,960,19,-3,-2.562823e-01,7.688469e-01
32,1088,1,1,-4.450536e-01,-4.450536e-01
32,1088,2,0,-1.802685e+00,-0.000000e+00
32,1088,3,-1,-1.640362e+00,1.640362e+00
32,1088,4,-1,9.933162e-01,-9.933162e-01
32,1088,5,-2,-1.803467e+00,3.606933e+00
32,1088,6,-1,9.244260e-01,-9.244260e-01
32,1088,7,-2,1.841096e-01,-3.682191e-01
32,1088,8,-2,-1.298215e+00,2.596429e+00
32,1088,9,-2,-5.340293e-01,1.068059e+00
32,1088,10,-1,8.421145e-01,-8.421145e-01
32,1088,11,-2,-7.610053e-01,1.522011e+00
32,1088,12,-2,-5.695951e-01,1.139190e+00
32,1088,13,-3,6.306638e-01,-1.891991e+00
32,1088,14,-2,-1.599517e-01,3.199034e-01
32,1088,15,-1,5.844582e-02,-5.844582e-02
32,1088,16,-1,4.521585e-02,-4.521585e-02
32,1088,17,-2,3.074402e-02,-6.148805e-02
32,1088,18,-2,2.626933e-01,-5.253867e-01
32,1088,19,-3,-7.469746e-01,2.240924e+00
32,1088,20,-3,2.425406e-01,-7.276218e-01
32,1088,21,-2,-5.112576e-01,1.022515e+00
34,1224,1,1,-1.036601e+00,-1.036601e+00
34,1224,2,0,-7.685881e-01,-0.000000e+00
34,1224,3,-1,-3.671936e-01,3.671936e-01
34,1224,4,-1,-2.044045e+00,2.044045e+00
34,1224,5,-2,-3.939601e-01,7.879203e-01
34,1224,6,-1,2.751295e-01,-2.751295e-01
34,1224,7,-2,-1.209969e-01,2.419938e-01
34,1224,8,-2,5.811758e-01,-1.162352e+00
34,1224,9,-2,-8.811808e-01,1.762362e+00
34,1224,10,-1,-1.312205e+00,1.312205e+00
34,1224,11,-2,1.071864e+00,-2.143727e+00
34,1224,12,-2,2.550157e-01,-5.100314e-01
34,1224,13,-3,-5.538326e-01,1.661498e+00
34,1224,14,-2,-3.542465e-01,7.084930e-01
34,1224,15,-1,-1.460393e-01,1.460393e-01
34,1224,16,-1,7.060751e-02,-7.060751e-02
34,1224,17,-2,5.844582e-02,-1.168916e-01
34,1224,18,-2,4.521585e-02,-9.043169e-02
34,1224,19,-3,-7.255097e-01,2.176529e+00
34,1224,20,-3,1.265753e+00,-3.797259e+00
34,1224,21,-2,-7.436668e-01,1.487334e+00
34,1224,22,-1,-5.013916e-01,5.013916e-01
34,1224,23,-2,4.938184e-01,-9.876367e-01
34,1224,24,-2,-5.112576e-01,1.022515e+00
36,1368,1,1,-4.007676e+00,-4.007676e+00
36,1368,2,0,1.019344e+00,0.000000e+00
36,1368,3,-1,-4.956130e-02,4.956130e-02
36,1368,4,-1,-2.051073e+00,2.051073e+00
36,1368,5,-2,8.502206e-01,-1.700441e+00
36,1368,6,-1,-1.164965e+00,1.164965e+00
36,1368,7,-2,3.921410e-01,-7.842821e-01
36,1368,8,-2,-7.374349e-01,1.474870e+00
36,1368,9,-2,7.800952e-01,-1.560190e+00
36,1368,10,-1,-4.655678e-01,4.655678e-01
36,1368,11,-2,-2.092617e+00,4.185234e+00
36,1368,12,-2,1.083281e+00,-2.166561e+00
36,1368,13,-3,2.664266e-01,-7.992799e-01
36,1368,14,-2,-3.206986e-01,6.413972e-01
36,1368,15,-1,-3.401663e-01,3.401663e-01
36,1368,16,-1,-1.331250e-01,1.331250e-01
36,1368,17,-2,8.184205e-02,-1.636841e-01
36,1368,18,-2,7.060751e-02,-1.412150e-01
36,1368,19,-3,5.844582e-02,-1.753374e-01
36,1368,20,-3,2.852168e-01,-8.556503e-01
36,1368,21,-2,-7.227345e-01,1.445469e+00
36,1368,22,-1,2.687370e-01,-2.687370e-01
36,1368,23,-2,5.074339e-01,-1.014868e+00
36,1368,24,-2,-7.469746e-01,1.493949e+00
36,1368,25,-2,4.962474e-01,-9.924948e-01
36,1368,26,-1,-5.086821e-01,5.086821e-01
36,1368,27,-1,-2.562823e-01,2.562823e-01
38,1520,1,1,-2.354688e+00,-2.354688e+00
38,1520,2,0,-1.431500e+00,-0.000000e+00
38,1520,3,-1,3.071482e-01,-3.071482e-01
38,1520,4,-1,-3.147153e-02,3.147153e-02
38,1520,5,-2,-1.062609e+00,2.125218e+00
38,1520,6,-1,4.044753e-01,-4.044753e-01
38,1520,7,-2,-8.029225e-02,1.605845e-01
38,1520,8,-2,-1.241771e+00,2.483543e+00
38,1520,9,-2,-1.529626e-01,3.059252e-01
38,1520,10,-1,1.866019e-01,-1.866019e-01
38,1520,11,-2,5.421501e-01,-1.084300e+00
38,1520,12,-2,-2.085337e+00,4.170675e+00
38,1520,13,-3,3.044367e-01,-9.133101e-01
38,1520,14,-2,4.942738e-01,-9.885476e-01
38,1520,15,-1,6.913116e-01,-6.913116e-01
38,1520,16,-1,-1.326984e+00,1.326984e+00
38,1520,17,-2,-1.210906e-01,2.421813e-01
38,1520,18,-2,9.226555e-02,-1.845311e-01
38,1520,19,-3,8.184205e-02,-2.455262e-01
38,1520,20,-3,7.060751e-02,-2.118225e-01
38,1520,21,-2,2.950303e-01,-5.900605e-01
38,1520,22,-1,2.877503e-01,-2.877503e-01
38,1520,23,-2,-7.200233e-01,1.440047e+00
38,1520,24,-2,2.716484e-01,-5.432968e-01
38,1520,25,-2,5.094993e-01,-1.018999e+00
38,1520,26,-1,-4.946853e-01,4.946853e-01
38,1520,27,-1,-4.990953e-01,4.990953e-01
38,1520,28,-1,4.962474e-01,-4.962474e-01
38,1520,29,-2,-5.086821e-01,1.017364e+00
38,1520,30,-3,-2.562823e-01,7.688469e-01
40,1680,1,1,-1.074293e+00,-1.074293e+00
40,1680,2,0,1.201269e+00,0.000000e+00
40,1680,3,-1,-1.617592e+00,1.617592e+00
40,1680,4,-1,-1.601737e-01,1.601737e-01
40,1680,5,-2,-1.776134e+00,3.552267e+00
40,1680,6,-1,-1.951016e-01,1.951016e-01
40,1680,7,-2,4.599202e-01,-9.198404e-01
40,1680,8,-2,-5.390739e-01,1.078148e+00
40,1680,9,-2,-4.778901e-01,9.557801e-01
40,1680,10,-1,-1.529626e-01,1.529626e-01
40,1680,11,-2,-4.080854e-01,8.161708e-01
40,1680,12,-2,7.556386e-01,-1.511277e+00
40,1680,13,-3,-8.656726e-01,2.597018e+00
40,1680,14,-2,-6.830382e-01,1.366076e+00
40,1680,15,-1,5.063489e-01,-5.063489e-01
40,1680,16,-1,4.847746e-01,-4.847746e-01
40,1680,17,-2,-9.674091e-02,1.934818e-01
40,1680,18,-2,-1.098370e-01,2.196740e-01
40,1680,19,-3,-8.980255e-01,2.694076e+00
40,1680,20,-3,9.226555e-02,-2.767966e-01
40,1680,21,-2,8.184205e-02,-1.636841e-01
40,1680,22,-1,-6.959426e-01,6.959426e-01
40,1680,23,-2,1.297356e+00,-2.594713e+00
40,1680,24,-2,-7.097709e-01,1.419542e+00
40,1680,25,-2,2.826263e-01,-5.652526e-01
40,1680,26,-1,-4.827335e-01,4.827335e-01
40,1680,27,-1,5.134776e-01,-5.134776e-01
