n,X,H_num,H_den,H,C_centered,E_centered,identity_err
14,224,4,1,4.0,-0.34678966824780133,-2.1733948341239007,0.0
15,255,0,1,0.0,0.6589596260642452,0.3294798130321226,0.0
16,288,-6,1,-6.0,1.7001354491226692,3.8500677245613346,0.0
17,323,-2,1,-2.0,0.3700086372413054,1.1850043186206527,0.0
18,360,0,1,0.0,1.9184593936335617,0.9592296968167808,0.0
19,399,2,1,2.0,0.7524281562132984,-0.6237859218933508,0.0
20,440,-6,1,-6.0,3.512703112180091,4.756351556090046,0.0
21,483,-4,1,-4.0,2.8326673941313274,3.4163336970656637,0.0
22,528,0,1,0.0,2.1134997565994382,1.0567498782997191,0.0
23,575,6,1,6.0,2.5584162597668367,-1.7207918701165816,0.0
24,624,-2,1,-2.0,6.981103538177813,4.490551769088906,0.0
25,675,-9,1,-9.0,6.479908219984189,7.7399541099920945,0.0
26,728,-1,1,-1.0,6.528836667413849,3.7644183337069244,0.0
27,783,0,1,0.0,3.081853531847905,1.5409267659239525,0.0
28,840,-2,1,-2.0,5.999262049886347,3.9996310249431737,0.0
29,899,2,1,2.0,9.326858078290336,3.663429039145168,0.0
30,960,5,1,5.0,5.866580153105595,0.4332900765527974,0.0
31,1023,-3,1,-3.0,8.692763726647257,5.846381863323629,0.0
32,1088,-7,1,-7.0,10.976766346183481,8.988383173091748,1.4210854715202004e-14
33,1155,-4,1,-4.0,9.577246548059087,6.788623274029543,0.0
34,1224,-2,1,-2.0,7.48837524375687,4.744187621878435,0.0
35,1295,2,1,2.0,9.277799024848385,3.638899512424185,1.4210854715202004e-14
36,1368,8,1,8.0,8.590521282160353,0.29526064108017636,0.0
37,1443,7,1,7.0,3.084325736573632,-1.957837131713184,0.0
38,1520,1,1,1.0,11.546679853717876,5.273339926858938,0.0
39,1599,-6,1,-6.0,15.07067208550231,10.535336042751155,0.0
40,1680,-10,1,-10.0,15.70111229285348,12.85055614642674,0.0
41,1763,-8,1,-8.0,16.377043221109815,12.188521610554908,0.0
42,1848,-1,1,-1.0,7.715004471322011,4.357502235661006,0.0
43,1935,-1,1,-1.0,11.487268009195859,6.243634004597929,0.0
44,2024,3,1,3.0,11.442115243475271,4.221057621737636,0.0
45,2115,0,1,0.0,14.19172933778465,7.095864668892325,0.0
46,2208,9,1,9.0,4.473530419519207,-2.2632347902403964,0.0
47,2303,-1,1,-1.0,15.673226297776097,8.336613148888052,7.105427357601002e-15
