j,T,S_T_x999999,resid_x999999,S_T_ces_x999999,resid_ces_x999999,resid_ces_plus_offpred_x999999,S_T_x9998243,resid_x9998243,S_T_ces_x9998243,resid_ces_x9998243,resid_ces_plus_offpred_x9998243,S_T_x99999999,resid_x99999999,S_T_ces_x99999999,resid_ces_x99999999,resid_ces_plus_offpred_x99999999,S_T_x999950883,resid_x999950883,S_T_ces_x999950883,resid_ces_x999950883,resid_ces_plus_offpred_x999950883
1700,2197.2587470,-1.226966715e+02,-1.167847668e+02,-1.229474946e+02,-1.170355899e+02,-1.316783,-6.143973460e+02,-4.074894141e+02,-5.676505128e+02,-3.607425810e+02,22.550823,-1.161904256e+03,-7.987442320e+02,-1.211936384e+03,-8.487763597e+02,-27.922491,5.975917815e+02,-7.603229717e+02,3.223386983e+02,-1.035576055e+03,-249.622389
1725,2223.7777725,-1.237597050e+02,-1.178478002e+02,-1.229449679e+02,-1.170330631e+02,-1.314256,-6.162943728e+02,-4.093864410e+02,-5.682216058e+02,-3.613136740e+02,21.979730,-1.160468552e+03,-7.973085284e+02,-1.211292675e+03,-8.481326514e+02,-27.278783,6.098290653e+02,-7.480856880e+02,3.258039661e+02,-1.032110787e+03,-246.157121
1750,2251.0466419,-1.236245894e+02,-1.177126847e+02,-1.229578286e+02,-1.170459239e+02,-1.327117,-6.186745398e+02,-4.117666080e+02,-5.688160029e+02,-3.619080711e+02,21.385333,-1.143824413e+03,-7.806643890e+02,-1.210559743e+03,-8.473997190e+02,-26.545851,6.014238956e+02,-7.564908577e+02,3.292752499e+02,-1.028639503e+03,-242.685837
1775,2278.0126283,-1.234305547e+02,-1.175186500e+02,-1.229648934e+02,-1.170529886e+02,-1.334181,-6.151270251e+02,-4.082190933e+02,-5.693847143e+02,-3.624767825e+02,20.816622,-1.128074450e+03,-7.649144259e+02,-1.209711927e+03,-8.465519034e+02,-25.698035,6.139986843e+02,-7.439160690e+02,3.325185476e+02,-1.025396206e+03,-239.442540
1800,2304.3051386,-1.237870903e+02,-1.178751856e+02,-1.229741933e+02,-1.170622885e+02,-1.343481,-6.184376708e+02,-4.115297390e+02,-5.699153461e+02,-3.630074143e+02,20.285990,-1.131123102e+03,-7.679630777e+02,-1.208790536e+03,-8.456305117e+02,-24.776643,5.912516553e+02,-7.666630980e+02,3.355849552e+02,-1.022329798e+03,-236.376132
1825,2331.0131102,-1.242315598e+02,-1.183196551e+02,-1.229846441e+02,-1.170727394e+02,-1.353932,-6.205659464e+02,-4.136580146e+02,-5.704865325e+02,-3.635786007e+02,19.714803,-1.129726173e+03,-7.665661491e+02,-1.207919780e+03,-8.447597566e+02,-23.905888,5.986968396e+02,-7.592179136e+02,3.386301708e+02,-1.019284582e+03,-233.330916
1850,2357.6083159,-1.255968671e+02,-1.196849623e+02,-1.230077141e+02,-1.170958094e+02,-1.377002,-6.234037388e+02,-4.164958070e+02,-5.710624094e+02,-3.641544776e+02,19.138926,-1.139783042e+03,-7.766230177e+02,-1.207099268e+03,-8.439392443e+02,-23.085376,5.874428253e+02,-7.704719279e+02,3.413754461e+02,-1.016539307e+03,-230.585641
1875,2383.3560139,-1.264239305e+02,-1.205120257e+02,-1.230371675e+02,-1.171252627e+02,-1.406456,-6.211469987e+02,-4.142390669e+02,-5.716236745e+02,-3.647157427e+02,18.577661,-1.138206235e+03,-7.750462109e+02,-1.206357228e+03,-8.431972039e+02,-22.343335,5.940891024e+02,-7.638256508e+02,3.440577630e+02,-1.013856990e+03,-227.903324
1900,2409.8816026,-1.263964492e+02,-1.204845444e+02,-1.230802770e+02,-1.171683722e+02,-1.449565,-6.203128801e+02,-4.134049483e+02,-5.721857383e+02,-3.652778065e+02,18.015598,-1.130466970e+03,-7.673069460e+02,-1.205616948e+03,-8.424569241e+02,-21.603056,6.030709696e+02,-7.548437836e+02,3.467572442e+02,-1.011157509e+03,-225.203843
1925,2436.1916003,-1.255598749e+02,-1.196479701e+02,-1.231117428e+02,-1.171998380e+02,-1.481031,-6.183838582e+02,-4.114759264e+02,-5.726869201e+02,-3.657789883e+02,17.514416,-1.131017385e+03,-7.678573611e+02,-1.204789685e+03,-8.416296608e+02,-20.775792,6.002093037e+02,-7.577054496e+02,3.494426674e+02,-1.008472086e+03,-222.518420
1950,2462.4642949,-1.253694037e+02,-1.194574990e+02,-1.231385388e+02,-1.172266340e+02,-1.507827,-6.149559142e+02,-4.080479824e+02,-5.731693958e+02,-3.662614640e+02,17.031940,-1.136360248e+03,-7.732002245e+02,-1.204020343e+03,-8.408603195e+02,-20.006451,5.972231503e+02,-7.606916030e+02,3.520482355e+02,-1.005866518e+03,-219.912852
1975,2489.2611574,-1.254092071e+02,-1.194973024e+02,-1.231624122e+02,-1.172505074e+02,-1.531700,-6.124089994e+02,-4.055010676e+02,-5.736175785e+02,-3.667096466e+02,16.583757,-1.130998119e+03,-7.678380955e+02,-1.203281574e+03,-8.401215499e+02,-19.267681,5.952988525e+02,-7.626159007e+02,3.546844111e+02,-1.003230342e+03,-217.276676
2000,2515.2864829,-1.260857868e+02,-1.201738821e+02,-1.231891100e+02,-1.172772053e+02,-1.558398,-6.132592769e+02,-4.063513451e+02,-5.740203835e+02,-3.671124517e+02,16.180952,-1.149482394e+03,-7.863223706e+02,-1.202627354e+03,-8.394673297e+02,-18.613461,5.967951310e+02,-7.611196222e+02,3.572919533e+02,-1.000622800e+03,-214.669134
2025,2541.9987291,-1.266445767e+02,-1.207326720e+02,-1.232205593e+02,-1.173086545e+02,-1.589847,-6.146853802e+02,-4.077774484e+02,-5.744332558e+02,-3.675253240e+02,15.768080,-1.149142494e+03,-7.859824697e+02,-1.202053554e+03,-8.388935301e+02,-18.039662,6.198851978e+02,-7.380295555e+02,3.599548150e+02,-9.979599383e+02,-212.006272
2050,2567.9585997,-1.281027089e+02,-1.221908041e+02,-1.232604692e+02,-1.173485644e+02,-1.629757,-6.135255339e+02,-4.066176021e+02,-5.748343502e+02,-3.679264184e+02,15.366986,-1.141704079e+03,-7.785440546e+02,-1.201493700e+03,-8.383336765e+02,-17.479808,6.009968364e+02,-7.569179169e+02,3.623956341e+02,-9.955191191e+02,-209.565453
2075,2594.0236183,-1.279372567e+02,-1.220253519e+02,-1.233084116e+02,-1.173965069e+02,-1.677700,-6.144662367e+02,-4.075583049e+02,-5.752369854e+02,-3.683290536e+02,14.964350,-1.144608308e+03,-7.814482844e+02,-1.200889404e+03,-8.377293800e+02,-16.875512,5.816315896e+02,-7.762831636e+02,3.646411734e+02,-9.932735799e+02,-207.319914
2100,2620.2793936,-1.277905965e+02,-1.218786917e+02,-1.233547134e+02,-1.174428087e+02,-1.724002,-6.138415526e+02,-4.069336208e+02,-5.756229635e+02,-3.687150317e+02,14.578372,-1.143283803e+03,-7.801237789e+02,-1.200281936e+03,-8.371219123e+02,-16.268044,5.815383514e+02,-7.763764019e+02,3.669122584e+02,-9.910024949e+02,-205.048829
2125,2645.3955672,-1.277615525e+02,-1.218496477e+02,-1.234000891e+02,-1.174881844e+02,-1.769377,-6.121710401e+02,-4.052631083e+02,-5.759824928e+02,-3.690745610e+02,14.218843,-1.149230563e+03,-7.860705391e+02,-1.199746097e+03,-8.365860734e+02,-15.732205,5.311640910e+02,-8.267506622e+02,3.686682448e+02,-9.892465084e+02,-203.292842
2150,2671.9183826,-1.281845389e+02,-1.222726342e+02,-1.234437877e+02,-1.175318829e+02,-1.813076,-6.097917416e+02,-4.028838098e+02,-5.763385214e+02,-3.694305896e+02,13.862814,-1.148499853e+03,-7.853398293e+02,-1.199271255e+03,-8.361112314e+02,-15.257363,5.360354775e+02,-8.218792758e+02,3.701522801e+02,-9.877624732e+02,-201.808807
2175,2697.8575582,-1.280091374e+02,-1.220972327e+02,-1.234858472e+02,-1.175739424e+02,-1.855135,-6.115890148e+02,-4.046810830e+02,-5.766690855e+02,-3.697611537e+02,13.532250,-1.158422344e+03,-7.952623204e+02,-1.198832169e+03,-8.356721450e+02,-14.818277,5.308844872e+02,-8.270302661e+02,3.718011421e+02,-9.861136112e+02,-200.159945
2200,2723.7689288,-1.279061072e+02,-1.219942025e+02,-1.235294192e+02,-1.176175145e+02,-1.898707,-6.118674034e+02,-4.049594715e+02,-5.770028703e+02,-3.700949385e+02,13.198466,-1.164817186e+03,-8.016571621e+02,-1.198495815e+03,-8.353357912e+02,-14.481923,5.521813840e+02,-8.057333692e+02,3.733680912e+02,-9.845466620e+02,-198.592996
2225,2749.6436497,-1.273483979e+02,-1.214364932e+02,-1.235668581e+02,-1.176549533e+02,-1.936146,-6.099641233e+02,-4.030561915e+02,-5.773252051e+02,-3.704172733e+02,12.876131,-1.163159306e+03,-7.999992822e+02,-1.198185916e+03,-8.350258919e+02,-14.172023,5.888575973e+02,-7.690571560e+02,3.752208162e+02,-9.826939371e+02,-196.740271
2250,2775.7257073,-1.275167135e+02,-1.216048088e+02,-1.236046055e+02,-1.176927007e+02,-1.973894,-6.110231237e+02,-4.041151919e+02,-5.776401824e+02,-3.707322506e+02,12.561153,-1.162579305e+03,-7.994192814e+02,-1.197873704e+03,-8.347136805e+02,-13.859812,5.843969035e+02,-7.735178498e+02,3.772248185e+02,-9.806899348e+02,-194.736269
2275,2800.9376031,-1.272803941e+02,-1.213684894e+02,-1.236403017e+02,-1.177283970e+02,-2.009590,-6.082659991e+02,-4.013580673e+02,-5.779289539e+02,-3.710210220e+02,12.272382,-1.164810942e+03,-8.016509179e+02,-1.197563666e+03,-8.344036418e+02,-13.549773,5.507090071e+02,-8.072057462e+02,3.789707751e+02,-9.789439781e+02,-192.990312
2300,2826.7121703,-1.271782544e+02,-1.212663496e+02,-1.236731325e+02,-1.177612278e+02,-2.042421,-6.066749902e+02,-3.997670584e+02,-5.782042396e+02,-3.712963078e+02,11.997096,-1.158834284e+03,-7.956742599e+02,-1.197242501e+03,-8.340824776e+02,-13.228609,5.715381464e+02,-7.863766068e+02,3.805766326e+02,-9.773381206e+02,-191.384455
2325,2852.3037265,-1.277625288e+02,-1.218506240e+02,-1.237069168e+02,-1.177950120e+02,-2.076205,-6.051783638e+02,-3.982704320e+02,-5.784487334e+02,-3.715408016e+02,11.752602,-1.166986786e+03,-8.038267626e+02,-1.196950849e+03,-8.337908252e+02,-12.936957,5.599022763e+02,-7.980124770e+02,3.822589279e+02,-9.756558254e+02,-189.702159
2350,2878.5270026,-1.284520216e+02,-1.225401169e+02,-1.237454791e+02,-1.178335744e+02,-2.114767,-6.038936587e+02,-3.969857269e+02,-5.786871872e+02,-3.717792554e+02,11.514149,-1.170521930e+03,-8.073619064e+02,-1.196686748e+03,-8.335267241e+02,-12.672856,5.262210522e+02,-8.316937011e+02,3.837451670e+02,-9.741695863e+02,-188.215920
2375,2903.9578790,-1.288765514e+02,-1.229646466e+02,-1.237891772e+02,-1.178772725e+02,-2.158465,-6.047123865e+02,-3.978044547e+02,-5.789138220e+02,-3.720058902e+02,11.287514,-1.166040079e+03,-8.028800547e+02,-1.196425800e+03,-8.332657761e+02,-12.411908,5.243959784e+02,-8.335187749e+02,3.849812201e+02,-9.729335332e+02,-186.979867
2400,2930.0043663,-1.285866850e+02,-1.226747803e+02,-1.238337955e+02,-1.179218908e+02,-2.203084,-6.074781017e+02,-4.005701699e+02,-5.791561202e+02,-3.722481884e+02,11.045216,-1.169101652e+03,-8.059416280e+02,-1.196192588e+03,-8.330325645e+02,-12.178696,5.217542722e+02,-8.361604811e+02,3.862612379e+02,-9.716535153e+02,-185.699849
2425,2954.7112752,-1.280193530e+02,-1.221074482e+02,-1.238708581e+02,-1.179589534e+02,-2.240146,-6.071764123e+02,-4.002684805e+02,-5.793973429e+02,-3.724894111e+02,10.803993,-1.183598516e+03,-8.204384923e+02,-1.196059168e+03,-8.328991438e+02,-12.045275,4.819642955e+02,-8.759504578e+02,3.870916326e+02,-9.708231206e+02,-184.869455
2450,2980.4873810,-1.276612157e+02,-1.217493110e+02,-1.239062778e+02,-1.179943730e+02,-2.275566,-6.077523403e+02,-4.008444085e+02,-5.796388497e+02,-3.727309179e+02,10.562486,-1.186345814e+03,-8.231857896e+02,-1.195961541e+03,-8.328015167e+02,-11.947648,4.829249996e+02,-8.749897536e+02,3.879005991e+02,-9.700141541e+02,-184.060488
2475,3005.7729292,-1.277840160e+02,-1.218721113e+02,-1.239385996e+02,-1.180266948e+02,-2.307888,-6.060447300e+02,-3.991367982e+02,-5.798724761e+02,-3.729645443e+02,10.328860,-1.178406900e+03,-8.152468762e+02,-1.195861192e+03,-8.327011684e+02,-11.847300,5.175300686e+02,-8.403846847e+02,3.887941818e+02,-9.691205715e+02,-183.166906
2500,3031.2892174,-1.274363472e+02,-1.215244424e+02,-1.239694587e+02,-1.180575539e+02,-2.338747,-6.037021069e+02,-3.967941751e+02,-5.800816584e+02,-3.731737266e+02,10.119677,-1.175474749e+03,-8.123147256e+02,-1.195689174e+03,-8.325291503e+02,-11.675282,5.338649554e+02,-8.240497978e+02,3.899541171e+02,-9.679606362e+02,-182.006970
2525,3056.7651381,-1.286128051e+02,-1.227009003e+02,-1.240021601e+02,-1.180902553e+02,-2.371448,-6.056901633e+02,-3.987822315e+02,-5.802760492e+02,-3.733681174e+02,9.925287,-1.183519022e+03,-8.203589985e+02,-1.195548109e+03,-8.323880848e+02,-11.534216,5.587032157e+02,-7.992115376e+02,3.912723694e+02,-9.666423838e+02,-180.688718
2550,3082.1631637,-1.282483764e+02,-1.223364717e+02,-1.240393381e+02,-1.181274334e+02,-2.408626,-6.055815526e+02,-3.986736208e+02,-5.804826393e+02,-3.735747075e+02,9.718697,-1.185819187e+03,-8.226591631e+02,-1.195454683e+03,-8.322946586e+02,-11.440790,5.705726778e+02,-7.873420754e+02,3.926673192e+02,-9.652474340e+02,-179.293768
2575,3107.4842558,-1.290177158e+02,-1.231058110e+02,-1.240793307e+02,-1.181674260e+02,-2.448619,-6.038124325e+02,-3.969045007e+02,-5.806750271e+02,-3.737670953e+02,9.526309,-1.195976095e+03,-8.328160706e+02,-1.195409910e+03,-8.322498861e+02,-11.396018,5.675264142e+02,-7.903883391e+02,3.941060467e+02,-9.638087066e+02,-177.855041
2600,3132.6983313,-1.295386259e+02,-1.236267212e+02,-1.241195340e+02,-1.182076293e+02,-2.488822,-6.070726453e+02,-4.001647134e+02,-5.808724765e+02,-3.739645447e+02,9.328859,-1.193476574e+03,-8.303165498e+02,-1.195399549e+03,-8.322395247e+02,-11.385656,5.783534007e+02,-7.795613526e+02,3.955670913e+02,-9.623476620e+02,-176.393996
2625,3158.5782877,-1.288902491e+02,-1.229783443e+02,-1.241612910e+02,-1.182493863e+02,-2.530579,-6.052093542e+02,-3.983014224e+02,-5.810772810e+02,-3.741693492e+02,9.124055,-1.194790554e+03,-8.316305300e+02,-1.195381835e+03,-8.322218109e+02,-11.367942,5.583367147e+02,-7.995780386e+02,3.969714314e+02,-9.609433218e+02,-174.989656
2650,3183.2056733,-1.286574126e+02,-1.227455079e+02,-1.241943265e+02,-1.182824217e+02,-2.563615,-6.050886564e+02,-3.981807246e+02,-5.812626326e+02,-3.743547008e+02,8.938703,-1.198310334e+03,-8.351503104e+02,-1.195415397e+03,-8.322553734e+02,-11.401505,5.998933812e+02,-7.580213720e+02,3.983583125e+02,-9.595564407e+02,-173.602775
2675,3208.0861338,-1.278096310e+02,-1.218977262e+02,-1.242244647e+02,-1.183125600e+02,-2.593753,-6.038225341e+02,-3.969146023e+02,-5.814455947e+02,-3.745376629e+02,8.755741,-1.191687858e+03,-8.285278344e+02,-1.195431390e+03,-8.322713663e+02,-11.417498,6.056244075e+02,-7.522903457e+02,3.999901116e+02,-9.579246417e+02,-171.970976
2700,3233.9133606,-1.274396189e+02,-1.215277141e+02,-1.242526780e+02,-1.183407733e+02,-2.621966,-6.035578451e+02,-3.966499133e+02,-5.816270356e+02,-3.747191038e+02,8.574300,-1.189886259e+03,-8.267262348e+02,-1.195388660e+03,-8.322286357e+02,-11.374767,6.022430205e+02,-7.556717327e+02,4.017530522e+02,-9.561617011e+02,-170.208035
2725,3258.7067142,-1.279811148e+02,-1.220692101e+02,-1.242775320e+02,-1.183656272e+02,-2.646820,-6.016731102e+02,-3.947651784e+02,-5.817857299e+02,-3.748777981e+02,8.415606,-1.190940581e+03,-8.277805571e+02,-1.195360191e+03,-8.322001674e+02,-11.346299,5.834340160e+02,-7.744807373e+02,4.031722575e+02,-9.547424958e+02,-168.788830
2750,3284.4998631,-1.267946488e+02,-1.208827441e+02,-1.243021278e+02,-1.183902231e+02,-2.671416,-6.006871096e+02,-3.937791778e+02,-5.819353272e+02,-3.750273954e+02,8.266009,-1.190947315e+03,-8.277872913e+02,-1.195316916e+03,-8.321568924e+02,-11.303024,5.661511486e+02,-7.917636046e+02,4.044853467e+02,-9.534294066e+02,-167.475741
2775,3308.8328775,-1.273804485e+02,-1.214685438e+02,-1.243209516e+02,-1.184090469e+02,-2.690240,-6.014661452e+02,-3.945582133e+02,-5.820755287e+02,-3.751675969e+02,8.125807,-1.182374553e+03,-8.192145294e+02,-1.195252742e+03,-8.320927183e+02,-11.238850,5.873419839e+02,-7.705727694e+02,4.057361401e+02,-9.521786131e+02,-166.224947
2800,3333.7813829,-1.277878310e+02,-1.218759262e+02,-1.243461568e+02,-1.184342520e+02,-2.715445,-5.999487385e+02,-3.930408067e+02,-5.822168558e+02,-3.753089240e+02,7.984480,-1.174300321e+03,-8.111402970e+02,-1.195129825e+03,-8.319698007e+02,-11.115932,6.098066233e+02,-7.481081300e+02,4.072257951e+02,-9.506889581e+02,-164.735292
2825,3359.3592830,-1.272207424e+02,-1.213088377e+02,-1.243710903e+02,-1.184591855e+02,-2.740378,-5.994881706e+02,-3.925802387e+02,-5.823573017e+02,-3.754493699e+02,7.844034,-1.173178240e+03,-8.100182156e+02,-1.194979960e+03,-8.318199365e+02,-10.966068,5.935085423e+02,-7.644062109e+02,4.087219366e+02,-9.491928167e+02,-163.239151
2850,3383.8712124,-1.271769523e+02,-1.212650476e+02,-1.243900104e+02,-1.184781057e+02,-2.759299,-6.003149607e+02,-3.934070289e+02,-5.824729063e+02,-3.755649745e+02,7.728430,-1.179242057e+03,-8.160820330e+02,-1.194845060e+03,-8.316850365e+02,-10.831168,5.800284726e+02,-7.778862806e+02,4.099750921e+02,-9.479396611e+02,-161.985995
2875,3409.5787368,-1.278101427e+02,-1.218982380e+02,-1.244128291e+02,-1.185009244e+02,-2.782117,-5.985062626e+02,-3.915983308e+02,-5.826013329e+02,-3.756934011e+02,7.600003,-1.177612214e+03,-8.144521898e+02,-1.194725125e+03,-8.315651016e+02,-10.711233,5.772662483e+02,-7.806485050e+02,4.112013371e+02,-9.467134161e+02,-160.759750
2900,3433.7697101,-1.276814852e+02,-1.217695804e+02,-1.244337795e+02,-1.185218747e+02,-2.803068,-5.997172576e+02,-3.928093258e+02,-5.827075216e+02,-3.757995898e+02,7.493814,-1.169078136e+03,-8.059181123e+02,-1.194573337e+03,-8.314133132e+02,-10.559445,5.822369391e+02,-7.756778142e+02,4.123959855e+02,-9.455187678e+02,-159.565102
2925,3458.6654106,-1.270446999e+02,-1.211327951e+02,-1.244550419e+02,-1.185431372e+02,-2.824330,-6.014143830e+02,-3.945064512e+02,-5.828342296e+02,-3.759262978e+02,7.367106,-1.165445369e+03,-8.022853448e+02,-1.194387494e+03,-8.312274700e+02,-10.373602,5.973426355e+02,-7.605721177e+02,4.136332838e+02,-9.442814695e+02,-158.327804
2950,3484.1593880,-1.269546312e+02,-1.210427265e+02,-1.244734559e+02,-1.185615511e+02,-2.842744,-6.008134550e+02,-3.939055232e+02,-5.829689450e+02,-3.760610132e+02,7.232391,-1.156922731e+03,-7.937627072e+02,-1.194163243e+03,-8.310032193e+02,-10.149351,5.911684476e+02,-7.667463057e+02,4.149230079e+02,-9.429917454e+02,-157.038079
2975,3508.7725008,-1.266319221e+02,-1.207200174e+02,-1.244897842e+02,-1.185778795e+02,-2.859072,-5.992928451e+02,-3.923849133e+02,-5.830882976e+02,-3.761803658e+02,7.113038,-1.159326435e+03,-7.961664115e+02,-1.193909500e+03,-8.307494758e+02,-9.895607,6.215034557e+02,-7.364112976e+02,4.162206108e+02,-9.416941424e+02,-155.740476
3000,3533.3282433,-1.261382546e+02,-1.202263499e+02,-1.245031738e+02,-1.185912690e+02,-2.872462,-5.998337246e+02,-3.929257928e+02,-5.832025413e+02,-3.762946095e+02,6.998795,-1.158386383e+03,-7.952263593e+02,-1.193678301e+03,-8.305182773e+02,-9.664409,6.254841714e+02,-7.324305819e+02,4.176627787e+02,-9.402519745e+02,-154.298309
3025,3558.3493450,-1.258408360e+02,-1.199289313e+02,-1.245127509e+02,-1.186008461e+02,-2.882039,-5.997388801e+02,-3.928309483e+02,-5.833209656e+02,-3.764130338e+02,6.880370,-1.156192900e+03,-7.930328764e+02,-1.193413224e+03,-8.302532000e+02,-9.399332,6.276239211e+02,-7.302908322e+02,4.191650945e+02,-9.387496587e+02,-152.795993
3050,3582.9230421,-1.256221287e+02,-1.197102239e+02,-1.245200011e+02,-1.186080963e+02,-2.889289,-6.011618223e+02,-3.942538905e+02,-5.834359119e+02,-3.765279801e+02,6.765424,-1.150758937e+03,-7.875989131e+02,-1.193150787e+03,-8.299907633e+02,-9.136895,6.199794305e+02,-7.379353227e+02,4.205506476e+02,-9.373641057e+02,-151.410440
3075,3607.5748096,-1.267329308e+02,-1.208210261e+02,-1.245318331e+02,-1.186199284e+02,-2.901121,-6.008351662e+02,-3.939272344e+02,-5.835560737e+02,-3.766481419e+02,6.645262,-1.156070182e+03,-7.929101577e+02,-1.192879367e+03,-8.297193435e+02,-8.865475,6.106043155e+02,-7.473104378e+02,4.219162637e+02,-9.359984896e+02,-150.044824
3100,3632.4781783,-1.272325709e+02,-1.213206661e+02,-1.245477509e+02,-1.186358462e+02,-2.917039,-6.018175083e+02,-3.949095764e+02,-5.836761277e+02,-3.767681959e+02,6.525208,-1.162847334e+03,-7.996873102e+02,-1.192648683e+03,-8.294886591e+02,-8.634791,6.152334208e+02,-7.426813325e+02,4.232020836e+02,-9.347126697e+02,-148.759004
3125,3656.8928296,-1.270016125e+02,-1.210897078e+02,-1.245671717e+02,-1.186552669e+02,-2.936460,-6.007575880e+02,-3.938496561e+02,-5.837959816e+02,-3.768880498e+02,6.405354,-1.160683795e+03,-7.975237706e+02,-1.192455152e+03,-8.292951285e+02,-8.441260,6.157415515e+02,-7.421732018e+02,4.245392917e+02,-9.333754616e+02,-147.421796
3150,3682.4187314,-1.276546945e+02,-1.217427898e+02,-1.245859422e+02,-1.186740374e+02,-2.955230,-5.989921845e+02,-3.920842527e+02,-5.839059662e+02,-3.769980344e+02,6.295370,-1.153377828e+03,-7.902178038e+02,-1.192194806e+03,-8.290347822e+02,-8.180914,6.245394493e+02,-7.333753039e+02,4.258908971e+02,-9.320238562e+02,-146.070190
3175,3706.2947213,-1.284772153e+02,-1.225653106e+02,-1.246093711e+02,-1.186974664e+02,-2.978659,-5.988511088e+02,-3.919431770e+02,-5.840054338e+02,-3.770975020e+02,6.195902,-1.153532233e+03,-7.903722087e+02,-1.191968373e+03,-8.288083490e+02,-7.954481,5.867274628e+02,-7.711872905e+02,4.270938536e+02,-9.308208997e+02,-144.867234
3200,3731.0751592,-1.286394359e+02,-1.227275311e+02,-1.246357164e+02,-1.187238117e+02,-3.005005,-5.995097710e+02,-3.926018392e+02,-5.841042494e+02,-3.771963176e+02,6.097086,-1.147887374e+03,-7.847273499e+02,-1.191688485e+03,-8.285284611e+02,-7.674593,6.065556906e+02,-7.513590626e+02,4.281993183e+02,-9.297154349e+02,-143.761769
3225,3755.9228188,-1.280953974e+02,-1.221834927e+02,-1.246601276e+02,-1.187482229e+02,-3.029416,-5.996102793e+02,-3.927023475e+02,-5.842058425e+02,-3.772979107e+02,5.995493,-1.152542415e+03,-7.893823913e+02,-1.191421234e+03,-8.282612103e+02,-7.407342,5.988044281e+02,-7.591103251e+02,4.293524639e+02,-9.285622893e+02,-142.608623
3250,3780.2264864,-1.279664080e+02,-1.220545032e+02,-1.246793989e+02,-1.187674941e+02,-3.048687,-5.979905681e+02,-3.910826363e+02,-5.842983725e+02,-3.773904407e+02,5.902963,-1.159755933e+03,-7.965959092e+02,-1.191205398e+03,-8.280453741e+02,-7.191506,6.261978602e+02,-7.317168930e+02,4.305145942e+02,-9.274001590e+02,-141.446493
3275,3804.7908403,-1.276594170e+02,-1.217475122e+02,-1.246998880e+02,-1.187879832e+02,-3.069176,-5.974958654e+02,-3.905879336e+02,-5.843843199e+02,-3.774763881e+02,5.817016,-1.167185340e+03,-8.040253165e+02,-1.191026433e+03,-8.278664094e+02,-7.012541,6.271617849e+02,-7.307529684e+02,4.317648143e+02,-9.261499389e+02,-140.196273
3300,3829.1448104,-1.281106415e+02,-1.221987367e+02,-1.247201204e+02,-1.188082156e+02,-3.089408,-5.962081094e+02,-3.893001776e+02,-5.844636169e+02,-3.775556851e+02,5.737719,-1.173265289e+03,-8.101052651e+02,-1.190892637e+03,-8.277326131e+02,-6.878745,6.342462262e+02,-7.236685271e+02,4.330375454e+02,-9.248772078e+02,-138.923542
3325,3853.8602938,-1.286112025e+02,-1.226992977e+02,-1.247436614e+02,-1.188317566e+02,-3.112949,-5.966346208e+02,-3.897266890e+02,-5.845426142e+02,-3.776346824e+02,5.658722,-1.174700890e+03,-8.115408660e+02,-1.190786516e+03,-8.276264921e+02,-6.772624,6.393713391e+02,-7.185434141e+02,4.343327650e+02,-9.235819883e+02,-137.628322
3350,3878.2561749,-1.281694698e+02,-1.222575650e+02,-1.247679628e+02,-1.188560580e+02,-3.137251,-5.975441247e+02,-3.906361929e+02,-5.846178308e+02,-3.777098990e+02,5.583505,-1.174388973e+03,-8.112289495e+02,-1.190671802e+03,-8.275117782e+02,-6.657910,6.463298783e+02,-7.115848749e+02,4.356145794e+02,-9.223001739e+02,-136.346508
3375,3902.4111605,-1.276739539e+02,-1.217620491e+02,-1.247883189e+02,-1.188764141e+02,-3.157607,-5.964622639e+02,-3.895543321e+02,-5.846968252e+02,-3.777888934e+02,5.504511,-1.175706806e+03,-8.125467817e+02,-1.190584390e+03,-8.274243664e+02,-6.570498,6.473579255e+02,-7.105568278e+02,4.368928032e+02,-9.210219500e+02,-135.068284
3400,3927.0805173,-1.270079721e+02,-1.210960673e+02,-1.248054438e+02,-1.188935391e+02,-3.174732,-5.937667303e+02,-3.868587985e+02,-5.847630558e+02,-3.778551240e+02,5.438280,-1.174856776e+03,-8.116967522e+02,-1.190490722e+03,-8.273306982e+02,-6.476830,6.486413753e+02,-7.092733780e+02,4.382214553e+02,-9.196932980e+02,-133.739632
3425,3950.8594664,-1.264597232e+02,-1.205478185e+02,-1.248172734e+02,-1.189053687e+02,-3.186562,-5.927486053e+02,-3.858406735e+02,-5.848149215e+02,-3.779069897e+02,5.386414,-1.172810135e+03,-8.096501115e+02,-1.190402573e+03,-8.272425495e+02,-6.388681,6.490153228e+02,-7.088994304e+02,4.394882386e+02,-9.184265146e+02,-132.472849
3450,3976.0661831,-1.256925977e+02,-1.197806929e+02,-1.248256951e+02,-1.189137904e+02,-3.194983,-5.925716256e+02,-3.856636938e+02,-5.848700108e+02,-3.779620790e+02,5.331325,-1.171141588e+03,-8.079815637e+02,-1.190291238e+03,-8.271312144e+02,-6.277346,6.511082215e+02,-7.068065318e+02,4.408268425e+02,-9.170879108e+02,-131.134245
3475,4000.0172851,-1.258028012e+02,-1.198908964e+02,-1.248302796e+02,-1.189183749e+02,-3.199568,-5.934365364e+02,-3.865286046e+02,-5.849226853e+02,-3.780147535e+02,5.278651,-1.165494856e+03,-8.023348318e+02,-1.190155978e+03,-8.269959538e+02,-6.142085,6.541482293e+02,-7.037665239e+02,4.420652452e+02,-9.158495080e+02,-129.895842
