j,T,S_T_x999999,resid_x999999,S_T_ces_x999999,resid_ces_x999999,resid_ces_plus_offpred_x999999,S_T_x9998243,resid_x9998243,S_T_ces_x9998243,resid_ces_x9998243,resid_ces_plus_offpred_x9998243,S_T_x99999999,resid_x99999999,S_T_ces_x99999999,resid_ces_x99999999,resid_ces_plus_offpred_x99999999,S_T_x999950883,resid_x999950883,S_T_ces_x999950883,resid_ces_x999950883,resid_ces_plus_offpred_x999950883
400,679.74219788,-1.231553870e+02,-1.172434823e+02,-1.235758732e+02,-1.176639685e+02,-1.945161,-5.626751202e+02,-3.557671884e+02,-5.108074555e+02,-3.038995237e+02,79.393880,-1.172090055e+03,-8.089300313e+02,-1.156212198e+03,-7.930521743e+02,27.801694,3.062452623e+02,-1.051669491e+03,-2.964104490e+00,-1.360878858e+03,-574.925192
425,712.74938347,-1.228926434e+02,-1.169807387e+02,-1.235109875e+02,-1.175990828e+02,-1.880276,-5.685563617e+02,-3.616484299e+02,-5.132366685e+02,-3.063287367e+02,76.964667,-1.245796081e+03,-8.826360575e+02,-1.158725706e+03,-7.955656823e+02,25.288186,2.722731399e+02,-1.085641613e+03,8.786749828e+00,-1.349128003e+03,-563.174337
450,746.49930589,-1.215018749e+02,-1.155899702e+02,-1.234416716e+02,-1.175297669e+02,-1.810960,-5.635814938e+02,-3.566735620e+02,-5.155290581e+02,-3.086211263e+02,74.672278,-1.259083537e+03,-8.959235135e+02,-1.162682937e+03,-7.995229136e+02,21.330955,2.530003195e+02,-1.104914434e+03,2.083755747e+01,-1.337077196e+03,-551.123530
475,779.15707694,-1.248431206e+02,-1.189312159e+02,-1.234015207e+02,-1.174896159e+02,-1.770809,-5.654179096e+02,-3.585099778e+02,-5.176958696e+02,-3.107879378e+02,72.505466,-1.247478115e+03,-8.843180907e+02,-1.166411357e+03,-8.032513332e+02,17.602535,2.990633319e+02,-1.058851421e+03,3.333999207e+01,-1.324574761e+03,-538.621095
500,811.18435884,-1.241536906e+02,-1.182417859e+02,-1.234111965e+02,-1.174992917e+02,-1.780485,-5.572098841e+02,-3.503019523e+02,-5.193608357e+02,-3.124529039e+02,70.840500,-1.290342138e+03,-9.271821144e+02,-1.170747547e+03,-8.075875235e+02,13.266345,3.982365884e+02,-9.596781649e+02,4.695404594e+01,-1.310960707e+03,-525.007041
525,844.16619660,-1.241046663e+02,-1.181927615e+02,-1.234072724e+02,-1.174953676e+02,-1.776560,-5.539642934e+02,-3.470563616e+02,-5.207899940e+02,-3.138820622e+02,69.411342,-1.290894821e+03,-9.277347974e+02,-1.175461273e+03,-8.123012488e+02,8.552620,4.276166623e+02,-9.302980909e+02,6.052024033e+01,-1.297394513e+03,-511.440847
550,875.98528510,-1.223605567e+02,-1.164486520e+02,-1.233686160e+02,-1.174567113e+02,-1.737904,-5.585634198e+02,-3.516554879e+02,-5.220909047e+02,-3.151829729e+02,68.110431,-1.291580754e+03,-9.284207301e+02,-1.179747190e+03,-8.165871664e+02,4.266702,4.404949581e+02,-9.174197952e+02,7.323284657e+01,-1.284681907e+03,-498.728241
575,907.65672946,-1.186714556e+02,-1.127595509e+02,-1.233006630e+02,-1.173887582e+02,-1.669951,-5.535697163e+02,-3.466617845e+02,-5.233120880e+02,-3.164041562e+02,66.889248,-1.303576002e+03,-9.404159776e+02,-1.183777852e+03,-8.206178277e+02,0.236041,4.345662463e+02,-9.233485070e+02,8.528575183e+01,-1.272629001e+03,-486.675335
600,939.02430089,-1.171356716e+02,-1.112237669e+02,-1.231462569e+02,-1.172343522e+02,-1.515545,-5.675226163e+02,-3.606146845e+02,-5.245727211e+02,-3.176647893e+02,65.628615,-1.261849660e+03,-8.986896362e+02,-1.186751282e+03,-8.235912582e+02,-2.737390,3.641578269e+02,-9.937569264e+02,9.553331345e+01,-1.262381440e+03,-476.427774
625,970.12561055,-1.175584045e+02,-1.116464998e+02,-1.229716208e+02,-1.170597160e+02,-1.340909,-5.684345899e+02,-3.615266581e+02,-5.260303823e+02,-3.191224505e+02,64.170954,-1.245615788e+03,-8.824557646e+02,-1.188687619e+03,-8.255275953e+02,-4.673727,4.382373481e+02,-9.196774051e+02,1.056649632e+02,-1.252249790e+03,-466.296124
