j,gamma,absF_K,argF_K,absG_K,argG_K,contrib,S_T,resid_T,S_T_cesaro,resid_cesaro,cum_abs_li,cum_abs_psi
1,14.13472514173469379045725198,9.014682644185e+00,-0.161897186,1.597858676968e+02,-0.082499300,-3.184848280e+02,-3.184848280e+02,-1.115768962e+02,0.000000000e+00,2.069079318e+02,3.195717354e+02,4.030726820e+03
2,21.02203963877155499262847959,6.421765204276e+00,0.173273141,7.600606167479e+01,-1.849460458,4.181421171e+01,-2.766706163e+02,-6.976268445e+01,-1.043431185e+02,1.025648133e+02,4.715838587e+02,5.962021770e+03
3,25.01085758014568876321379099,5.290782038939e+00,-0.300410806,5.218602753651e+01,-0.855316572,-6.846593906e+01,-3.451365553e+02,-1.382286235e+02,-1.318265030e+02,7.508142885e+01,5.759559138e+02,7.299529685e+03
4,30.42487612585951321031189753,5.608645839833e+00,0.556027305,4.513285126616e+01,-0.677032679,-7.035625902e+01,-4.154928143e+02,-2.085848825e+02,-1.697844087e+02,3.712352313e+01,6.662216163e+02,8.465164205e+03
5,32.93506158773918969066236896,5.493274962124e+00,-0.587649076,4.122099912416e+01,0.884825732,-5.222076999e+01,-4.677135843e+02,-2.608056525e+02,-1.885113713e+02,1.839656050e+01,7.486636146e+02,9.519829502e+03
6,37.58617815882567125721776348,3.829825581493e+00,0.352577970,2.490428829065e+01,1.446022351,-6.198700727e+00,-4.739122851e+02,-2.670043532e+02,-2.230613602e+02,-1.615342844e+01,7.984721912e+02,1.016415341e+04
7,40.91871901214749518739812691,5.301386525831e+00,0.179903568,3.213041898171e+01,-1.588279832,1.123447468e+00,-4.727888376e+02,-2.658809058e+02,-2.434913975e+02,-3.658346572e+01,8.627330291e+02,1.098342304e+04
8,43.32707328091499951949612217,4.115147051694e+00,-0.663475237,2.321330130346e+01,-1.347371138,-1.028678734e+01,-4.830756249e+02,-2.761676931e+02,-2.562369958e+02,-4.932906396e+01,9.091596317e+02,1.158402802e+04
9,48.00515088116715972794247275,4.484509772327e+00,0.856087478,2.212648423351e+01,0.240249647,-4.298196139e+01,-5.260575863e+02,-3.191496545e+02,-2.783423051e+02,-7.143437329e+01,9.534126002e+02,1.217476672e+04
10,49.77383247767230218191678468,5.166111741107e+00,-0.489899891,2.491686237587e+01,2.207904137,2.964474402e+01,-4.964128423e+02,-2.895049105e+02,-2.871447106e+02,-8.023677884e+01,1.003246325e+03,1.283111241e+04
11,52.97032147771446064414729661,3.079030249308e+00,-0.230859469,1.403680340511e+01,-2.537743686,2.310896396e+01,-4.733038783e+02,-2.663959465e+02,-2.997729761e+02,-9.286504429e+01,1.031319932e+03,1.319869408e+04
12,56.44624769706339480436775948,3.183176725556e+00,0.283398524,1.368775464532e+01,-2.558452122,2.285136258e+01,-4.504525157e+02,-2.435445839e+02,-3.104589054e+02,-1.035509736e+02,1.058695441e+03,1.355530979e+04
13,59.34704400260235307965364867,5.768107806300e+00,0.436453697,2.399370128181e+01,0.412110323,-4.396978141e+01,-4.944222972e+02,-2.875143653e+02,-3.173015874e+02,-1.103936556e+02,1.106682844e+03,1.416993547e+04
14,60.83177852460980984425990182,5.136406826405e+00,-0.973523205,2.110966600575e+01,-2.267048640,2.707723269e+01,-4.673450645e+02,-2.604371327e+02,-3.216246113e+02,-1.147166795e+02,1.148902176e+03,1.470389221e+04
15,65.11254404808160666087505425,3.115984464247e+00,0.724342736,1.133757172885e+01,-0.636383669,-1.823648786e+01,-4.855815523e+02,-2.786736205e+02,-3.312048711e+02,-1.242969393e+02,1.171577319e+03,1.500652059e+04
16,67.07981052949417371447882890,4.066972496083e+00,0.059329770,1.442450201215e+01,-0.984723903,-1.595618673e+01,-5.015377391e+02,-2.946298072e+02,-3.357323149e+02,-1.288243831e+02,1.200426323e+03,1.538992684e+04
