j,gamma,absF_K,argF_K,absG_K,argG_K,contrib,S_T,resid_T,S_T_cesaro,resid_cesaro,cum_abs_li,cum_abs_psi
1,14.13472514173469379045725198,7.737994176490e+00,-0.140289757,5.036868612608e+01,-1.184012991,-3.799927836e+01,-3.799927836e+01,-3.208737362e+01,0.000000000e+00,5.911904744e+00,1.007373723e+02,1.094206425e+03
2,21.02203963877155499262847959,5.702815538712e+00,0.232856288,2.494857253426e+01,0.092878470,-4.968208312e+01,-8.768136148e+01,-8.176945673e+01,-1.244945710e+01,-6.537552360e+00,1.506345173e+02,1.636608629e+03
3,25.01085758014568876321379099,4.533557557405e+00,-0.353659496,1.630925935075e+01,-1.963807145,1.249196044e+01,-7.518940104e+01,-6.927749630e+01,-2.444770103e+01,-1.853579628e+01,1.832530360e+02,1.999063184e+03
4,30.42487612585951321031189753,5.068295823528e+00,0.534014360,1.524269409285e+01,-1.639488138,2.092450072e+00,-7.309695097e+01,-6.718504622e+01,-3.347703951e+01,-2.756513477e+01,2.137384242e+02,2.332185923e+03
5,32.93506158773918969066236896,5.190786527067e+00,-0.413816397,1.477536089397e+01,0.680228263,-2.297359306e+01,-9.607054402e+01,-9.015863928e+01,-3.649671887e+01,-3.058481413e+01,2.432891460e+02,2.647362856e+03
6,37.58617815882567125721776348,3.775783691412e+00,0.098782091,9.466817247731e+00,2.535844728,1.556489552e+01,-8.050564850e+01,-7.459374376e+01,-4.386870557e+01,-3.795680082e+01,2.622227805e+02,2.848258395e+03
7,40.91871901214749518739812691,4.690250282459e+00,0.100834055,1.058399754931e+01,-1.658442806,1.852925771e+00,-7.865272273e+01,-7.274081799e+01,-4.685252598e+01,-4.094062124e+01,2.833907756e+02,3.077488339e+03
8,43.32707328091499951949612217,3.722842615222e+00,-0.598644758,7.836086229880e+00,-0.490440116,-1.382482521e+01,-9.247754795e+01,-8.656564320e+01,-4.862015379e+01,-4.270824905e+01,2.990629480e+02,3.249325142e+03
9,48.00515088116715972794247275,4.548295999288e+00,0.891938978,8.667218447408e+00,2.869174136,1.669519458e+01,-7.578235336e+01,-6.987044862e+01,-5.289403460e+01,-4.698212986e+01,3.163973849e+02,3.438806769e+03
10,49.77383247767230218191678468,5.071990517028e+00,-0.537215883,9.388797209116e+00,0.632115172,-1.514937935e+01,-9.093173271e+01,-8.501982797e+01,-5.370735650e+01,-4.779545176e+01,3.351749794e+02,3.642597871e+03
11,52.97032147771446064414729661,3.075798194847e+00,-0.260631132,5.418575690765e+00,1.132346305,-4.600767492e+00,-9.553250020e+01,-8.962059546e+01,-5.595365794e+01,-5.004175319e+01,3.460121307e+02,3.758725527e+03
