j,gamma,absF_K,argF_K,absG_K,argG_K,contrib,S_T,resid_T,S_T_cesaro,resid_cesaro,cum_abs_li,cum_abs_psi
1,14.13472514173469379045725198,1.154014384335e+01,-0.150791517,5.937203652544e+02,1.065779160,-5.745105007e+02,-5.745105007e+02,-2.113504768e+02,0.000000000e+00,3.631600239e+02,1.187440731e+03,1.631857752e+04
2,21.02203963877155499262847959,8.151751949337e+00,0.231624100,2.791468523402e+02,2.656597963,4.939098366e+02,-8.060066413e+01,2.825593598e+02,-1.882231491e+02,1.749368749e+02,1.745734435e+03,2.407181868e+04
3,25.01085758014568876321379099,6.934673258137e+00,-0.348928556,2.006028072204e+02,0.125038629,-3.980733422e+02,-4.786740063e+02,-1.155139824e+02,-1.710591435e+02,1.921008804e+02,2.146940050e+03,2.961604113e+04
4,30.42487612585951321031189753,7.438296563280e+00,0.540880610,1.771325094739e+02,0.247834722,-3.434407518e+02,-8.221147581e+02,-4.589547342e+02,-2.257983170e+02,1.373617069e+02,2.501205069e+03,3.450499598e+04
5,32.93506158773918969066236896,7.326270150229e+00,-0.552213573,1.634687058981e+02,1.378493534,-6.248419468e+01,-8.845989528e+02,-5.214389289e+02,-2.712472941e+02,9.191272980e+01,2.828142480e+03,3.895340181e+04
6,37.58617815882567125721776348,4.594039587382e+00,0.321233478,8.439116143810e+01,-0.004406485,-1.687806842e+02,-1.053379637e+03,-6.902196131e+02,-3.471467392e+02,1.601328476e+01,2.996924803e+03,4.139772222e+04
7,40.91871901214749518739812691,6.606355370443e+00,0.145050237,1.165521170966e+02,-1.661710944,2.116339988e+01,-1.032216237e+03,-6.690562133e+02,-4.046644240e+02,-4.150440008e+01,3.230029037e+03,4.462649495e+04
8,43.32707328091499951949612217,5.316977764969e+00,-0.595755786,8.803568707951e+01,-2.010237083,7.490664719e+01,-9.573095900e+02,-5.941495661e+02,-4.395471653e+02,-7.638714137e+01,3.406100412e+03,4.708067582e+04
9,48.00515088116715972794247275,6.241925222254e+00,0.813794452,9.300589140237e+01,-2.367582800,1.330195380e+02,-8.242900519e+02,-4.611300280e+02,-4.900028509e+02,-1.268428270e+02,3.592112194e+03,4.968105788e+04
10,49.77383247767230218191678468,7.354885502613e+00,-0.387028950,1.084086081445e+02,-2.415770121,1.621692431e+02,-6.621208088e+02,-2.989607849e+02,-5.018815348e+02,-1.387215109e+02,3.808929411e+03,5.263623092e+04
11,52.97032147771446064414729661,3.902067487134e+00,-0.409299089,5.219525104191e+01,-0.193627287,-1.024397287e+02,-7.645605375e+02,-4.014005136e+02,-5.115511585e+02,-1.483911346e+02,3.913319913e+03,5.410946859e+04
12,56.44624769706339480436775948,4.195104787101e+00,0.233876165,5.363536393881e+01,1.679134116,1.159875319e+01,-7.529617843e+02,-3.898017604e+02,-5.271313249e+02,-1.639713010e+02,4.020590641e+03,5.559581723e+04
13,59.34704400260235307965364867,6.782031621366e+00,0.364648233,8.025040053238e+01,-1.271061617,-4.739055068e+01,-8.003523350e+02,-4.371923111e+02,-5.381695859e+02,-1.750095620e+02,4.181091442e+03,5.788128604e+04
14,60.83177852460980984425990182,5.672793448753e+00,-0.926609519,6.524843856276e+01,-0.327953975,-1.235418324e+02,-9.238941674e+02,-5.607341435e+02,-5.445687376e+02,-1.814087137e+02,4.311588319e+03,5.974629869e+04
15,65.11254404808160666087505425,4.318053706561e+00,0.776467348,4.709071677046e+01,-1.430091624,-1.320808787e+01,-9.371022553e+02,-5.739422314e+02,-5.695071461e+02,-2.063471222e+02,4.405769752e+03,6.107259501e+04
16,67.07981052949417371447882890,5.426862469092e+00,-0.061399997,5.674153215183e+01,2.522597707,9.242764541e+01,-8.446746099e+02,-4.815145860e+02,-5.802877004e+02,-2.171276765e+02,4.519252817e+03,6.269058160e+04
17,69.54640171117397925292685753,4.680182794830e+00,-0.240101155,4.831053799784e+01,-2.482724424,7.639689663e+01,-7.682777132e+02,-4.051176893e+02,-5.896646689e+02,-2.265046450e+02,4.615873893e+03,6.403646340e+04
18,72.06715767448190758252210797,3.430140815584e+00,-0.385557611,3.410613197983e+01,-0.201038305,-6.683845329e+01,-8.351161665e+02,-4.719561426e+02,-5.959121735e+02,-2.327521496e+02,4.684086157e+03,6.498836947e+04
19,75.70469069908393316832691676,5.268910232795e+00,0.911275595,4.817700290574e+01,-0.988635459,-5.297833662e+01,-8.880945032e+02,-5.249344792e+02,-6.074056809e+02,-2.442456570e+02,4.780440162e+03,6.638030311e+04
20,77.14484006887480537268266486,6.490915361097e+00,-0.299341900,5.851757254162e+01,-0.796589104,-8.182506066e+01,-9.699195638e+02,-6.067595399e+02,-6.126456144e+02,-2.494855905e+02,4.897475308e+03,6.806305441e+04
21,79.33737502024936792276359288,3.738953748646e+00,-0.543084170,3.362197202648e+01,1.702221353,8.812117986e+00,-9.611074458e+02,-5.979474219e+02,-6.225190898e+02,-2.593590659e+02,4.964719252e+03,6.900558106e+04
22,82.91038085408603018316483749,4.392332449281e+00,0.752007026,3.985263340634e+01,-0.318028750,-7.570833962e+01,-1.036815785e+03,-6.736557615e+02,-6.371104855e+02,-2.739504615e+02,5.044424518e+03,7.006509918e+04
23,84.73549298051705010573531121,4.405096749889e+00,-0.169917652,3.601282237732e+01,0.858514862,-4.707324235e+01,-1.083889028e+03,-7.207290039e+02,-6.457197112e+02,-2.825596873e+02,5.116450163e+03,7.110480990e+04
24,87.42527461312522940653166785,5.431083889524e+00,0.243518197,4.351503576223e+01,0.610193841,-7.132435999e+01,-1.155213388e+03,-7.920533639e+02,-6.592007073e+02,-2.960406833e+02,5.203480235e+03,7.234724124e+04
25,88.80911120763446542368234808,4.431082344684e+00,-0.911529295,3.459793442394e+01,-0.171147053,-6.818492118e+01,-1.223398309e+03,-8.602382851e+02,-6.669296496e+02,-3.037696257e+02,5.272676104e+03,7.334511455e+04
26,92.49189927055848429625972524,3.493445691259e+00,0.624786912,2.737601085590e+01,0.044869581,-5.469691540e+01,-1.278095224e+03,-9.149352005e+02,-6.890867915e+02,-3.259267676e+02,5.327428125e+03,7.410050928e+04
27,94.65134404051988696659792582,6.962901664339e+00,0.553225777,5.237883145243e+01,2.129165060,5.550096517e+01,-1.222594259e+03,-8.594342353e+02,-7.025248593e+02,-3.393648354e+02,5.432185788e+03,7.557176244e+04
28,95.87063422824530975874102922,6.104930365704e+00,-0.958504140,4.519443416487e+01,-2.151807913,4.961172103e+01,-1.172982538e+03,-8.098225143e+02,-7.091391424e+02,-3.459791185e+02,5.522574656e+03,7.684532183e+04
29,98.83119421819369223332442014,3.048227917196e+00,-0.017975632,2.235140117277e+01,3.120462885,4.469282355e+01,-1.128289715e+03,-7.651296907e+02,-7.230339072e+02,-3.598738833e+02,5.567277459e+03,7.746216936e+04
30,101.3178510057313912287854479,3.053332614442e+00,0.272228492,2.069430093242e+01,-1.044664429,-2.078503059e+01,-1.149074745e+03,-7.859147213e+02,-7.329801516e+02,-3.698201277e+02,5.608666061e+03,7.806488554e+04
31,103.7255380404783394163984081,5.154299288184e+00,0.494310172,3.656605489352e+01,-0.438762208,-6.620490431e+01,-1.215279650e+03,-8.521196256e+02,-7.426385788e+02,-3.794785549e+02,5.681798170e+03,7.905870818e+04
32,105.4466230523260944936708324,5.900215079073e+00,-0.270879364,4.105803846276e+01,-0.963377238,-4.686776040e+01,-1.262147410e+03,-8.989873860e+02,-7.503529601e+02,-3.871929362e+02,5.763914247e+03,8.017778597e+04
33,107.1686111842764075151233520,3.353192701762e+00,-0.936751121,2.188727106024e+01,-1.350377647,-9.570786754e+00,-1.271718197e+03,-9.085581728e+02,-7.585764871e+02,-3.954164632e+02,5.807688790e+03,8.080355804e+04
34,111.0295355431696745246564503,6.019924905225e+00,1.208290664,3.791900405718e+01,2.825762819,7.208698099e+01,-1.199631216e+03,-8.364711918e+02,-7.764203997e+02,-4.132603758e+02,5.883526798e+03,8.188792966e+04
35,111.8746591769926370856120787,7.110919528213e+00,-0.321628626,4.453700075641e+01,-1.935191840,3.174459915e+01,-1.167886617e+03,-8.047265926e+02,-7.796174192e+02,-4.164573953e+02,5.972600799e+03,8.315914666e+04
36,114.3202209154527127658909373,4.169813246988e+00,-0.189828636,2.611506476541e+01,-0.806243461,-3.615444645e+01,-1.204041063e+03,-8.408810391e+02,-7.879233539e+02,-4.247633300e+02,6.024830929e+03,8.388863674e+04
37,116.2266803208575543821608043,3.192249349193e+00,-0.387969402,1.914982851832e+01,2.762517233,3.558065653e+01,-1.168460406e+03,-8.053003826e+02,-7.947489082e+02,-4.315888843e+02,6.063130586e+03,8.443794604e+04
38,118.7907828659762173229791397,2.256134447715e+00,0.103744941,1.234864366003e+01,0.177203855,-2.431053864e+01,-1.192770945e+03,-8.296109212e+02,-8.028154819e+02,-4.396554580e+02,6.087827873e+03,8.481779276e+04
39,121.3701250024206459189455330,4.552565271239e+00,0.682026550,2.687916034712e+01,-1.993437697,2.205009524e+01,-1.170720850e+03,-8.075608260e+02,-8.111027648e+02,-4.479427409e+02,6.141586194e+03,8.556798175e+04
40,122.9468292935525882008174603,6.531987125437e+00,0.063159516,3.751135440813e+01,1.345669524,-1.674731679e+01,-1.187468167e+03,-8.243081427e+02,-8.157146070e+02,-4.525545831e+02,6.216608903e+03,8.663054402e+04
41,124.2568185543457671847320080,3.772700324033e+00,-1.192682803,1.961547928939e+01,-1.002267470,-2.112166990e+01,-1.208589837e+03,-8.454298126e+02,-8.196338541e+02,-4.564738302e+02,6.255839861e+03,8.723778148e+04
42,127.5166838795964951242793238,2.313349259920e+00,0.374446391,1.221627821970e+01,-2.234948503,1.506002608e+01,-1.193529810e+03,-8.303697866e+02,-8.295772127e+02,-4.664171888e+02,6.280272418e+03,8.760060953e+04
43,129.5787041999560509857680339,4.322041459157e+00,0.422781343,2.358427824969e+01,-1.848474892,1.293002763e+01,-1.180599783e+03,-8.174397589e+02,-8.353688870e+02,-4.722088631e+02,6.327440974e+03,8.826769588e+04
44,131.0876885309326567235663725,4.441549096860e+00,-0.242559257,2.408625036426e+01,0.192125507,-4.728615544e+01,-1.227885938e+03,-8.647259144e+02,-8.393429293e+02,-4.761829053e+02,6.375613475e+03,8.894533645e+04
45,133.4977372029975864501304920,4.447830597392e+00,0.188251184,2.317353975765e+01,1.031113466,-2.381609347e+01,-1.251702032e+03,-8.885420078e+02,-8.463573370e+02,-4.831973131e+02,6.421960554e+03,8.961168473e+04
46,134.7565097533738713313260642,3.539293881508e+00,-1.030747300,1.821090396252e+01,-2.204205391,2.155792050e+01,-1.230144111e+03,-8.669840874e+02,-8.501436979e+02,-4.869836740e+02,6.458382362e+03,9.013696837e+04
47,138.1160420545334432001915552,3.394177846749e+00,0.915411814,1.774961428262e+01,-1.146300280,-1.462076938e+01,-1.244764881e+03,-8.816048567e+02,-8.593868216e+02,-4.962267977e+02,6.493881591e+03,9.062846169e+04
48,139.7362089521213889504500465,5.606184876914e+00,0.399377014,2.814162108761e+01,3.062187915,5.610589930e+01,-1.188658981e+03,-8.254989574e+02,-8.638550749e+02,-5.006950510e+02,6.550164833e+03,9.143085199e+04
49,141.1237074040211237619403538,4.455278505373e+00,-0.508656942,2.087158727368e+01,2.590060400,3.555360649e+01,-1.153105375e+03,-7.899453509e+02,-8.670484782e+02,-5.038884543e+02,6.591908008e+03,9.206224846e+04
50,143.1118458076206327394051239,2.357920419683e+00,-0.733132068,1.076420601308e+01,1.195933039,-7.882527184e+00,-1.160987902e+03,-7.978278781e+02,-8.710224379e+02,-5.078624140e+02,6.613436420e+03,9.239176779e+04
51,146.0009824867655185474025076,2.859573633291e+00,0.784828469,1.321429167276e+01,-0.491853926,-2.329570834e+01,-1.184283610e+03,-8.211235865e+02,-8.767604120e+02,-5.136003881e+02,6.639865003e+03,9.278348527e+04
52,147.4227653425596020495211850,2.991070896394e+00,-0.071012239,1.291032839826e+01,-0.317558547,-2.452963913e+01,-1.208813250e+03,-8.456532256e+02,-8.797262444e+02,-5.165662204e+02,6.665685660e+03,9.318926435e+04
53,150.0535204207848803514324672,5.836403174293e+00,0.648305430,2.673741418970e+01,-1.462211980,-5.795125652e+00,-1.214608375e+03,-8.514483513e+02,-8.854958345e+02,-5.223358106e+02,6.719160488e+03,9.396716956e+04
54,150.9252576122414667618525247,6.021488521547e+00,-0.715757360,2.751023681240e+01,0.717899725,-4.144081328e+01,-1.256049188e+03,-8.928891645e+02,-8.873967730e+02,-5.242367491e+02,6.774180962e+03,9.476510829e+04
55,153.0246938111988961982565443,2.030715940257e+00,-0.413224853,8.774332096859e+00,2.108868233,8.993362132e+00,-1.247055826e+03,-8.838958024e+02,-8.924545334e+02,-5.292945095e+02,6.791729626e+03,9.503051710e+04
56,156.1129092942378675697501893,3.453869472827e+00,0.878222450,1.597230772166e+01,-2.739429213,2.939595761e+01,-1.217659869e+03,-8.544998448e+02,-8.994692332e+02,-5.363092093e+02,6.823674241e+03,9.547299835e+04
57,157.5975918175940598875305032,5.984019849536e+00,0.376247477,2.678595970363e+01,-0.944480743,-3.140191216e+01,-1.249061781e+03,-8.859017569e+02,-9.024668176e+02,-5.393067937e+02,6.877246161e+03,9.623239951e+04
58,158.8499881714204987241749948,4.556953343815e+00,-0.744160229,1.934302603883e+01,2.103578204,1.964986854e+01,-1.229411912e+03,-8.662518884e+02,-9.051994226e+02,-5.420393987e+02,6.915932213e+03,9.680613965e+04
59,161.1889641375960275194373441,3.283114714953e+00,-0.102386643,1.510002371266e+01,1.885091402,9.336228517e+00,-1.220075684e+03,-8.569156599e+02,-9.099039954e+02,-5.467439715e+02,6.946132260e+03,9.721349991e+04
60,163.0307096871819872433110390,2.062631567728e+00,-0.219921043,7.889017763282e+00,-2.000139725,6.567984126e+00,-1.213507700e+03,-8.503476758e+02,-9.134079814e+02,-5.502479575e+02,6.961910296e+03,9.746653467e+04
61,165.5370691879004188300389194,3.227217925954e+00,0.494564793,1.411765968598e+01,0.838482291,-1.887791453e+01,-1.232385614e+03,-8.692255903e+02,-9.179517237e+02,-5.547916998e+02,6.990145615e+03,9.785644168e+04
62,167.1844399781745134409577562,3.819192046316e+00,0.292243045,1.517581575542e+01,-0.360253989,-2.840327893e+01,-1.260788893e+03,-8.976288692e+02,-9.210500336e+02,-5.578900097e+02,7.020497247e+03,9.831332331e+04
63,169.0945154155688214895058712,6.420901505231e+00,0.061370628,2.644941949270e+01,3.115749192,5.288117481e+01,-1.207907718e+03,-8.447476944e+02,-9.248876912e+02,-5.617276673e+02,7.073396086e+03,9.907276526e+04
64,169.9119764794116989666998436,5.030990725931e+00,-1.347458721,2.077543141618e+01,-2.027653588,1.832932631e+01,-1.189578392e+03,-8.264183681e+02,-9.262493248e+02,-5.630893009e+02,7.114946948e+03,9.966495058e+04
65,173.4115365195915529598461186,2.922257556903e+00,0.927593287,1.178634432119e+01,1.821870842,5.856514912e+00,-1.183721877e+03,-8.205618532e+02,-9.315634803e+02,-5.684034564e+02,7.138519637e+03,1.000019807e+05
66,174.7541915233657258133787625,4.623297043575e+00,0.209929783,1.901536080620e+01,0.764767426,-2.744081632e+01,-1.211162693e+03,-8.480026695e+02,-9.335008401e+02,-5.703408162e+02,7.176550359e+03,1.005310985e+05
67,176.4414342977104188888926411,4.067334267501e+00,-0.203595304,1.650776489907e+01,-0.045871109,-3.298080093e+01,-1.244143494e+03,-8.809834705e+02,-9.361560155e+02,-5.729959916e+02,7.209565889e+03,1.009921374e+05
68,178.3774077760999772858309354,3.816055355442e+00,-0.060330511,1.534910055796e+01,-1.883904572,9.455575321e+00,-1.234687919e+03,-8.715278951e+02,-9.394986786e+02,-5.763386547e+02,7.240264090e+03,1.014199988e+05
69,179.9164840202569961393400366,3.370320773959e+00,-0.501318645,1.401370523172e+01,0.904108641,-1.733176727e+01,-1.252019686e+03,-8.888596624e+02,-9.420238433e+02,-5.788638194e+02,7.268291500e+03,1.017946513e+05
70,182.2070784843664619154070372,2.119190919989e+00,-0.123175670,8.391328489853e+00,-0.636369043,-1.349760052e+01,-1.265517287e+03,-9.023572629e+02,-9.459209189e+02,-5.827608950e+02,7.285074157e+03,1.020272638e+05
71,184.8744678483875088009606466,6.171272125713e+00,1.290179350,2.202226096648e+01,-0.245172605,-4.272739007e+01,-1.308244677e+03,-9.450846530e+02,-9.505320908e+02,-5.873720669e+02,7.329118679e+03,1.026948790e+05
