cap,x,k,y,K,MK,S,absS_over_sqrtx,S_real,resid_cesaro_Tmax,off_pred,abs_li_Tmax,abs_psi_Tmax,overshoot_li_Tmax,overshoot_psi_Tmax,overshoot_li_T2000,overshoot_psi_T2000,mean_absF
100000000,99900024,8,14937,6687,-14,-484.696671400,0.048493914,-484.937009331,-768.445843,799.634308,2.045155e+04,2.891953e+05,42.194540,596.652217,35.240115,497.094648,3.224363
100000000,99920015,8,14937,6688,-14,-431.017597292,0.043119008,-434.265820236,-797.244854,799.697773,2.045330e+04,2.892243e+05,47.453506,671.026610,39.632307,559.058908,3.224363
100000000,99940008,8,14937,6690,-14,-468.620359731,0.046876099,-469.357100148,-746.071501,799.738218,2.045485e+04,2.892512e+05,43.649095,617.239928,36.455410,514.251699,3.224266
100000000,99960003,8,14937,6691,-15,-463.316332507,0.046340902,-461.392835988,-741.102056,820.703102,2.045788e+04,2.892937e+05,44.155309,624.397850,36.877255,520.206095,3.224498
100000000,99980000,8,14937,6692,-15,-395.357788520,0.039539733,-395.395138420,-795.469930,820.764397,2.045962e+04,2.893227e+05,51.749629,731.799563,43.219814,609.685945,3.224498
100000000,99999999,8,14937,6694,-15,-363.471579088,0.036347158,-363.160023909,-819.643049,820.853868,2.046175e+04,2.893552e+05,56.295327,796.087666,47.015314,663.237046,3.224657
1000000000,996980624,9,80435,12394,13,582.366337079,0.018443906,584.177473582,-925.778509,861.096041,6.016161e+04,9.696284e+05,103.305432,1664.980092,86.466768,1390.037428,3.390656
1000000000,997043775,9,80435,12395,12,610.064997438,0.019320528,611.248210374,-922.698448,899.257964,6.016840e+04,9.697145e+05,98.626210,1589.526484,82.550923,1327.051969,3.390664
1000000000,997106928,9,80435,12396,12,518.616553777,0.016423870,518.714496541,-796.210783,899.305026,6.017006e+04,9.697452e+05,116.020318,1869.869317,97.109929,1561.102494,3.390664
1000000000,997170083,9,80435,12397,12,544.030369514,0.017228145,543.184570354,-781.774227,899.329165,6.017172e+04,9.697759e+05,110.603599,1782.576756,92.576092,1488.224335,3.390664
1000000000,997233240,9,80435,12397,12,604.326387673,0.019136970,600.658431782,-795.677839,899.374628,6.017338e+04,9.698066e+05,99.570989,1604.772887,83.341709,1339.780772,3.390664
1000000000,997296399,9,80435,12398,13,601.721461143,0.019053878,602.996039982,-751.581777,861.264431,6.016996e+04,9.697817e+05,99.996371,1611.678761,83.697148,1345.539171,3.390674
1000000000,997359560,9,80435,12399,14,651.923566744,0.020642905,654.009789966,-752.870385,823.135224,6.016696e+04,9.697596e+05,92.291433,1487.535689,77.247411,1241.888737,3.390704
