run_xmax,x,D,M_x,E_rec,sum_abs_Ed,C_pnt,absE_over_sqrtD,absE_rec_over_sqrtx,ratio_E_to_sqrtD_pred,saving_factor
5e7,8121758,2848,102,113.533169,9234.741053,329.066338,173.043276,0.039838,0.656097,81.339587
5e7,8416410,2899,34,181.595965,9517.376597,397.191930,176.763726,0.062595,1.027337,52.409626
5e7,8721753,2951,-756,819.075487,9906.453202,882.150974,182.361681,0.277346,4.491489,12.094677
5e7,9038173,3004,-174,292.275125,9981.947810,410.550251,182.123224,0.097219,1.604821,34.152574
5e7,9366072,3058,-352,420.808440,10155.906486,489.616881,183.653814,0.137501,2.291313,24.134275
5e7,9705867,3113,289,-75.462256,10665.626537,138.075489,191.159908,0.024222,0.394760,141.337235
5e7,10057990,3169,971,-487.838478,10543.558402,-4.676957,187.294959,0.153823,2.604654,21.612806
5e7,10422888,3226,1014,-534.451271,10944.706337,-54.902542,192.695659,0.165544,2.773551,20.478399
5e7,10801024,3284,458,-91.904443,11679.138139,274.191114,203.802366,0.027964,0.450949,127.079146
5e7,11192879,3344,-15,238.180393,11972.514782,461.360786,207.039041,0.071193,1.150413,50.266584
5e7,11598950,3404,-449,492.261346,12439.352924,535.522692,213.207763,0.144539,2.308834,25.269815
5e7,12019753,3465,-515,609.133991,12972.233843,703.267982,220.375418,0.175697,2.764074,21.296191
5e7,12455822,3527,-1014,991.090627,13081.007665,968.181254,220.261438,0.280819,4.499610,13.198599
5e7,12907712,3591,-1228,1103.519704,13645.562698,979.039409,227.710862,0.307153,4.846144,12.365491
5e7,13375995,3655,-435,538.942383,13226.050687,642.884767,218.769358,0.147360,2.463519,24.540751
5e7,13861268,3721,-99,268.580076,14073.218112,438.160152,230.708494,0.072139,1.164153,52.398593
5e7,14364147,3788,381,-0.967358,14443.621204,379.065283,234.677312,0.000255,0.004122,14930.993977
5e7,14885269,3856,593,-154.509454,14263.507529,283.981092,229.698322,0.040048,0.672663,92.314788
5e7,15425298,3926,926,-438.558943,15184.570818,48.882113,242.341267,0.111663,1.809675,34.623786
5e7,15984918,3996,617,-284.268975,15447.449553,48.462049,244.367838,0.071101,1.163283,54.340962
5e7,16564841,4068,752,-338.723342,16210.200767,74.553316,254.154569,0.083225,1.332745,47.856757
5e7,17165804,4141,-14,189.294158,16379.244439,364.588316,254.531331,0.045688,0.743697,86.527998
5e7,17788569,4216,-546,644.653605,16744.245322,743.307211,257.878584,0.152847,2.499834,25.974020
5e7,18433927,4291,-402,612.506924,17157.647428,823.013848,261.925922,0.142660,2.338474,28.012169
5e7,19102699,4369,-455,594.251057,18040.683186,733.502114,272.936713,0.135964,2.177249,30.358689
5e7,19795733,4447,-553,686.741167,18412.400092,820.482335,276.106632,0.154350,2.487232,26.811266
5e7,20513910,4527,-748,756.648653,18840.440410,765.297306,280.017906,0.167059,2.702144,24.899853
5e7,21258143,4609,440,-109.930329,19519.083002,220.139343,287.512054,0.023843,0.382350,177.558671
5e7,22029375,4692,-406,544.164610,18812.075704,682.329220,274.636159,0.115939,1.981402,34.570561
5e7,22828588,4776,275,39.673332,19819.915777,354.346664,286.793726,0.008303,0.138334,499.577799
5e7,23656795,4862,336,78.695249,20406.232089,493.390498,292.654593,0.016180,0.268901,259.307040
5e7,24515049,4949,123,212.152148,20819.186140,547.304295,295.940921,0.042848,0.716873,98.133280
