k,n,X,q,P_q_rho0_kernelQ,P_q_rho_Q6U,sqrt_X_over_q
6,196,38808,5,-5.4,-5.400000000021464,88.09994324629274
6,208,43680,5,0.0,0.0,93.46657156438339
6,221,49283,5,-5.4,-5.4,99.28041095805355
6,235,55695,5,0.0,5.220499588176608e-11,105.54146104730596
6,250,63000,5,0.0,8.585629984736443e-11,112.24972160321825
6,266,71288,5,-5.4,-5.400000000085856,119.40519251690858
6,283,80655,5,0.0,0.0,127.00787377166819
6,301,91203,5,-5.4,-5.4,135.05776541909762
6,320,103040,5,0.0,1.0440999176353216e-10,143.5548675594109
6,341,116963,5,-5.4,-5.4,152.94639583854206
6,362,131768,5,-5.4,-5.4,162.337919168628
6,385,148995,5,0.0,-2.0881998352706432e-10,172.6238685697896
6,410,168920,5,0.0,2.0881998352706432e-10,183.80424369420854
6,436,190968,5,-5.4,-5.399999999656575,195.43182954677573
6,463,215295,5,0.0,-2.0881998352706432e-10,207.50662640021883
6,493,244035,5,0.0,0.0,220.92306353117593
6,524,275624,5,-40.2,-40.19999999958236,234.7867117193816
6,557,311363,5,-5.4,-5.4,249.54478555962655
6,593,352835,5,0.0,-4.1763996705412864e-10,265.64449928428786
6,630,398160,5,0.0,-6.868503987789154e-10,282.19142439131633
6,670,450240,5,0.0,8.352799341082573e-10,300.0799893361768
6,713,509795,5,0.0,-8.352799341082573e-10,319.3101940120296
6,173,30275,6,48.333333333333336,48.333333333333435,71.03402940375362
6,184,34224,6,0.0,1.7431981783981125e-12,75.52483035399682
6,196,38808,6,0.0,0.0,80.4238770515324
6,208,43680,6,0.0,0.0,85.32291603080617
6,221,49283,6,48.333333333333336,48.333333333333336,90.63020100018169
6,235,55695,6,22.333333333333332,22.333333333317416,96.34573161277048
6,250,63000,6,0.0,0.0,102.46950765959599
6,266,71288,6,-26.0,-25.999999999986056,109.00152904126315
6,283,80655,6,22.333333333333332,22.333333333333332,115.94179574251902
6,301,91203,6,22.333333333333332,22.333333333333332,123.29030781046822
6,320,103040,6,-26.0,-26.0,131.04706533659322
6,341,116963,6,48.333333333333336,48.333333333333336,139.62031848313958
6,362,131768,6,-26.0,-26.000000000027892,148.19356711184642
6,385,148995,6,22.333333333333332,22.333333333389117,157.58331129913472
6,410,168920,6,-26.0,-26.0,167.78955072749116
6,436,190968,6,0.0,1.2732925824820995e-10,178.4040358287895
6,463,215295,6,22.333333333333332,22.33333333346066,189.4267668519948
6,493,244035,6,22.333333333333332,22.33333333346066,201.6742422819533
