n,X,dmax,n_d,E,Diag,Off,Diag_int,S_sq,S_sq_abs,n_sq,sum_abs_Bj,sum_abs_terms,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15
3114,9703224,649,649,-76.83639063033866,90210.61036194616,-84306.77943684817,102742027573,71.38069490743942,298.2684025060905,25,504.16394159512515,4198.910867422471,-38.9095,-49.7994,44.5228,3.32429,-76.6786,132.469,-7.24845,33.348,-85.158,-32.7063,0,0,0,0,0,0
3115,9709455,649,649,-47.821443095027234,99378.266837243,-97091.37641755208,102872201451,53.92138044708145,294.918694420619,25,491.0605496435644,4316.608623174585,-28.8733,-58.1414,58.8769,-5.3494,-70.8404,135.623,-0.14772,27.12,-88.8305,-17.2584,0,0,0,0,0,0
3116,9715688,650,650,17.121901877531172,99066.77403178063,-98773.61450787683,102996468962,43.136768364088766,348.74533346125236,25,521.8321013078464,4303.72264808342,-26.8245,-66.6207,68.8688,16.259,-63.7764,139.022,11.7089,33.6185,-88.4237,-6.70981,0,0,0,0,0,0
3117,9721923,650,650,-28.06870934969629,103945.7273892319,-103157.87494467417,103111568883,-3.8017844655757926,337.4508761659529,25,523.1544934608646,4328.624325241312,-42.8929,-71.8999,71.0722,11.5749,-59.865,125.17,13.9863,25.7393,-96.7163,-4.23754,0,0,0,0,0,0
3118,9728160,651,651,-32.369384340251145,103279.11517093681,-102231.33812836991,103238034883,-23.16856209293246,350.14502692091264,25,505.95674564388037,4446.5290371618175,-35.9488,-61.3164,71.2651,15.1058,-66.9562,125.736,11.0883,13.598,-96.8744,-8.06738,0,0,0,0,0,0
3119,9734399,651,651,27.5199111024142,105881.74459955147,-105124.39909246669,103367041344,2.7607903165246626,368.74759500799223,25,459.6616310684856,4533.47085386123,-29.1219,-62.6662,60.5307,29.5658,-60.7308,127.566,13.2922,12.6356,-60.9755,-2.57641,0,0,0,0,0,0
3120,9740640,652,652,-8.792938576300912,101156.96997111045,-101079.65420230385,103492148039,5.747550996415612,261.1494301346738,25,481.71012089964916,4386.585981460144,-27.2825,-59.0199,80.7128,-10.9877,-78.8311,131.953,21.3907,2.40243,-68.0419,-1.08845,0,0,0,0,0,0
3121,9746883,652,652,68.20167974891933,104668.47568927427,-100017.00656870012,103618443734,58.647724582603814,277.3881323304124,25,446.66585764373144,4356.931532504789,-22.5603,-59.307,81.8969,9.60981,-47.8506,113.188,32.5838,20.1557,-56.2186,-3.29567,0,0,0,0,0,0
3122,9753128,652,652,76.96052482193454,110643.757227483,-104720.8348466154,103751498266,89.04189074195415,322.62869244582066,25,436.0766240214084,4432.212836766672,-8.82547,-70.7313,92.2118,15.1992,-49.7144,117.663,17.4261,14.0183,-49.6006,-0.686293,0,0,0,0,0,0
3123,9759375,653,653,37.54556495135171,115977.58191262271,-114567.91246510655,103868712813,94.97608445698552,307.75846017250205,25,396.7381946058092,4419.194801218628,-18.2079,-76.9556,124.597,4.57173,-31.6568,77.647,-1.29413,10.3263,-47.3955,-4.08634,0,0,0,0,0,0
3124,9765624,653,653,24.200077597916334,100066.593096569,-99480.94934082383,103977798458,61.267847485445145,307.62635505690287,25,357.8118508550865,4364.264893829059,-38.5778,-47.3171,87.7613,18.2993,-6.44956,66.9667,17.9787,-11.5388,-52.9748,-9.94785,0,0,0,0,0,0
3125,9771875,654,654,-49.39953716092464,101490.38234826532,-99050.06807655175,104100112596,22.260042771195458,369.28292745534145,25,366.13682955632726,4296.3632520410965,-45.0649,-62.612,98.2054,5.73393,-13.5595,54.4293,-7.00118,-15.0547,-48.2667,-16.2091,0,0,0,0,0,0
3126,9778128,654,654,-100.6287809778355,93352.879848915,-83226.72828782981,104219241010,-37.39235941685615,355.3083655317603,25,320.75441786957754,4310.679797601874,-54.5394,-51.9108,78.4311,3.38343,-3.35445,28.2483,-3.55156,-31.3801,-44.0275,-21.9278,0,0,0,0,0,0
3127,9784383,654,654,-213.04664280290353,98785.2655761853,-53396.393566597326,104331989155,-40.08431754898152,348.1037389911819,25,392.8590477158873,4417.371225420788,-79.1312,-63.1429,62.9381,-9.11063,-8.29877,26.9681,-30.7126,-21.1656,-71.2251,-20.166,0,0,0,0,0,0
3128,9790640,655,655,-156.16886929252564,91178.86655005669,-66790.15081395072,104459871712,-44.433877764773115,342.0868793738273,25,363.6632913837259,4221.404572423796,-73.7103,-66.5123,58.2212,8.60233,3.81516,33.1085,-20.6152,-23.0378,-61.8093,-14.231,0,0,0,0,0,0
3129,9796899,655,655,-140.89259036817248,94695.56147411665,-74844.839453463,104576237364,-66.71634378881095,355.6781665082924,25,381.48550879689583,4348.70917679757,-86.4067,-60.6817,49.6484,28.2441,-5.14338,42.4039,-22.6865,-24.449,-57.4921,-4.32956,0,0,0,0,0,0
3130,9803160,656,656,-184.97010649035656,86507.84221428738,-52293.90191923353,104696483441,-93.64229927238421,349.3574134027408,25,408.1966335175821,4046.9942369041787,-95.0905,-68.9883,67.0634,-6.11931,-18.0196,44.5498,-4.32604,-24.8814,-60.6608,-18.4973,0,0,0,0,0,0
3131,9809423,656,656,-149.9647512590609,94610.32279272554,-72120.89617253352,104834574403,-47.59422067852188,371.518275825312,25,345.5779636493344,4289.196897344584,-73.8916,-63.2283,68.6217,-11.5547,1.93979,27.0944,-21.2299,-30.2976,-47.5693,0.150683,0,0,0,0,0,0
3132,9815688,657,657,-235.46572500937827,102728.77536562108,-47284.667711428934,104951736628,-25.048645443268697,377.0640996114814,25,423.67089214741054,4360.357159173251,-85.68,-44.4721,68.957,-19.7832,-29.7945,25.1456,-30.8756,-49.9984,-61.6345,-7.32995,0,0,0,0,0,0
3133,9821955,657,657,-98.0154230757073,79223.5466902721,-69616.5235295622,105094636054,-12.049032357257602,310.2839052717609,25,364.38359257728985,4113.360930014626,-52.5857,-45.6494,79.5028,5.84454,-14.7622,45.4444,-27.8636,-44.3166,-46.0221,2.3923,0,0,0,0,0,0
3134,9828224,657,657,-187.08146302868363,91575.36077849634,-56575.88696954362,105220111899,-67.2842017120031,336.8666516485698,25,411.48896028519766,4365.477358593154,-60.4787,-59.9638,58.9708,-6.45942,-29.7288,53.233,-15.7678,-58.1814,-66.108,-2.59731,0,0,0,0,0,0
3135,9834495,658,658,-186.9131338510349,93547.15276860281,-58610.633162587925,105348154107,-68.265880846772,340.32251833779696,25,408.80835437157,4306.183247592392,-59.489,-71.0783,63.5779,1.23779,-20.3814,46.132,-23.4998,-62.606,-55.2817,-5.52454,0,0,0,0,0,0
3136,9840768,658,658,-183.22815924522752,87276.50814827632,-53703.949807881865,105474001448,-122.33149616054743,323.09172434765514,25,386.6188899614938,4346.2000911147325,-56.4867,-50.33,52.035,-0.0049235,-36.5161,49.6603,-25.3201,-66.2252,-49.3786,-0.661986,0,0,0,0,0,0
3137,9847043,659,659,-145.88309720042275,89784.49090774417,-68502.61285895618,105579315846,-149.70801213767072,306.44855085715017,25,354.28222038966965,4336.554431877044,-86.6016,-42.515,54.6322,13.6106,-11.2565,35.9568,-7.23016,-69.551,-30.552,-2.37647,0,0,0,0,0,0
3138,9853320,659,659,-257.2301097984016,102047.73565452927,-35880.40626763152,105701506681,-138.18671033413852,366.6489115380898,25,460.01444293902364,4497.01336943997,-97.7039,-55.704,63.2196,-10.5613,-49.997,38.1726,-12.9547,-79.1493,-44.4588,-8.09335,0,0,0,0,0,0
3139,9859599,660,660,-225.64758107124408,88966.89541953485,-38050.06457623118,105826843425,-111.8341628389453,317.8883812882327,25,452.50166020794904,4328.043072403261,-92.9233,-40.8263,75.8796,-0.804995,-57.8182,37.5475,-14.7787,-86.2121,-34.1381,-11.5729,0,0,0,0,0,0
3140,9865880,660,660,-185.4064148445293,82708.98552248694,-48333.44685698524,105954984451,-105.32243227146932,299.0969224641069,25,492.0316153777137,4189.481629184026,-90.1303,-52.0858,65.4554,28.014,-64.6403,59.8431,-15.5149,-79.4541,-34.9153,-1.97837,0,0,0,0,0,0
3141,9872163,660,660,-226.66965184462265,93085.17222232875,-41706.041154966304,106077439740,-97.86547236695174,299.6083435096591,25,536.6630932314254,4395.7725524560965,-98.4543,-64.1454,58.1046,46.7604,-69.6279,49.6163,-31.506,-79.5238,-38.409,0.515441,0,0,0,0,0,0
3142,9878448,661,661,-242.95553519525674,91926.87559677145,-32899.48351475781,106200907945,-131.38053497563396,308.48320629058253,25,534.6120259708932,4303.802323840628,-102.766,-73.3422,63.6727,46.5734,-65.3004,35.5822,-24.1515,-85.4758,-30.8946,-6.85347,0,0,0,0,0,0
3143,9884735,661,661,-246.8111288441396,92368.29664403806,-31452.563322719572,106326791392,-178.06533116179003,345.36087461609463,25,570.3678848282652,4269.483640839702,-102.195,-56.4723,60.5925,41.391,-84.9718,59.7949,-43.9739,-77.3625,-38.6996,-4.91486,0,0,0,0,0,0
