n,X,dmax,n_d,E,Diag,Off,Diag_int,S_sq,S_sq_abs,n_sq,sum_abs_Bj,sum_abs_terms,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15
28395,806332815,10024,10024,1116.4094319958258,6767325.471029232,-5520955.45117999,431615599462489,1041.8368220189805,2716.445638593221,100,3658.855338354033,132734.23877036426,-224.336,-172.731,105.028,654.476,186.175,393.327,236.668,-74.3785,-72.6582,110.762,-134.674,701.197,-530.602,-61.8438,0,0
28396,806389608,10025,10025,1194.0498032001296,6862221.147029698,-5436466.21450743,431676202972676,1277.2342451741088,2594.976357739254,100,3628.055798382641,133760.341972568,-153.526,-164.938,71.3504,680.757,225.553,356.076,251.664,-101.292,-105.306,119.607,-154.792,706.045,-511.893,-25.2571,0,0
28397,806446403,10025,10025,1341.0279158520407,6884848.04246076,-5086492.171366292,431733213866108,1210.3142504520265,2509.058838692604,100,3549.808771965372,133713.58914373704,-162.809,-85.0931,-10.1121,697.873,257.984,351.005,250.656,-64.8026,-99.1252,105.527,-131.706,782.373,-520.782,-29.9609,0,0
28398,806503200,10026,10026,1041.8059469514292,6870472.00300715,-5785112.371903786,431790451616949,1236.668315036277,2634.901801262062,100,3482.9592470951875,132044.03619088436,-185.085,-96.251,-41.6882,687.04,213.418,371.696,227.835,-41.8554,-155.836,78.2214,-158.451,684.172,-486.173,-55.238,0,0
28399,806559999,10027,10027,1083.5231523585608,7071050.749294415,-5897028.3275973825,431847907348332,1094.4903227630311,2517.0428049788534,100,3438.7169275894485,132855.8708375251,-186.453,-101.357,5.89845,666.32,156.969,396.393,270.456,-44.9683,-119.304,77.9106,-166.964,687.174,-467.872,-90.6781,0,0
28400,806616800,10028,10028,1266.386551249234,7246692.646634404,-5642957.749449475,431907422217226,1026.7829686560272,2468.213468945638,100,3488.84311954688,133258.63353800843,-146.813,-155.569,7.36936,720.592,160.22,424.315,274.632,-70.282,-57.0823,125.399,-166.628,665.088,-463.218,-51.6354,0,0
28401,806673603,10028,10028,1193.9174631811811,7194445.058221122,-5769006.149332135,431964573177955,877.8014191098282,2633.7257874297484,100,3512.3056968189658,132652.43163798892,-162.267,-139.626,2.89567,691.7,161.881,430.063,280.811,-79.728,-79.9641,120.376,-179.918,665.385,-457.303,-60.3874,0,0
28402,806730408,10029,10029,1068.8824530654138,7127482.526537883,-5984972.828066747,432020579304713,821.1990032800159,2617.2287200482724,100,3622.9754895361066,132708.1895718283,-205.713,-166.789,45.4158,684.136,209.194,417.753,279.488,-128.452,-66.4013,86.87,-225.819,623.072,-448.196,-35.6759,0,0
28403,806787215,10030,10030,1021.8985320254587,7094376.158163945,-6050099.548408158,432076137569716,922.8759942863207,2471.94757314296,100,3745.4493746159997,131543.27770910147,-261.252,-177.9,62.0966,683.297,177.796,506.44,311.418,-131.572,-56.4226,22.5556,-213.638,620.072,-507.338,-13.6526,0,0
28404,806844024,10030,10030,1172.2754674953803,6946421.859924405,-5572192.088232893,432135687831944,999.3471637607572,2661.2240665303807,100,3613.6798600313223,133374.43599145126,-212.783,-169.014,108.557,645.561,258.164,487.368,273.783,-91.2082,-54.4503,22.9026,-214.543,596.641,-426.451,-52.2534,0,0
