n,X,dmax,n_d,E,Diag,Off,Diag_int,S_sq,S_sq_abs,n_sq,sum_abs_Bj,sum_abs_terms,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15
173,30275,42,42,13.521203748476296,378.5844203340953,-195.76146952628585,2486213,-0.4915540957349833,16.55000458775035,6,30.60219970343053,86.8553088823403,-6.69773,-0.187762,8.26518,6.7471,-1.655,7.04942,0,0,0,0,0,0,0,0,0,0
174,30624,42,42,-12.893358910027729,444.13881483126727,-277.90011084847583,2516887,-8.093741262678094,22.05540075139382,6,32.24767863465027,82.89478938454258,-14.3319,-0.351255,5.28899,4.38817,-6.16055,-1.72681,0,0,0,0,0,0,0,0,0,0
175,30975,43,43,-13.44129307730563,670.0778378123555,-489.40947822233124,2571810,-13.219502038393927,27.27106359224777,6,30.229918211872217,108.93612793937004,-14.1438,-0.406165,5.02101,-0.343531,-6.94215,3.3733,0,0,0,0,0,0,0,0,0,0
176,31328,43,43,-5.62066855934998,540.4755390781082,-508.88362402404283,2638887,-7.433998142539934,13.75789592768885,6,18.56215641218452,104.13756638271215,-9.92579,-0.687474,4.13414,-1.47815,1.10117,1.23543,0,0,0,0,0,0,0,0,0,0
177,31683,44,44,-16.653740899351817,891.5500326339765,-614.2029466912329,2676791,-10.754044738483515,21.922082860831154,6,31.887624757064827,128.08246790327365,-15.8851,0.355752,3.60382,-8.11029,-0.275265,3.65737,0,0,0,0,0,0,0,0,0,0
178,32040,44,44,-21.83729120362102,939.5702488726853,-462.70296176094126,2720119,-12.79057569111933,36.21353982370431,6,26.605150312317676,126.61484139016176,-19.8148,-1.82702,2.04509,-1.50504,0.338843,-1.07438,0,0,0,0,0,0,0,0,0,0
179,32399,45,45,-9.542161443580852,624.4490695275178,-533.3962245121568,2789898,-14.295861253258039,24.07196032263525,6,28.19422439463753,104.85708186926624,-14.9214,-1.90157,5.61123,0.231832,-2.04524,3.48297,0,0,0,0,0,0,0,0,0,0
180,32760,45,45,-2.0148359975266885,493.23335171495467,-489.1737876180253,2856181,-15.214609955236057,24.543036141093324,6,33.45470945261724,105.3609741785773,-10.9984,-1.98612,9.02444,-1.19462,6.69549,-3.55561,0,0,0,0,0,0,0,0,0,0
181,33123,46,46,4.405670195519264,433.38323001656727,-413.9733001448805,2927031,-19.32088945196665,26.224877883097633,6,31.115710027306392,101.73880516634469,-6.25205,2.03713,10.4442,-3.61202,5.27932,-3.49095,0,0,0,0,0,0,0,0,0,0
182,33488,46,46,13.193927451119123,569.0036595535063,-394.92393796811155,2983148,-13.574450927881571,18.936517809204815,6,26.475073759293025,113.52377028775555,-6.47624,-0.164331,11.0724,4.20271,1.87769,2.68174,0,0,0,0,0,0,0,0,0,0
