j,j0,j1,j2,j3,j4,j5,j6,j7,j8,j9,j10,j11,j12,j13
0,1.00000,0.38780,0.23435,0.31185,0.44030,0.39362,0.63455,0.58809,0.54247,0.62024,0.60600,0.72258,0.44039,0.46461
1,0.38780,1.00000,-0.19453,0.37625,0.33697,0.36607,0.38624,0.41480,0.50138,0.34171,0.42419,0.38299,0.52198,0.34899
2,0.23435,-0.19453,1.00000,-0.18465,0.24349,0.15971,0.52402,0.19020,0.16600,0.40591,0.34007,0.29425,-0.05180,0.26990
3,0.31185,0.37625,-0.18465,1.00000,0.12917,0.35792,0.29118,0.40528,0.49984,0.22922,0.40033,0.42140,0.32127,0.27577
4,0.44030,0.33697,0.24349,0.12917,1.00000,-0.26587,0.43265,0.35598,0.39710,0.43463,0.37829,0.42749,0.32170,0.31246
5,0.39362,0.36607,0.15971,0.35792,-0.26587,1.00000,0.36276,0.31920,0.22052,0.31280,0.42817,0.45509,0.27000,0.27678
6,0.63455,0.38624,0.52402,0.29118,0.43265,0.36276,1.00000,0.28439,0.52273,0.65536,0.66642,0.58609,0.32871,0.49991
7,0.58809,0.41480,0.19020,0.40528,0.35598,0.31920,0.28439,1.00000,0.34593,0.31999,0.46821,0.56610,0.33894,0.39463
8,0.54247,0.50138,0.16600,0.49984,0.39710,0.22052,0.52273,0.34593,1.00000,0.30730,0.47531,0.44842,0.40274,0.38637
9,0.62024,0.34171,0.40591,0.22922,0.43463,0.31280,0.65536,0.31999,0.30730,1.00000,0.41464,0.53571,0.35988,0.44458
10,0.60600,0.42419,0.34007,0.40033,0.37829,0.42817,0.66642,0.46821,0.47531,0.41464,1.00000,0.55327,0.27542,0.47052
11,0.72258,0.38299,0.29425,0.42140,0.42749,0.45509,0.58609,0.56610,0.44842,0.53571,0.55327,1.00000,0.22251,0.48339
12,0.44039,0.52198,-0.05180,0.32127,0.32170,0.27000,0.32871,0.33894,0.40274,0.35988,0.27542,0.22251,1.00000,0.09283
13,0.46461,0.34899,0.26990,0.27577,0.31246,0.27678,0.49991,0.39463,0.38637,0.44458,0.47052,0.48339,0.09283,1.00000

detrended (B_j / sqrt(x))
j,j0,j1,j2,j3,j4,j5,j6,j7,j8,j9,j10,j11,j12,j13
0,1.00000,0.41723,0.32464,0.43141,0.44920,0.48082,0.67922,0.67167,0.55804,0.61301,0.62115,0.64949,0.38392,0.34602
1,0.41723,1.00000,-0.23734,0.38174,0.31250,0.31011,0.37433,0.37796,0.51544,0.31780,0.40197,0.32987,0.43368,0.26334
2,0.32464,-0.23734,1.00000,-0.33899,0.19726,0.17125,0.48188,0.18555,0.10487,0.37771,0.27007,0.19148,-0.04736,0.15725
3,0.43141,0.38174,-0.33899,1.00000,0.08736,0.28371,0.27059,0.33192,0.49916,0.27156,0.36884,0.39567,0.26966,0.22302
4,0.44920,0.31250,0.19726,0.08736,1.00000,-0.32366,0.39202,0.33970,0.36484,0.36417,0.32745,0.37041,0.22849,0.20920
5,0.48082,0.31011,0.17125,0.28371,-0.32366,1.00000,0.33410,0.30558,0.20039,0.36614,0.39451,0.36557,0.22094,0.21089
6,0.67922,0.37433,0.48188,0.27059,0.39202,0.33410,1.00000,0.27854,0.50296,0.61804,0.60454,0.44851,0.26432,0.33256
7,0.67167,0.37796,0.18555,0.33192,0.33970,0.30558,0.27854,1.00000,0.29163,0.29906,0.42347,0.50099,0.27746,0.28705
8,0.55804,0.51544,0.10487,0.49916,0.36484,0.20039,0.50296,0.29163,1.00000,0.28120,0.42872,0.37136,0.33695,0.28240
9,0.61301,0.31780,0.37771,0.27156,0.36417,0.36614,0.61804,0.29906,0.28120,1.00000,0.38924,0.44511,0.28449,0.30224
10,0.62115,0.40197,0.27007,0.36884,0.32745,0.39451,0.60454,0.42347,0.42872,0.38924,1.00000,0.43225,0.23878,0.33929
11,0.64949,0.32987,0.19148,0.39567,0.37041,0.36557,0.44851,0.50099,0.37136,0.44511,0.43225,1.00000,0.20005,0.38299
12,0.38392,0.43368,-0.04736,0.26966,0.22849,0.22094,0.26432,0.27746,0.33695,0.28449,0.23878,0.20005,1.00000,0.10020
13,0.34602,0.26334,0.15725,0.22302,0.20920,0.21089,0.33256,0.28705,0.28240,0.30224,0.33929,0.38299,0.10020,1.00000
