n,X,dmax,E,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15
15082,227496888,2828,-1911.915363,-445.27,-70.5224,-161.372,-52.7066,457.758,-609.231,-171.169,-114.611,-87.2013,-169.215,-170.297,-318.078,0,0,0,0
15083,227527055,2828,-1983.203129,-447.861,-105.661,-137.06,-88.4105,448.577,-611.472,-170.525,-110.712,-82.8138,-193.5,-157.05,-326.714,0,0,0,0
15084,227557224,2829,-2003.888834,-483.444,-79.8021,-107.101,-153.944,483.332,-586.261,-200.874,-91.5249,-95.6321,-201.68,-178.651,-308.306,0,0,0,0
15085,227587395,2829,-1903.349504,-482.126,-60.8883,-115.797,-129.596,440.09,-551.374,-192.497,-81.1997,-96.2456,-207.316,-129.003,-297.396,0,0,0,0
15086,227617568,2829,-1878.871088,-475.798,-77.0873,-129.671,-121.073,403.092,-522.614,-177.85,-73.2334,-61.6854,-211.11,-126.007,-305.833,0,0,0,0
15087,227647743,2830,-2115.669402,-529.57,-90.121,-169.373,-88.7864,427.101,-546.785,-243.27,-99.7543,-64.0484,-266.604,-157.533,-286.926,0,0,0,0
15088,227677920,2830,-2247.203331,-576.333,-82.2677,-169.198,-137.27,474.786,-590.712,-287.822,-83.9345,-53.9584,-248.548,-166.389,-325.558,0,0,0,0
15089,227708099,2830,-2417.106863,-586.195,-87.3592,-202.964,-124.751,469.661,-587.823,-307.11,-122.111,-84.0299,-236.89,-200.722,-346.812,0,0,0,0
15090,227738280,2831,-2585.917997,-601.048,-99.4534,-198.68,-128.297,463.6,-619.068,-275.464,-157.572,-113.307,-245.564,-220.131,-390.934,0,0,0,0
15091,227768463,2831,-2435.805026,-579.999,-66.4926,-241.394,-96.8406,430.412,-555.986,-244.16,-142.176,-111.45,-288.679,-193.956,-345.083,0,0,0,0
15092,227798648,2832,-2230.280521,-557.942,-43.6447,-224.117,-81.2748,418.47,-499.164,-247.577,-115.348,-87.3706,-298.219,-179.096,-314.997,0,0,0,0
15093,227828835,2832,-2342.110377,-524.984,-68.6314,-223.782,-88.8257,347.212,-499.222,-258.203,-117.31,-91.9549,-295.333,-184.593,-336.483,0,0,0,0
15094,227859024,2832,-2370.459450,-520.017,-75.7311,-213.51,-77.261,420.331,-542.402,-257.628,-139.984,-102.493,-296.665,-220.947,-344.151,0,0,0,0
15095,227889215,2833,-2571.875604,-578.149,-102.776,-197.009,-100.815,401.267,-506.517,-269.916,-185.875,-139.782,-264.016,-277.71,-350.577,0,0,0,0
15096,227919408,2833,-2715.052292,-573.272,-139.823,-203.802,-95.1385,410.002,-529.573,-270.408,-196.764,-154.226,-277.959,-303.654,-380.433,0,0,0,0
15097,227949603,2833,-2888.689996,-627.494,-151.815,-202.365,-130.699,407.993,-520.503,-282.967,-232.586,-157.149,-286.098,-320.316,-384.69,0,0,0,0
15098,227979800,2834,-2879.584997,-597.708,-135.92,-178.993,-196.084,445.046,-551.749,-263.326,-242.761,-183.138,-310.095,-303.673,-361.185,0,0,0,0
15099,228009999,2834,-2817.768325,-627.02,-136.86,-173.504,-213.528,439.845,-537.741,-263.752,-218.724,-158.88,-275.766,-293.168,-358.672,0,0,0,0
15100,228040200,2835,-2882.926097,-656.323,-128.913,-154.139,-244.92,384.83,-479.669,-293.316,-212.33,-126.335,-266.627,-331.692,-373.492,0,0,0,0
15101,228070403,2835,-2768.789256,-622.725,-153.91,-102.657,-259.311,382.686,-462.855,-291.468,-231.15,-121.078,-243.974,-329.276,-333.071,0,0,0,0
15102,228100608,2835,-2757.733810,-583.118,-141.911,-157.24,-261.706,360.67,-453.722,-304.099,-212.899,-126.996,-208.067,-315.301,-353.345,0,0,0,0
