n,X,dmax,E,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15
14363,206324495,13812,-470.686205,-348.092,92.0485,-185.181,380.87,-273.687,370.346,-104.795,-50.172,106.949,-107.582,-220.831,-80.3596,25.8472,-76.0477,0,0
14364,206353224,13813,-359.152820,-347.179,98.2586,-155.345,354.871,-248.464,374.957,-100.41,-29.7758,96.7595,-88.3885,-216.721,-63.1604,4.30251,-38.8581,0,0
14365,206381955,13815,-425.522898,-323.365,79.524,-123.336,322.814,-280.993,413.37,-108.297,-57.105,90.9913,-123.398,-199.938,-55.3312,-13.3192,-47.1394,0,0
14366,206410688,13817,-477.481185,-316.542,106.676,-192.391,305.993,-251.773,415.111,-118.904,-54.5075,85.6146,-153.472,-185.346,-99.5372,36.3367,-54.7398,0,0
14367,206439423,13819,-470.865946,-321.819,132.994,-158.329,258.873,-204.171,391.271,-100.658,-105.896,70.2126,-152.949,-196.572,-111.758,82.6679,-54.7319,0,0
14368,206468160,13821,-514.077271,-292.087,140.199,-148.392,237.986,-196.084,379.133,-111.478,-119.149,56.8823,-155.223,-154.298,-126.186,84.2831,-109.663,0,0
14369,206496899,13823,-396.243211,-264.454,152.459,-100.338,207.099,-187.679,396.612,-138.233,-93.9133,23.1892,-177.465,-145.484,-86.0008,109.401,-91.4355,0,0
14370,206525640,13825,-466.966074,-302.813,112.716,-86.3495,248.149,-207.274,402.288,-145.188,-119.384,22.2618,-165.904,-173.411,-82.6598,131.881,-101.277,0,0
14371,206554383,13827,-505.522025,-289.271,98.0283,-41.1853,202.199,-193.933,392.698,-157.943,-127.57,15.2317,-137.116,-172.615,-108.202,140.534,-126.379,0,0
14372,206583128,13829,-431.653400,-301.719,106.227,-85.2036,256.422,-170.344,402.982,-183.557,-117.11,25.6149,-135.913,-117.097,-131.923,140.386,-120.418,0,0
14373,206611875,13831,-585.274221,-371.268,81.5927,-53.048,209.405,-145.074,378.04,-200.583,-88.2942,33.6856,-148.428,-164.396,-130.005,127.628,-114.531,0,0
14374,206640624,13833,-701.584321,-357.807,77.8444,-81.0136,242.625,-165.737,360.322,-188.061,-106.904,20.4423,-166.441,-179.776,-127.052,130.324,-160.351,0,0
14375,206669375,13835,-893.668710,-332.446,50.1515,-82.7487,186.727,-174.086,377.732,-245.092,-120.161,-33.7176,-190.298,-166.512,-121.988,152.116,-193.345,0,0
14376,206698128,13837,-1002.597892,-372.075,32.4559,-99.7218,206.879,-197.945,391.594,-211.779,-138.848,-31.5134,-185.249,-149.912,-105.688,73.4985,-214.294,0,0
14377,206726883,13838,-817.621473,-345.805,69.8157,-40.5796,177.034,-189.488,377.196,-206.396,-134.887,7.10899,-213.569,-169.698,-63.4484,119.024,-203.929,0,0
14378,206755640,13840,-773.970957,-347.525,43.062,-20.3283,206.245,-192.094,389.604,-210.289,-108.074,18.1511,-212.404,-152.841,-144.213,131.689,-174.953,0,0
14379,206784399,13842,-593.804023,-309.344,54.4744,-42.1334,256.396,-161.641,357.203,-203.909,-86.051,17.7615,-165.209,-163.226,-123.406,150.033,-174.752,0,0
14380,206813160,13844,-372.880123,-299.155,77.7733,-8.94766,262.6,-130.19,385.737,-204.657,-52.1653,0.608109,-135.145,-153.946,-132.216,170.227,-153.404,0,0
14381,206841923,13846,-386.092454,-310.065,86.1276,-29.7025,317.805,-164.802,374.401,-224.349,-41.8521,22.5019,-136.472,-174.731,-104.982,111.117,-111.089,0,0
14382,206870688,13848,-354.545903,-331.966,62.4792,-1.52228,342.065,-186.415,367.998,-189.178,-71.0361,54.5688,-138.391,-127.867,-112.187,119.356,-142.451,0,0
14383,206899455,13850,-425.480823,-357.967,80.8862,-28.1104,365.207,-197.837,358.541,-189.864,-65.7936,52.9487,-187.87,-112.265,-114.702,97.3674,-126.023,0,0
14384,206928224,13852,-375.832009,-360.958,52.1796,4.00486,374.522,-178.394,357.325,-185.623,-45.2661,25.3228,-148.879,-122.565,-98.2947,45.245,-94.4521,0,0
14385,206956995,13854,-272.375403,-308.049,60.6392,-9.59074,356.716,-195.072,381.726,-152.314,-55.0971,39.1545,-145.87,-109.125,-150.704,94.2514,-79.0412,0,0
14386,206985768,13856,-216.963763,-313.131,65.9853,-15.3657,350.148,-200.627,398.391,-129.005,-29.6467,69.1297,-161.965,-127.578,-166.803,140.707,-97.2031,0,0
14387,207014543,13858,-224.546739,-340.313,67.3868,-48.9091,379.221,-179.996,414.922,-157.97,-44.1162,84.1853,-181.093,-142.49,-117.145,165.195,-123.426,0,0
