N,R,runmax_absR
4594,14,45
9188,-114,121
13782,-101,142
18376,-127,179
22970,-89,179
27564,-52,179
32158,-10,179
36752,38,179
41346,18,179
45940,62,179
50534,-13,179
55128,21,179
59722,39,179
64316,-9,179
68910,-39,179
73504,-90,179
78098,-126,179
82692,-118,179
87286,-220,225
91880,-228,238
96474,-180,253
101068,-190,253
105662,-190,253
110256,-185,253
114850,-144,253
119444,-32,253
124038,7,253
128632,43,253
133226,128,253
137820,118,253
142414,181,253
147008,175,253
151602,218,253
156196,211,253
160790,261,270
165384,224,280
169978,176,283
174572,209,283
179166,216,283
183760,265,289
188354,250,289
192948,244,289
197542,168,289
202136,141,289
206730,146,289
211324,95,289
215918,68,289
220512,86,289
225106,84,289
229700,55,289
234294,106,289
238888,137,289
243482,127,289
248076,134,289
252670,111,289
257264,105,289
261858,73,289
266452,82,289
271046,28,289
275640,40,289
280234,32,289
284828,-11,289
289422,1,289
294016,-5,289
298610,13,289
303204,-54,289
307798,-79,289
312392,-149,289
316986,-209,289
321580,-144,289
326174,-152,289
330768,-149,289
335362,-185,289
339956,-154,289
344550,-80,289
349144,-67,289
353738,-122,289
358332,-123,289
362926,-69,289
367520,-138,289
372114,-110,289
376708,-107,289
381302,-128,289
385896,-204,289
390490,-209,289
395084,-147,289
399678,-252,289
404272,-167,289
408866,-186,289
413460,-270,289
418054,-242,343
422648,-253,343
427242,-215,343
431836,-190,343
436430,-205,343
441024,-99,343
445618,-60,343
450212,18,343
454806,15,343
459400,59,343
463994,51,343
468588,113,343
473182,186,343
477776,218,343
482370,324,343
486964,249,343
491558,260,343
496152,169,343
500746,208,343
505340,197,343
509934,118,343
514528,83,343
519122,84,343
523716,169,343
528310,245,343
532904,277,343
537498,285,343
542092,357,379
546686,378,411
551280,390,411
555874,443,454
560468,361,457
565062,348,457
569656,318,457
574250,300,457
578844,302,457
583438,199,457
588032,222,457
592626,202,457
597220,172,457
601814,57,457
606408,7,457
611002,48,457
615596,89,457
620190,58,457
624784,-34,457
629378,6,457
633972,45,457
638566,89,457
643160,94,457
647754,90,457
652348,11,457
656942,-20,457
661536,-17,457
666130,31,457
670724,-50,457
675318,-126,457
679912,-95,457
684506,-146,457
689100,-126,457
693694,-95,457
698288,25,457
702882,-14,457
707476,-90,457
712070,-27,457
716664,-48,457
721258,-51,457
725852,96,457
730446,72,457
735040,88,457
739634,3,457
744228,-30,457
748822,-74,457
753416,-116,457
758010,-189,457
762604,-132,457
767198,-93,457
771792,-145,457
776386,-177,457
780980,-167,457
785574,-97,457
790168,-74,457
794762,-76,457
799356,-55,457
803950,-82,457
808544,-108,457
813138,-141,457
817732,-53,457
822326,-2,457
826920,-20,457
831514,-70,457
836108,-67,457
840702,-10,457
845296,1,457
849890,36,457
854484,51,457
859078,0,457
863672,-5,457
868266,-54,457
872860,-58,457
877454,-71,457
882048,-66,457
886642,-117,457
891236,-185,457
895830,-128,457
900424,-89,457
905018,-6,457
909612,21,457
914206,77,457
918800,61,457
923394,-3,457
927988,-46,457
932582,-38,457
937176,-32,457
941770,-4,457
946364,-96,457
950958,-62,457
955552,-53,457
960146,-7,457
964740,-22,457
969334,-50,457
973928,-98,457
978522,-167,457
983116,-252,457
987710,-300,457
992304,-273,457
996898,-284,457
1001492,-289,457
1006086,-295,457
1010680,-261,457
1015274,-263,457
1019868,-190,457
1024462,-126,457
1029056,-138,457
1033650,-112,457
1038244,-79,457
1042838,-79,457
1047432,-13,457
1052026,-4,457
1056620,1,457
1061214,54,457
1065808,17,457
1070402,118,457
1074996,109,457
1079590,146,457
1084184,201,457
1088778,177,457
1093372,167,457
1097966,133,457
1102560,219,457
1107154,221,457
1111748,231,457
1116342,220,457
1120936,172,457
1125530,93,457
1130124,184,457
1134718,215,457
1139312,211,457
1143906,250,457
1148500,157,457
1153094,155,457
1157688,159,457
1162282,181,457
1166876,137,457
1171470,148,457
1176064,173,457
1180658,241,457
1185252,206,457
1189846,131,457
1194440,134,457
1199034,56,457
1203628,180,457
1208222,153,457
1212816,191,457
1217410,248,457
1222004,319,457
1226598,368,457
1231192,336,457
1235786,373,457
1240380,308,457
1244974,325,457
1249568,385,457
1254162,459,509
1258756,451,509
1263350,480,512
1267944,484,512
1272538,454,512
1277132,492,544
1281726,552,567
1286320,552,575
1290914,447,575
1295508,395,575
1300102,388,575
1304696,414,575
1309290,442,575
1313884,365,575
1318478,319,575
1323072,289,575
1327666,345,575
1332260,389,575
1336854,354,575
1341448,396,575
1346042,279,575
1350636,194,575
1355230,186,575
1359824,173,575
1364418,199,575
1369012,139,575
1373606,129,575
1378200,124,575
1382794,61,575
1387388,63,575
1391982,20,575
1396576,76,575
1401170,-7,575
1405764,-101,575
1410358,-145,575
1414952,-120,575
1419546,-198,575
1424140,-207,575
1428734,-200,575
1433328,-165,575
1437922,-248,575
1442516,-201,575
1447110,-244,575
1451704,-262,575
1456298,-240,575
1460892,-183,575
1465486,-151,575
1470080,-174,575
1474674,-246,575
1479268,-250,575
1483862,-182,575
1488456,-232,575
1493050,-231,575
1497644,-272,575
1502238,-287,575
1506832,-315,575
1511426,-333,575
1516020,-276,575
1520614,-348,575
1525208,-384,575
1529802,-292,575
1534396,-250,575
1538990,-243,575
1543584,-263,575
1548178,-236,575
1552772,-226,575
1557366,-291,575
1561960,-303,575
1566554,-252,575
1571148,-314,575
1575742,-297,575
1580336,-332,575
1584930,-330,575
1589524,-339,575
1594118,-413,575
1598712,-450,575
1603306,-399,575
1607900,-381,575
1612494,-404,575
1617088,-382,575
1621682,-425,575
1626276,-383,575
1630870,-336,575
1635464,-399,575
1640058,-337,575
1644652,-417,575
1649246,-473,575
1653840,-351,575
1658434,-343,575
1663028,-322,575
1667622,-325,575
1672216,-304,575
1676810,-244,575
1681404,-254,575
1685998,-273,575
1690592,-221,575
1695186,-185,575
1699780,-245,575
1704374,-140,575
1708968,-36,575
1713562,-10,575
1718156,-51,575
1722750,-55,575
1727344,-130,575
1731938,-158,575
1736532,-199,575
1741126,-189,575
1745720,-158,575
1750314,-148,575
1754908,-148,575
1759502,-194,575
1764096,-240,575
1768690,-254,575
1773284,-151,575
1777878,-191,575
1782472,-214,575
1787066,-141,575
1791660,-217,575
1796254,-173,575
1800848,-217,575
1805442,-144,575
1810036,-105,575
1814630,3,575
1819224,25,575
1823818,46,575
1828412,124,575
1833006,102,575
1837600,124,575
1842194,167,575
1846788,223,575
1851382,224,575
1855976,243,575
1860570,304,575
1865164,317,575
1869758,332,575
1874352,351,575
1878946,344,575
1883540,362,575
1888134,275,575
1892728,326,575
1897322,325,575
1901916,368,575
1906510,333,575
1911104,296,575
1915698,280,575
1920292,330,575
1924886,346,575
1929480,472,575
1934074,378,575
1938668,350,575
1943262,385,575
1947856,335,575
1952450,340,575
1957044,334,575
1961638,322,575
1966232,337,575
1970826,401,575
1975420,365,575
1980014,305,575
1984608,306,575
1989202,416,575
1993796,399,575
1998390,372,575
2002984,308,575
2007578,372,575
2012172,377,575
2016766,369,575
2021360,389,575
2025954,475,575
2030548,421,575
2035142,407,575
2039736,390,575
2044330,331,575
2048924,395,575
2053518,293,575
2058112,289,575
2062706,290,575
2067300,260,575
2071894,237,575
2076488,262,575
2081082,222,575
2085676,216,575
2090270,194,575
2094864,188,575
2099458,271,575
2104052,196,575
2108646,179,575
2113240,200,575
2117834,261,575
2122428,229,575
2127022,242,575
2131616,184,575
2136210,206,575
2140804,185,575
2145398,91,575
2149992,36,575
2154586,8,575
2159180,61,575
2163774,126,575
2168368,110,575
2172962,146,575
2177556,169,575
2182150,183,575
2186744,132,575
2191338,67,575
2195932,19,575
2200526,-30,575
2205120,-45,575
2209714,-81,575
2214308,-3,575
2218902,59,575
2223496,69,575
2228090,143,575
2232684,39,575
2237278,117,575
2241872,115,575
2246466,154,575
2251060,177,575
2255654,165,575
2260248,200,575
2264842,192,575
2269436,177,575
2274030,195,575
2278624,121,575
2283218,197,575
2287812,303,575
2292406,293,575
2297000,238,575
2301594,120,575
2306188,84,575
2310782,-16,575
2315376,-3,575
2319970,2,575
2324564,-96,575
2329158,-147,575
2333752,-222,575
2338346,-284,575
2342940,-206,575
2347534,-229,575
2352128,-169,575
2356722,-168,575
2361316,-140,575
2365910,-152,575
2370504,-95,575
2375098,-88,575
2379692,-36,575
2384286,-22,575
2388880,-25,575
2393474,-39,575
2398068,-38,575
2402662,21,575
2407256,88,575
2411850,4,575
2416444,2,575
2421038,69,575
2425632,72,575
2430226,6,575
2434820,64,575
2439414,52,575
2444008,-17,575
2448602,54,575
2453196,42,575
2457790,61,575
2462384,48,575
2466978,94,575
2471572,100,575
2476166,16,575
2480760,173,575
2485354,183,575
2489948,125,575
2494542,164,575
2499136,184,575
2503730,199,575
2508324,276,575
2512918,290,575
2517512,341,575
2522106,298,575
2526700,379,575
2531294,380,575
2535888,363,575
2540482,388,575
2545076,412,575
2549670,443,575
2554264,402,575
2558858,369,575
2563452,361,575
2568046,297,575
2572640,234,575
2577234,276,575
2581828,203,575
2586422,203,575
2591016,247,575
2595610,206,575
2600204,151,575
2604798,173,575
2609392,72,575
2613986,70,575
2618580,68,575
2623174,37,575
2627768,3,575
2632362,-57,575
2636956,8,575
2641550,-50,575
2646144,-108,575
2650738,-90,575
2655332,-122,575
2659926,-171,575
2664520,-236,575
2669114,-191,575
2673708,-278,575
2678302,-280,575
2682896,-294,575
2687490,-390,575
2692084,-476,575
2696678,-454,575
2701272,-491,575
2705866,-540,575
2710460,-573,607
2715054,-564,629
2719648,-583,629
2724242,-613,656
2728836,-627,656
2733430,-599,658
2738024,-595,658
2742618,-641,658
2747212,-566,658
2751806,-615,658
2756400,-551,658
2760994,-521,658
2765588,-549,658
2770182,-583,658
2774776,-552,658
2779370,-575,658
2783964,-588,658
2788558,-578,658
2793152,-519,658
2797746,-517,658
2802340,-485,658
2806934,-475,658
2811528,-402,658
2816122,-397,658
2820716,-408,658
2825310,-310,658
2829904,-309,658
2834498,-337,658
2839092,-319,658
2843686,-257,658
2848280,-253,658
2852874,-138,658
2857468,-266,658
2862062,-272,658
2866656,-288,658
2871250,-300,658
2875844,-344,658
2880438,-369,658
2885032,-316,658
2889626,-262,658
2894220,-276,658
2898814,-269,658
2903408,-280,658
2908002,-330,658
2912596,-331,658
2917190,-389,658
2921784,-373,658
2926378,-436,658
2930972,-460,658
2935566,-553,658
2940160,-510,658
2944754,-485,658
2949348,-458,658
2953942,-476,658
2958536,-446,658
2963130,-475,658
2967724,-402,658
2972318,-283,658
2976912,-237,658
2981506,-206,658
2986100,-142,658
2990694,-68,658
2995288,-55,658
2999882,-11,658
3004476,-47,658
3009070,-72,658
3013664,-88,658
3018258,-17,658
3022852,6,658
3027446,63,658
3032040,112,658
3036634,148,658
3041228,246,658
3045822,197,658
3050416,248,658
3055010,260,658
3059604,241,658
3064198,216,658
3068792,220,658
3073386,213,658
3077980,177,658
3082574,189,658
3087168,197,658
3091762,180,658
3096356,191,658
3100950,117,658
3105544,64,658
3110138,71,658
3114732,1,658
3119326,-41,658
3123920,-3,658
3128514,46,658
3133108,35,658
3137702,124,658
3142296,225,658
3146890,204,658
3151484,259,658
3156078,191,658
3160672,218,658
3165266,143,658
3169860,98,658
3174454,-3,658
3179048,65,658
3183642,45,658
3188236,78,658
3192830,-14,658
3197424,-28,658
3202018,26,658
3206612,16,658
3211206,0,658
3215800,-72,658
3220394,-162,658
3224988,-137,658
3229582,-122,658
3234176,-70,658
3238770,-95,658
3243364,-145,658
3247958,-54,658
3252552,43,658
3257146,60,658
3261740,164,658
3266334,153,658
3270928,218,658
3275522,184,658
3280116,209,658
3284710,222,658
3289304,179,658
3293898,212,658
3298492,240,658
3303086,172,658
3307680,92,658
3312274,98,658
3316868,76,658
3321462,105,658
3326056,158,658
3330650,100,658
3335244,88,658
3339838,100,658
3344432,202,658
3349026,206,658
3353620,258,658
3358214,200,658
3362808,218,658
3367402,209,658
3371996,181,658
3376590,149,658
3381184,151,658
3385778,168,658
3390372,179,658
3394966,182,658
3399560,198,658
3404154,226,658
3408748,217,658
3413342,208,658
3417936,182,658
3422530,100,658
3427124,90,658
3431718,31,658
3436312,26,658
3440906,-17,658
3445500,-10,658
3450094,-11,658
3454688,34,658
3459282,111,658
3463876,96,658
3468470,122,658
3473064,115,658
3477658,125,658
3482252,143,658
3486846,208,658
3491440,214,658
3496034,251,658
3500628,276,658
3505222,272,658
3509816,297,658
3514410,314,658
3519004,369,658
3523598,314,658
3528192,196,658
3532786,199,658
3537380,175,658
3541974,140,658
3546568,166,658
3551162,170,658
3555756,220,658
3560350,287,658
3564944,166,658
3569538,86,658
3574132,160,658
3578726,95,658
3583320,97,658
3587914,11,658
3592508,99,658
3597102,120,658
3601696,122,658
3606290,164,658
3610884,240,658
3615478,240,658
3620072,290,658
3624666,365,658
3629260,394,658
3633854,360,658
3638448,311,658
3643042,217,658
3647636,231,658
3652230,245,658
3656824,270,658
3661418,240,658
3666012,223,658
3670606,274,658
3675200,238,658
3679794,211,658
3684388,241,658
3688982,333,658
3693576,238,658
3698170,254,658
3702764,268,658
3707358,339,658
3711952,421,658
3716546,350,658
3721140,292,658
3725734,345,658
3730328,333,658
3734922,287,658
3739516,221,658
3744110,190,658
3748704,207,658
3753298,188,658
3757892,193,658
3762486,163,658
3767080,173,658
3771674,227,658
3776268,305,658
3780862,356,658
3785456,389,658
3790050,366,658
3794644,430,658
3799238,438,658
