N,R,runmax_absR
240,-15,18
480,6,18
720,23,24
960,24,31
1200,20,35
1440,26,35
1680,34,43
1920,51,51
2160,39,57
2400,24,57
2640,6,57
2880,10,57
3120,-10,57
3360,-16,57
3600,-39,57
3840,-37,57
4080,-33,57
4320,-39,57
4560,-47,57
4800,-44,57
5040,-29,57
5280,-38,57
5520,-37,57
5760,-32,57
6000,-25,57
6240,-21,57
6480,-11,57
6720,-23,57
6960,-31,57
7200,-35,57
7440,-41,57
7680,-57,60
7920,-40,61
8160,-41,61
8400,-39,61
8640,-31,61
8880,-36,61
9120,-17,61
9360,-42,61
9600,-34,61
9840,-25,61
10080,-19,61
10320,-26,61
10560,-19,61
10800,-20,61
11040,-21,61
11280,-32,61
11520,-31,61
11760,-43,61
12000,-57,61
12240,-60,64
12480,-82,82
12720,-90,92
12960,-97,104
13200,-65,104
13440,-53,104
13680,-37,104
13920,-28,104
14160,-27,104
14400,-16,104
14640,-12,104
14880,-10,104
15120,-22,104
15360,-19,104
15600,-18,104
15840,-4,104
16080,17,104
16320,22,104
16560,19,104
16800,14,104
17040,29,104
17280,43,104
17520,44,104
17760,45,104
18000,49,104
18240,64,104
18480,79,104
18720,68,104
18960,59,104
19200,48,104
19440,35,104
19680,31,104
19920,7,104
20160,-6,104
20400,-16,104
20640,-6,104
20880,3,104
21120,12,104
21360,19,104
21600,14,104
21840,-9,104
22080,-7,104
22320,-6,104
22560,-1,104
22800,1,104
23040,-1,104
23280,-3,104
23520,-2,104
23760,5,104
24000,10,104
24240,18,104
24480,-8,104
24720,-2,104
24960,-7,104
25200,-12,104
25440,4,104
25680,9,104
25920,-12,104
26160,-21,104
26400,-23,104
26640,-48,104
26880,-67,104
27120,-91,104
27360,-79,104
27600,-66,104
27840,-81,104
28080,-84,104
28320,-87,104
28560,-76,104
28800,-77,104
29040,-107,111
29280,-105,111
29520,-122,123
29760,-115,129
30000,-96,129
30240,-97,129
30480,-77,129
30720,-79,129
30960,-97,129
31200,-81,129
31440,-74,129
31680,-85,129
31920,-76,129
32160,-82,129
32400,-75,129
32640,-59,129
32880,-46,129
33120,-53,129
33360,-52,129
33600,-71,129
33840,-98,129
34080,-78,129
34320,-64,129
34560,-38,129
34800,-20,129
35040,5,129
35280,-9,129
35520,-6,129
35760,-21,129
36000,-11,129
36240,12,129
36480,16,129
36720,17,129
36960,12,129
37200,16,129
37440,13,129
37680,12,129
37920,1,129
38160,15,129
38400,30,129
38640,34,129
38880,33,129
39120,50,129
39360,60,129
39600,75,129
39840,55,129
40080,60,129
40320,48,129
40560,26,129
