N,R,runmax_absR
13,2,2
26,3,5
39,-2,5
52,-2,5
65,-1,5
78,-7,7
91,-11,11
104,-14,14
117,-12,14
130,-11,14
143,-10,14
156,-8,14
169,-5,14
182,-2,14
195,-1,14
208,2,14
221,0,14
234,-2,14
247,-6,14
260,1,14
273,6,14
286,5,14
299,7,14
312,9,14
325,8,14
338,10,14
351,12,14
364,8,14
377,2,14
390,-5,14
403,-8,14
416,-10,14
429,-12,14
442,-13,14
455,-13,15
468,-18,18
481,-19,19
494,-24,24
507,-20,24
520,-22,24
533,-22,24
546,-21,24
559,-18,24
572,-19,24
585,-17,24
598,-16,24
611,-16,24
624,-14,24
637,-15,24
650,-15,24
663,-15,24
676,-9,24
689,-5,24
702,-5,24
715,-7,24
728,-5,24
741,-2,24
754,-3,24
767,-1,24
780,-3,24
793,7,24
806,6,24
819,4,24
832,7,24
845,11,24
858,11,24
871,7,24
884,9,24
897,12,24
910,13,24
923,16,24
936,17,24
949,16,24
962,18,24
975,21,24
988,22,24
1001,19,24
1014,19,24
1027,19,24
1040,17,24
1053,15,24
1066,12,24
1079,15,24
1092,17,24
1105,16,24
1118,16,24
1131,15,24
1144,15,24
1157,14,24
1170,10,24
1183,12,24
1196,15,24
1209,12,24
1222,8,24
1235,7,24
1248,5,24
1261,3,24
1274,4,24
1287,1,24
1300,1,24
1313,-4,24
1326,-5,24
1339,-4,24
1352,-4,24
1365,-4,24
1378,-6,24
1391,-7,24
1404,-6,24
1417,-7,24
1430,-9,24
1443,-6,24
1456,-6,24
1469,-5,24
1482,-5,24
1495,-6,24
1508,-5,24
1521,-5,24
1534,-6,24
1547,-11,24
1560,-7,24
1573,-10,24
1586,-10,24
1599,-6,24
1612,-11,24
1625,-13,24
1638,-15,24
1651,-11,24
1664,-13,24
1677,-8,24
1690,-8,24
1703,-11,24
1716,-13,24
1729,-11,24
1742,-13,24
1755,-12,24
1768,-11,24
1781,-16,24
1794,-18,24
1807,-13,24
1820,-13,24
1833,-12,24
1846,-15,24
1859,-14,24
1872,-11,24
1885,-7,24
1898,-8,24
1911,-12,24
1924,-12,24
1937,-14,24
1950,-17,24
1963,-15,24
1976,-10,24
1989,-11,24
2002,-8,24
2015,-5,24
2028,-6,24
2041,-8,24
2054,-10,24
2067,-9,24
2080,-6,24
2093,-10,24
2106,-6,24
2119,-3,24
2132,-6,24
2145,-7,24
2158,-9,24
2171,-4,24
2184,-3,24
2197,-5,24
2210,-6,24
2223,-4,24
2236,-1,24
2249,-2,24
2262,-4,24
2275,-2,24
2288,0,24
2301,0,24
2314,0,24
2327,1,24
2340,-2,24
2353,-5,24
2366,-6,24
2379,-1,24
2392,1,24
2405,4,24
2418,1,24
2431,2,24
2444,5,24
2457,8,24
2470,12,24
2483,10,24
2496,10,24
2509,9,24
2522,9,24
2535,15,24
2548,19,24
2561,18,24
2574,21,24
2587,22,24
2600,18,24
2613,17,24
2626,17,24
2639,13,24
2652,10,24
2665,7,24
2678,6,24
2691,4,24
2704,3,24
2717,-1,24
2730,-5,24
2743,-3,24
2756,-3,24
2769,-2,24
2782,-3,24
2795,1,24
2808,1,24
2821,2,24
2834,0,24
2847,-3,24
2860,0,24
2873,-1,24
2886,2,24
2899,0,24
2912,1,24
2925,-1,24
2938,0,24
2951,1,24
2964,3,24
2977,1,24
2990,-1,24
3003,-3,24
3016,1,24
3029,3,24
3042,3,24
3055,8,24
3068,14,24
3081,13,24
3094,12,24
3107,10,24
3120,11,24
3133,10,24
3146,8,24
3159,11,24
3172,11,24
3185,9,24
3198,9,24
3211,8,24
3224,6,24
3237,9,24
3250,6,24
3263,5,24
3276,8,24
3289,10,24
3302,14,24
3315,14,24
3328,18,24
3341,14,24
3354,12,24
3367,14,24
3380,8,24
3393,9,24
3406,8,24
3419,7,24
3432,5,24
3445,6,24
3458,8,24
3471,9,24
3484,9,24
3497,6,24
3510,7,24
3523,4,24
3536,1,24
3549,1,24
3562,-6,24
3575,-8,24
3588,-9,24
3601,-7,24
3614,-5,24
3627,-2,24
3640,-2,24
3653,-3,24
3666,-2,24
3679,-2,24
3692,3,24
3705,0,24
3718,4,24
3731,4,24
3744,5,24
3757,1,24
3770,0,24
3783,-1,24
3796,-4,24
3809,1,24
3822,-2,24
3835,-4,24
3848,-6,24
3861,-2,24
3874,-2,24
3887,0,24
3900,-4,24
3913,-8,24
3926,-10,24
3939,-5,24
3952,-6,24
3965,-10,24
3978,-12,24
3991,-13,24
4004,-18,24
4017,-20,24
4030,-17,24
4043,-17,24
4056,-22,24
4069,-24,24
4082,-23,24
4095,-20,24
4108,-18,24
4121,-18,24
4134,-12,24
4147,-14,24
4160,-15,24
4173,-19,24
4186,-17,24
4199,-11,24
4212,-12,24
4225,-12,24
4238,-10,24
4251,-12,24
4264,-20,24
4277,-22,24
4290,-19,24
4303,-18,24
4316,-14,24
4329,-12,24
4342,-11,24
4355,-14,24
4368,-11,24
4381,-14,24
4394,-17,24
4407,-16,24
4420,-15,24
4433,-14,24
4446,-14,24
4459,-14,24
4472,-16,24
4485,-18,24
4498,-15,24
4511,-11,24
4524,-14,24
4537,-13,24
4550,-18,24
4563,-19,24
4576,-20,24
4589,-17,24
4602,-18,24
4615,-20,24
4628,-14,24
4641,-16,24
4654,-18,24
4667,-22,24
4680,-24,26
4693,-24,26
4706,-27,27
4719,-28,28
4732,-23,28
4745,-23,28
4758,-19,28
4771,-17,28
4784,-16,28
4797,-15,28
4810,-10,28
4823,-11,28
4836,-6,28
4849,-5,28
4862,2,28
4875,1,28
4888,0,28
4901,-2,28
4914,-2,28
4927,2,28
4940,4,28
4953,4,28
4966,9,28
4979,8,28
4992,7,28
5005,9,28
5018,11,28
5031,6,28
5044,6,28
5057,7,28
5070,10,28
5083,8,28
5096,15,28
5109,14,28
5122,14,28
5135,17,28
5148,20,28
5161,22,28
5174,21,28
5187,18,28
5200,14,28
5213,14,28
5226,13,28
5239,9,28
5252,5,28
5265,3,28
5278,-1,28
5291,-2,28
5304,-2,28
5317,0,28
5330,3,28
5343,5,28
5356,6,28
5369,4,28
5382,-4,28
5395,-6,28
5408,-3,28
5421,-4,28
5434,-6,28
5447,-4,28
5460,-4,28
5473,0,28
5486,0,28
5499,-3,28
5512,0,28
5525,2,28
5538,0,28
5551,4,28
5564,2,28
5577,-3,28
5590,2,28
5603,4,28
5616,0,28
5629,-1,28
5642,-4,28
5655,-9,28
5668,-7,28
5681,-2,28
5694,2,28
5707,1,28
5720,5,28
5733,8,28
5746,12,28
5759,14,28
5772,15,28
5785,13,28
5798,15,28
5811,13,28
5824,14,28
5837,19,28
5850,24,28
5863,21,28
5876,22,28
5889,24,28
5902,23,28
5915,22,28
5928,16,28
5941,15,28
5954,18,28
5967,18,28
5980,16,28
5993,16,28
6006,18,28
6019,17,28
6032,19,28
6045,22,28
6058,22,28
6071,20,28
6084,18,28
6097,23,28
6110,26,28
6123,23,28
6136,20,28
6149,20,28
6162,23,28
6175,26,28
6188,29,30
6201,36,36
6214,35,36
6227,31,36
6240,33,36
6253,34,36
6266,32,36
6279,32,36
6292,30,36
6305,29,36
6318,27,36
6331,24,36
6344,26,36
6357,26,36
6370,24,36
6383,21,36
6396,17,36
6409,19,36
6422,18,36
6435,17,36
6448,15,36
6461,13,36
6474,13,36
6487,14,36
6500,11,36
6513,10,36
6526,6,36
6539,4,36
6552,5,36
6565,5,36
6578,5,36
6591,6,36
6604,9,36
6617,12,36
6630,10,36
6643,8,36
6656,6,36
6669,2,36
6682,5,36
6695,2,36
6708,2,36
6721,2,36
6734,3,36
6747,6,36
6760,0,36
6773,4,36
6786,2,36
6799,3,36
6812,7,36
6825,8,36
6838,3,36
6851,-1,36
6864,4,36
6877,3,36
6890,2,36
6903,1,36
6916,-2,36
6929,-1,36
6942,2,36
6955,-1,36
6968,-1,36
6981,-4,36
6994,-3,36
7007,-1,36
7020,-2,36
7033,-6,36
7046,-3,36
7059,-1,36
7072,-5,36
7085,-1,36
7098,-5,36
7111,-11,36
7124,-15,36
7137,-15,36
7150,-15,36
7163,-17,36
7176,-22,36
7189,-23,36
