r,abs_b,re_b,im_b
215,5.444504258511e-03,-3.621994565777e-03,-4.064945508420e-03
216,8.748147697748e-03,3.066949398566e-03,8.192918254703e-03
217,4.893267544688e-03,1.642976191551e-03,4.609196947180e-03
218,1.626565340978e-04,9.110844028034e-05,-1.347456871087e-04
219,2.903769889251e-03,-4.589100502055e-04,-2.867277652329e-03
220,7.897345502085e-03,-1.382612883043e-03,-7.775374434389e-03
221,2.760950676626e-03,1.100083624029e-03,2.532323964051e-03
222,1.776814353657e-02,3.131229984510e-03,1.749006356535e-02
223,1.816587195616e-03,5.893665565821e-04,1.718323631118e-03
224,1.419401192850e-03,3.001239096751e-04,1.387308684146e-03
225,7.111111111111e-02,2.640928035515e-17,7.111111111111e-02
226,3.549093262520e-03,-8.474563035212e-05,-3.548081335624e-03
227,9.402588869299e-04,-5.962802864956e-04,7.270052230811e-04
228,5.978613521257e-03,9.955423512258e-05,-5.977784588861e-03
229,1.258552337661e-03,-1.127522902890e-03,5.591476460565e-04
230,2.977000400380e-02,-8.336884822176e-03,2.857882939954e-02
231,5.817118201489e-03,3.979768559293e-04,-5.803488484716e-03
232,1.784627888250e-03,-1.664231947113e-03,6.443824374767e-04
233,1.898591368654e-03,-1.749310764784e-03,7.379437873861e-04
234,1.297615443977e-02,4.369401270775e-03,-1.221838436863e-02
235,9.487695596687e-03,3.459812393853e-03,-8.834368451380e-03
236,2.006951538391e-03,-1.676149556968e-03,1.103801223105e-03
237,4.831268237937e-03,2.148782254755e-03,-4.327110769156e-03
238,2.585903773474e-03,1.285492027472e-03,-2.243748776707e-03
239,1.804600718826e-03,-1.114163419399e-03,1.419585724521e-03
240,5.054449587965e-02,-3.354525547389e-02,3.780822528127e-02
241,1.583823893855e-03,-5.121803434667e-04,1.498722596918e-03
242,3.469700002708e-03,3.120816672580e-03,-1.516351346140e-03
243,4.254621602241e-03,-2.355567005914e-03,3.543036700192e-03
244,1.440887724865e-03,6.013812216420e-04,1.309388430498e-03
245,1.139279892759e-02,1.020717964946e-02,-5.060568249525e-03
246,1.493932265876e-02,-1.191903190712e-02,9.006666414356e-03
247,1.898594636285e-03,1.765448950272e-03,6.984637405865e-04
248,2.161975533587e-03,2.123548489752e-03,4.058078603266e-04
249,8.957123009414e-03,8.598700497484e-03,-2.508466136973e-03
250,5.712777011972e-02,5.390746658393e-02,-1.890944645817e-02
251,3.073299327951e-03,2.997721894851e-03,-6.773715378689e-04
252,2.568401800674e-04,-2.690727815490e-05,-2.554268515237e-04
253,3.674992264331e-03,3.354489766743e-03,-1.500988523508e-03
