k,n,X,E,telescope_resid,argmax_E0,max_bnd,max_bnd_over_sqrtx,E0_x14,bnd_x14,bnd_x14_over_sqrtx
4,14,224,-2.888731316791084,3.552713678800501e-15,2,-0.0,0.0,4,-0.0,0.0
4,15,255,-0.3858566696350607,3.552713678800501e-15,2,-0.0,0.0,4,0.5112576062161018,0.03201619320145689
4,16,288,3.1347312418941513,3.552713678800501e-15,2,-0.0,0.0,4,1.0156916413081056,0.059850203930288004
4,17,323,0.4696678359534694,3.552713678800501e-15,2,-0.0,0.0,4,0.7222542787832786,0.040187303080162315
4,18,360,0.24389321414959753,3.552713678800501e-15,2,-0.0,0.0,4,0.6185926168857065,0.03260269355204611
4,19,399,-1.339122404560534,3.552713678800501e-15,2,-0.0,0.0,4,0.2376106672238727,0.011895411931032794
4,20,440,4.041015073422862,7.105427357601002e-15,4,1.2719029732232023,0.060635595105928086,5,-0.29591503153771015,0.014107195608331811
4,21,483,2.7009972143984804,7.105427357601002e-15,4,2.0412923406613537,0.09288201759563046,5,0.9322861076062736,0.042420486730868144
4,22,528,0.3414133956325358,7.105427357601002e-15,4,0.9937062694766752,0.043245514524745156,5,2.5438059464464047,0.1107049440908889
4,23,575,-2.436128352783765,0.0,4,0.12137077840368349,0.005061511348499025,5,3.6439035010296976,0.15196128067954615
4,24,624,3.775215286421723,3.552713678800501e-15,4,2.0030424696063385,0.08018587316281134,5,1.557229301159424,0.06233906326146115
4,25,675,7.024617627324911,3.552713678800501e-15,4,2.2649014487375076,0.08717609740777156,5,0.9747148185765013,0.03751679085921735
4,26,728,3.049081851039741,3.552713678800501e-15,4,2.2886425002396997,0.08482273446921157,5,2.7581844391457153,0.1022251165371022
4,27,783,0.8255902832567692,3.552713678800501e-15,4,2.4826521736497718,0.08872275050040727,5,4.483347968156885,0.16022178515668517
4,28,840,3.2842945422759904,1.0658141036401503e-14,8,2.7634799075975707,0.09534911540838376,5,2.560859198322298,0.08835803675436447
