n,X,H,q,A_q,P_q=(Q/q)A_q,abs_P_q
5,35,1.9999999889110778,1,1.1088919964477756e-08,9.999998003994008,9.999998003994008
5,35,1.9999999889110778,2,-1.330670661339992e-08,-6.0,6.0
5,35,1.9999999889110778,3,-1.4415598831183246e-08,-4.333333333333333,4.333333333333333
5,35,1.9999999889110778,4,-2.2177844355666532e-09,-0.5,0.5
5,35,1.9999999889110778,5,0.0,0.0,0.0
5,35,1.9999999889110778,6,7.651356302704954e-08,11.5,11.5
5,35,1.9999999889110778,7,4.4355688465404675e-09,0.571428568260308,0.571428568260308
5,35,1.9999999889110778,9,3.32667665334998e-08,3.3333333333333335,3.3333333333333335
5,35,1.9999999889110778,10,6.875131750256625e-08,6.2,6.2
5,35,1.9999999889110778,11,4.990014978180507e-08,4.090909089396965,4.090909089396965
5,35,1.9999999889110778,12,-4.4355688711333065e-09,-0.3333333333333333,0.3333333333333333
5,35,1.9999999889110778,13,-3.992011954508569e-08,-2.769230748758913,2.769230748758913
5,35,1.9999999889110778,14,1.2197814404224087e-07,7.8571428626873185,7.8571428626873185
5,35,1.9999999889110778,15,-1.330670661339992e-08,-0.8,0.8
5,35,1.9999999889110778,18,6.65335330669996e-09,0.3333333333333333,0.3333333333333333
5,35,1.9999999889110778,20,-1.996005992009988e-08,-0.9,0.9
5,35,1.9999999889110778,21,1.3861152597482925e-07,5.9523808987844955,5.9523808987844955
5,35,1.9999999889110778,22,1.4748266408598845e-07,6.045454509415548,6.045454509415548
5,35,1.9999999889110778,25,1.829672149197943e-07,6.599999963406557,6.599999963406557
5,35,1.9999999889110778,26,-4.435568839162616e-08,-1.5384615273726163,1.5384615273726163
5,35,1.9999999889110778,28,1.2641371119187546e-07,4.071428518756191,4.071428518756191
5,35,1.9999999889110778,30,1.5080934161853242e-07,4.533333333333333,4.533333333333333
5,35,1.9999999889110778,33,-2.2954068745802124e-07,-6.272727228371584,6.272727228371584
5,35,1.9999999889110778,35,-2.483918554062662e-07,-6.399999964515449,6.399999964515449
5,35,1.9999999889110778,36,-5.322682645359968e-08,-1.3333333333333333,1.3333333333333333
5,35,1.9999999889110778,39,-1.7298718621397913e-07,-4.000000005544461,4.000000005544461
5,35,1.9999999889110778,42,1.408293101521711e-07,3.0238094914668343,3.0238094914668343
5,35,1.9999999889110778,44,2.217784300306039e-09,0.04545454268231491,0.04545454268231491
5,35,1.9999999889110778,45,8.31669163337495e-08,1.6666666666666667,1.6666666666666667
5,35,1.9999999889110778,49,-1.5524492727427837e-08,-0.28571431660485463,0.28571431660485463
5,35,1.9999999889110778,50,-2.772230559828841e-08,-0.5000000027722306,0.5000000027722306
5,35,1.9999999889110778,52,8.87113758241316e-08,1.538461510739233,1.538461510739233
5,35,1.9999999889110778,55,2.4395628405740436e-07,3.999999936793144,3.999999936793144
5,35,1.9999999889110778,60,9.314694629379944e-08,1.4,1.4
5,35,1.9999999889110778,63,1.7631386456423502e-07,2.523809551531829,2.523809551531829
5,35,1.9999999889110778,65,2.8831199580607938e-08,0.4000000266134132,0.4000000266134132
5,35,1.9999999889110778,66,-1.740960762983337e-07,-2.378787852913727,2.378787852913727
5,35,1.9999999889110778,70,-2.550452097458654e-07,-3.285714281278717,3.285714281278717
5,35,1.9999999889110778,75,-1.663338340508462e-07,-2.000000016633383,2.000000016633383
5,35,1.9999999889110778,77,1.0534475868509965e-07,1.2337662102922817,1.2337662102922817
5,35,1.9999999889110778,78,1.1088922025972486e-07,1.282051264493822,1.282051264493822
5,35,1.9999999889110778,84,6.653353134550087e-08,0.7142856958041773,0.7142856958041773
5,35,1.9999999889110778,90,9.98002996004994e-09,0.1,0.1
5,35,1.9999999889110778,91,4.2803239576925e-07,4.2417582388336905,4.2417582388336905
5,35,1.9999999889110778,98,1.0867143996805157e-07,1.000000024158009,1.000000024158009
5,35,1.9999999889110778,99,3.692611085218478e-07,3.3636363636363638,3.3636363636363638
5,35,1.9999999889110778,100,1.330670689006936e-07,1.2000000249500749,1.2000000249500749
5,35,1.9999999889110778,105,5.544461906628531e-09,0.047619054642031665,0.047619054642031665
5,35,1.9999999889110778,110,2.2399622887142598e-07,1.8363636435714359,1.8363636435714359
5,35,1.9999999889110778,117,1.829672159342489e-07,1.4102564102564104,1.4102564102564104
5,35,1.9999999889110778,121,2.073628447254821e-07,1.5454545454545454,1.5454545454545454
5,35,1.9999999889110778,126,-1.2308703397903838e-07,-0.8809523652430745,0.8809523652430745
5,35,1.9999999889110778,130,1.330670658142923e-07,0.9230769208591386,0.9230769208591386
5,35,1.9999999889110778,132,1.508093413480112e-07,1.0303030284548766,1.0303030284548766
5,35,1.9999999889110778,140,2.0625395113049977e-07,1.328571419700291,1.328571419700291
5,35,1.9999999889110778,143,4.5464580683188005e-07,2.867132851623885,2.867132851623885
5,35,1.9999999889110778,147,-1.241959286499574e-07,-0.7619047634888937,0.7619047634888937
5,35,1.9999999889110778,150,7.762245447630665e-08,0.46666666204628243,0.46666666204628243
5,35,1.9999999889110778,154,8.538470014219876e-08,0.4999999963276946,0.4999999963276946
5,35,1.9999999889110778,156,1.7742275500518572e-07,1.0256410265651026,1.0256410265651026
5,35,1.9999999889110778,165,-4.7682368002265034e-08,-0.26060607502165944,0.26060607502165944
5,35,1.9999999889110778,169,9.65845112177997e-07,5.15384610309301,5.15384610309301
5,35,1.9999999889110778,175,1.0201808347043076e-06,5.257142827994834,5.257142827994834
5,35,1.9999999889110778,180,-1.330670661339992e-08,-0.06666666666666667,0.06666666666666667
5,35,1.9999999889110778,182,-6.43157490372148e-08,-0.31868132069194743,0.31868132069194743
5,35,1.9999999889110778,195,6.331774541962579e-07,2.9282051182250983,2.9282051182250983
5,35,1.9999999889110778,196,9.314694672417412e-08,0.42857143055159325,0.42857143055159325
5,35,1.9999999889110778,198,1.7631385978707603e-07,0.8030302900932271,0.8030302900932271
5,35,1.9999999889110778,210,2.9163865306182755e-07,1.2523809514568756,1.2523809514568756
5,35,1.9999999889110778,220,-2.23996224475456e-07,-0.9181818037662194,0.9181818037662194
5,35,1.9999999889110778,225,3.8256781697971064e-07,1.5333333407259482,1.5333333407259482
5,35,1.9999999889110778,231,4.468835648118763e-07,1.7445887486690839,1.7445887486690839
5,35,1.9999999889110778,234,3.8256781561480804e-07,1.474358976207128,1.474358976207128
5,35,1.9999999889110778,242,1.3417595848704315e-07,0.5000000005040419,0.5000000005040419
5,35,1.9999999889110778,245,7.91749043023883e-07,2.9142857125431694,2.9142857125431694
5,35,1.9999999889110778,252,-1.3306706510109995e-07,-0.4761904724941688,0.4761904724941688
5,35,1.9999999889110778,260,3.6593443026996324e-07,1.269230763686308,1.269230763686308
5,35,1.9999999889110778,273,2.506096415879244e-07,0.8278388290573907,0.8278388290573907
5,35,1.9999999889110778,275,1.2197814767583283e-07,0.4000000121978144,0.4000000121978144
5,35,1.9999999889110778,286,6.875131894124733e-08,0.21678322131959404,0.21678322131959404
5,35,1.9999999889110778,294,2.173428752880566e-07,0.6666666685148204,0.6666666685148204
5,35,1.9999999889110778,300,1.3306706521176775e-07,0.39999999722776947,0.39999999722776947
5,35,1.9999999889110778,308,4.435569237566608e-08,0.1298701405990221,0.1298701405990221
5,35,1.9999999889110778,315,5.222882300570127e-07,1.4952380823010194,1.4952380823010194
5,35,1.9999999889110778,325,5.378127226430317e-07,1.4923076840336504,1.4923076840336504
5,35,1.9999999889110778,330,2.5171853458653036e-07,0.6878787910206492,0.6878787910206492
5,35,1.9999999889110778,338,-1.2974038252702398e-07,-0.34615382760122637,0.34615382760122637
5,35,1.9999999889110778,350,-8.871137447152545e-08,-0.22857142096759622,0.22857142096759622
5,35,1.9999999889110778,363,7.806601174645344e-07,1.939393929817143,1.939393929817143
5,35,1.9999999889110778,364,1.9072946245474218e-07,0.47252747499506237,0.47252747499506237
5,35,1.9999999889110778,385,6.87513177029979e-07,1.6103896150844008,1.6103896150844008
5,35,1.9999999889110778,390,-4.990015067944369e-08,-0.11538461741758445,0.11538461741758445
5,35,1.9999999889110778,396,3.459743699194887e-07,0.7878787832584037,0.7878787832584037
5,35,1.9999999889110778,420,2.1518734136557433e-15,4.620384240763861e-09,4.620384240763861e-09
5,35,1.9999999889110778,429,8.926582330530368e-07,1.8764568717007886,1.8764568717007886
5,35,1.9999999889110778,441,7.684623049871593e-07,1.571428567468242,1.571428567468242
5,35,1.9999999889110778,450,1.4970044755628617e-07,0.2999999963036926,0.2999999963036926
5,35,1.9999999889110778,455,8.250158033784321e-07,1.6351648219799848,1.6351648219799848
5,35,1.9999999889110778,462,1.275226032375089e-07,0.2489177453894555,0.2489177453894555
5,35,1.9999999889110778,468,3.1270760397621705e-07,0.602564099791872,0.602564099791872
5,35,1.9999999889110778,484,5.367038305666572e-07,0.9999999947075598,0.9999999947075598
5,35,1.9999999889110778,490,5.123081985476139e-07,0.9428571316890141,0.9428571316890141
5,35,1.9999999889110778,495,6.12108505230851e-07,1.1151515169996689,1.1151515169996689
5,35,1.9999999889110778,507,3.7480557504578186e-07,0.6666666763339322,0.6666666763339322
5,35,1.9999999889110778,525,2.4395629080199045e-07,0.41904762401123186,0.41904762401123186
5,35,1.9999999889110778,539,1.040140899592161e-06,1.7402597391076444,1.7402597391076444
5,35,1.9999999889110778,546,2.7722305411382837e-07,0.4578754573271046,0.4578754573271046
5,35,1.9999999889110778,550,2.1068951815102194e-07,0.3454545401621053,0.3454545401621053
5,35,1.9999999889110778,572,5.455749693664159e-07,0.8601398573288571,0.8601398573288571
5,35,1.9999999889110778,585,5.65535026273893e-07,0.8717948644022571,0.8717948644022571
5,35,1.9999999889110778,588,3.725877844865983e-07,0.5714285703724836,0.5714285703724836
5,35,1.9999999889110778,605,8.294513775493222e-07,1.2363636343474687,1.2363636343474687
5,35,1.9999999889110778,630,2.228873309972897e-07,0.3190476122094504,0.3190476122094504
5,35,1.9999999889110778,637,1.0246164053153843e-06,1.4505494450049894,1.4505494450049894
5,35,1.9999999889110778,650,6.04346254849282e-07,0.8384615331303259,0.8384615331303259
5,35,1.9999999889110778,660,7.363044254393163e-07,1.0060605962653915,1.0060605962653915
5,35,1.9999999889110778,676,6.631175436767741e-07,0.8846153812034085,0.8846153812034085
