k,n,X,q,P_q,abs_P_q,sqrt_X_over_q,Dpsi_q,ratio_renewal,ratio_rawdisc
3,12,168,2,0.0,0.0,9.16515138991168,5.901769398344754,0.0,0.0
3,13,195,2,-6.0,6.0,9.874208829065749,4.282681992327355,0.6076436202502,1.4009912505176216
3,5,35,3,-4.333333333333333,4.333333333333333,3.415650255319866,3.614982036277574,1.2686700948330931,1.198715039202646
3,6,48,3,0.0,0.0,4.0,2.7428640079397866,0.0,0.0
3,7,63,3,0.0,0.0,4.58257569495584,4.186079994711164,0.0,0.0
3,8,80,3,-4.333333333333328,4.333333333333328,5.163977794943222,4.702992980202332,0.8391463916782725,0.9213990647179107
3,9,99,3,0.0,0.0,5.744562646538029,5.295516002673594,0.0,0.0
3,10,120,3,0.0,0.0,6.324555320336759,5.227545052182684,0.0,0.0
3,11,143,3,-4.333333333333333,4.333333333333333,6.904105059069326,4.5509887597950325,0.6276459144608478,0.9521740355888064
3,12,168,3,0.0,0.0,7.483314773547883,3.560475372272549,0.0,0.0
3,13,195,3,0.0,0.0,8.06225774829855,2.357576339192775,0.0,0.0
3,5,35,4,-0.5,0.5,2.958039891549808,4.417053354959464,0.1690308509457033,0.11319763648283769
3,6,48,4,-4.0,4.0,3.4641016151377544,3.592563375610929,1.1547005383792517,1.113411116740504
3,7,63,4,-0.5,0.5,3.968626966596886,3.7561644399200205,0.1259881576697424,0.1331145129553078
3,8,80,4,-4.0,4.0,4.47213595499958,5.275028007681797,0.8944271909999159,0.758289812712837
3,9,99,4,-0.5,0.5,4.9749371855331,4.613068370778166,0.10050378152592121,0.10838772803960336
3,10,120,4,-4.0,4.0,5.477225575051661,5.69294566053258,0.7302967433402214,0.7026239557722735
3,11,143,4,-0.5,0.5,5.979130371550699,3.651898041934828,0.08362420100070908,0.13691510394279596
3,12,168,4,-4.0,4.0,6.48074069840786,6.091705930641055,0.6172133998483676,0.6566305145952874
3,13,195,4,-0.5,0.5,6.98212002188447,2.8704042338163163,0.0716114874039433,0.17419149334769138
3,5,35,5,0.0,0.0,2.6457513110645907,2.2249703421565377,0.0,0.0
3,6,48,5,-2.2,2.2,3.0983866769659336,3.8965057216190306,0.7100469468046932,0.5646084356539535
3,7,63,5,-2.200000000000001,2.200000000000001,3.5496478698597698,1.6230581286579984,0.6197797868009124,1.3554659325843361
3,8,80,5,0.0,0.0,4.0,1.3878445342376047,0.0,0.0
3,9,99,5,-2.5999999999999974,2.5999999999999974,4.449719092257398,5.039232245569494,0.5843065474681425,0.515951611931743
3,10,120,5,0.0,0.0,4.898979485566356,5.674111728728235,0.0,0.0
3,11,143,5,-2.200000000000005,2.200000000000005,5.347896782848375,4.151019132728713,0.4113766756037221,0.5299903300021201
3,12,168,5,-2.199999999999995,2.199999999999995,5.796550698475776,6.115735719661856,0.3795360576382939,0.359727774522218
3,13,195,5,9.947598300641402e-15,9.947598300641402e-15,6.244997998398398,2.6897234412913065,1.5928905506763297e-15,3.698372162702969e-15
3,5,35,6,11.5,11.5,2.41522945769824,5.001276397397465,4.761452359462244,2.2994130070444223
3,6,48,6,0.0,0.0,2.8284271247461903,4.129158369059677,0.0,0.0
3,7,63,6,10.0,10.0,3.24037034920393,5.572374355831055,3.086066999241838,1.7945671560159593
3,8,80,6,-1.5000000000000029,1.5000000000000029,3.6514837167011076,6.782434521882166,0.41079191812887533,0.22115952541238007
3,9,99,6,10.000000000000012,10.000000000000012,4.06201920231798,7.374957544353428,2.4618298195866575,1.3559400091267542
3,10,120,6,0.0,0.0,4.47213595499958,7.306986593862511,0.0,0.0
3,11,143,6,11.5,11.5,4.881939505292269,6.63043030147486,2.35562115989627,1.7344274017090509
3,12,168,6,2.6053233644537006e-14,2.6053233644537006e-14,5.291502622129181,6.3330640945123235,4.923598362321849e-15,4.1138433554008155e-15
3,13,195,6,10.000000000000016,10.000000000000016,5.70087712549569,4.437017880872602,1.7541160386140613,2.2537659906913365
3,5,35,9,3.3333333333333335,3.3333333333333335,1.9720265943665387,2.8888943541668928,1.6903085094570331,1.1538439709729742
3,6,48,9,0.0,0.0,2.309401076758503,4.473639475383838,0.0,0.0
3,7,63,9,1.6666666666666667,1.6666666666666667,2.6457513110645907,3.944643108189336,0.629940788348712,0.4225139311606057
3,8,80,9,3.3333333333333335,3.3333333333333335,2.9814239699997196,3.1566837410499193,1.118033988749895,1.0559604973999264
